Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
mou;1;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
toto;1;S34.77;S61.23;S44.35;S-27.3;S1.03;S0.73;S-5.72;S9.77;S10.86;S-6.2;S-0.92;S-4.7;S-25.54;S21.32;S-79.34;S-3.3;S-13.58;S0.73;S1.03;S-12.0;S6.02;S-11.47;S6.11;S-1.54;S-5.23;S-23.6;S0.48;S-5.49;S7.34
toto;1;S35.21;S61.14;S44.35;S-27.3;S1.32;S0.73;S-6.3;S11.82;S14.29;S-5.58;S-0.92;S-4.7;S-26.51;S25.01;S-77.67;S-2.51;S-128.22;S1.32;S1.03;S-12.79;S6.81;S-20.09;S5.76;S-65.27;S112.84;S33.45;S4.0;S-5.49;S7.25
toto;1;S-117.76;S72.92;S44.35;S-25.27;S-0.15;S0.73;S-5.72;S13.87;S14.29;S-4.26;S-1.27;S-4.7;S-26.51;S24.4;S-11.3;S-2.24;S-8.75;S2.2;S1.03;S-14.37;S4.09;S-19.91;S3.12;S-64.22;S112.92;S28.35;S4.0;S-5.49;S10.68
toto;1;S-12.44;S10.95;S44.26;S-25.27;S0.73;S1.03;S-7.48;S14.75;S13.76;S0.4;S-1.54;S-4.79;S1.27;S24.84;S-15.16;S-2.24;S-8.92;S1.61;S0.73;S-15.25;S6.46;S-18.59;S3.74;S-42.15;S65.19;S53.58;S4.0;S-5.49;S9.45
toto;1;S60.35;S26.86;S44.35;S-23.25;S1.61;S1.91;S-7.48;S14.75;S13.58;S-3.3;S-1.19;S-4.79;S-19.91;S32.84;S-17.36;S-2.24;S-8.92;S1.32;S0.73;S-14.99;S5.67;S-19.21;S5.05;S-7.25;S-5.32;S88.75;S4.0;S-5.49;S8.04
toto;1;S60.35;S36.35;S44.35;S-73.45;S1.32;S2.2;S-6.89;S15.34;S13.58;S-3.3;S-1.19;S-4.7;S-20.0;S32.22;S-16.84;S-2.24;S-9.45;S1.03;S0.73;S-15.08;S5.67;S-19.21;S5.05;S-7.25;S-5.32;S88.75;S4.0;S-5.49;S8.13
toto;1;S8.22;S68.44;S66.51;S-83.21;S0.73;S2.2;S-7.77;S15.34;S13.76;S-3.3;S-1.36;S-4.79;S-19.91;S30.02;S-16.48;S-2.24;S-10.24;S1.03;S0.73;S-15.34;S6.02;S-19.12;S5.05;S-7.25;S-5.32;S88.75;S4.0;S-5.49;S8.57
toto;1;S-32.31;S99.03;S81.19;S-68.35;S-0.73;S2.49;S-12.17;S12.7;S18.24;S8.66;S-49.89;S108.26;S-71.78;S-17.19;S-34.07;S-2.33;S-9.63;S1.03;S0.73;S-18.24;S25.54;S-11.21;S5.58;S-6.37;S-5.41;S87.6;S3.03;S-5.32;S16.84
toto;1;S-50.15;S100.26;S85.85;S-24.57;S-1.03;S2.2;S-17.74;S-1.38;S6.99;S1.27;S-90.42;S-4.79;S80.22;S-51.12;S-101.76;S-3.3;S-83.82;S1.32;S0.73;S-20.35;S43.65;S-3.91;S5.14;S0.13;S-5.32;S81.8;S4.62;S-5.23;S56.66
toto;1;S-45.76;S100.26;S85.85;S-28.09;S-0.44;S2.49;S-18.33;S-1.67;S4.62;S22.02;S-83.91;S-4.7;S80.22;S-53.67;S-96.75;S37.49;S-68.7;S2.2;S1.61;S-18.77;S42.77;S-10.42;S5.41;S3.21;S-5.41;S81.19;S4.18;S-5.05;S49.98
toto;1;S-119.6;S97.45;S88.04;S-18.15;S1.03;S29.18;S-18.62;S-4.02;S20.88;S24.84;S-68.62;S3.82;S79.87;S-137.1;S-100.97;S62.64;S-64.31;S2.2;S1.32;S-7.69;S56.75;S20.35;S1.89;S34.77;S-5.23;S62.29;S13.14;S-4.09;S56.48
toto;1;S-154.42;S91.38;S85.41;S-76.35;S0.15;S29.18;S-15.1;S-4.31;S4.18;S7.78;S-65.8;S9.19;S76.88;S-160.48;S-100.44;S81.98;S-127.96;S1.32;S1.03;S-19.03;S46.9;S21.41;S15.52;S-43.65;S-3.47;S61.23;S30.73;S-2.42;S48.4
toto;1;S-122.59;S101.67;S34.15;S-25.19;S0.15;S29.18;S-15.4;S-3.43;S4.35;S20.18;S-48.48;S9.01;S68.26;S-161.36;S-101.93;S78.73;S-110.99;S-6.89;S1.32;S-12.18;S56.57;S13.76;S8.04;S-93.23;S55.34;S62.29;S40.04;S32.66;S33.45
