Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;5;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;PM;PM;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;PM;PM;S0.0;S43.0;S-1.1
toto;2;S-30.55;S97.19;S-5.58;S-17.89;S71.7;S30.94;S-8.36;S-8.42;S21.76;S2.15;S6.02;PM;PM;S-34.42;S-96.22;S3.12;S-11.38;S-75.22;S-56.16;S14.55;S4.09;S-20.0;S4.62;S5.58;PM;PM;S-0.4;S43.3;S-0.84
toto;2;S-30.55;S97.27;S-5.58;S-18.07;S71.7;S30.35;S-12.17;S17.68;S21.76;S2.15;S6.02;PM;PM;S-34.33;S-96.04;S2.95;S-10.42;S-75.81;S-56.16;S14.73;S4.0;S-20.0;S4.7;S5.58;PM;PM;S-0.4;S43.38;S-1.45
toto;2;S-31.6;S97.01;S-5.58;S-18.51;S71.99;S30.35;S0.15;S-7.54;S21.76;S1.89;S6.55;PM;PM;S-35.12;S-96.04;S2.95;S-10.15;S-76.1;S-52.64;S14.81;S3.74;S-20.62;S4.53;S5.93;PM;PM;S-0.57;S43.65;S-1.36
toto;2;S-32.04;S96.75;S-5.58;S-18.68;S71.7;S30.94;S2.79;S-15.45;S21.76;S1.63;S6.99;PM;PM;S-35.21;S-95.87;S2.86;S-9.89;S-75.81;S-52.64;S14.81;S3.47;S-20.62;S4.7;S6.29;PM;PM;S-0.66;S43.91;S-1.27
toto;2;S-32.4;S96.48;S-5.58;S-18.86;S71.7;S30.35;S1.32;S-15.45;S21.76;S1.36;S7.52;PM;PM;S-22.02;S-92.26;S2.59;S-57.89;S-74.34;S-2.79;S15.16;S3.74;S-20.62;S4.88;S6.64;PM;PM;S-0.92;S44.18;S-1.01
toto;2;S-32.66;S96.22;S-5.58;S-18.86;S71.7;S30.35;S1.32;S-15.45;S21.76;S1.19;S7.96;PM;PM;S-30.64;S-66.77;S6.11;S-72.75;S-15.69;S-2.79;S15.52;S4.0;S-20.62;S4.97;S6.99;PM;PM;S-1.19;S44.18;S-0.84
toto;2;S-33.19;S95.96;S-5.58;S-19.12;S71.7;S30.94;S1.32;S-15.45;S21.76;S1.19;S8.31;PM;PM;S-66.86;S-57.19;S-39.08;S-48.22;S36.22;S-3.37;S15.78;S4.44;S-20.62;S5.05;S7.25;PM;PM;S-1.45;S44.53;S-1.27
toto;2;S-33.63;S95.69;S-5.58;S-19.3;S71.7;S30.35;S1.32;S-15.45;S21.76;S1.1;S8.57;PM;PM;S-85.76;S-60.79;S-39.08;S-45.85;S43.84;S-2.2;S15.96;S4.88;S-20.62;S5.14;S7.52;PM;PM;S-1.19;S44.79;S-1.63
toto;2;S-34.07;S95.6;S-5.58;S-19.56;S71.7;S30.94;S1.32;S-15.45;S21.76;S1.19;S8.84;PM;PM;S-98.33;S-65.71;S-29.85;S-56.4;S11.29;S-3.67;S16.22;S5.41;S-20.62;S5.23;S7.78;PM;PM;S-1.36;S45.23;S-2.07
toto;2;S-34.59;S95.43;S-5.58;S-19.82;S71.7;S30.94;S1.32;S-15.45;S21.76;S1.27;S9.1;PM;PM;S-99.56;S-67.65;S-51.91;S-44.09;S10.41;S-53.23;S16.57;S6.02;S-20.7;S5.32;S8.04;PM;PM;S-1.54;S45.58;S-2.33
toto;2;S-35.12;S95.52;S-5.58;S-20.0;S71.7;S30.06;S1.32;S-15.45;S21.76;S1.19;S9.36;PM;PM;S-72.75;S-79.87;S-14.73;S-53.05;S-32.4;S-45.6;S16.92;S6.29;S-20.7;S5.32;S8.31;PM;PM;S-1.8;S46.02;S-2.42
toto;2;S-35.56;S95.78;S-5.58;S-20.26;S71.7;S30.94;S1.32;S-15.45;S21.76;S1.01;S9.63;PM;PM;S-52.97;S-82.07;S-14.64;S-41.1;S-38.86;S-49.41;S17.63;S6.11;S-20.7;S5.41;S8.57;PM;PM;S-2.15;S46.55;S-2.33
toto;2;S-35.56;S93.14;S-5.58;S-86.2;S72.87;S-9.82;S1.32;S-15.45;S21.76;S0.66;S10.07;PM;PM;S-31.87;S-83.74;S-24.31;S-35.47;S-39.44;S-46.48;S18.24;S6.37;S-20.7;S5.67;S8.92;PM;PM;S-2.42;S46.9;S-2.15
toto;2;S-60.44;S89.45;S-2.68;S-104.57;S62.02;S7.77;S1.32;S-15.75;S21.49;S0.4;S10.51;PM;PM;S-20.97;S-85.14;S8.48;S-34.24;S-34.75;S-6.01;S18.95;S6.02;S-20.62;S5.85;S9.27;PM;PM;S-2.77;S47.25;S-1.89
toto;2;S-81.63;S91.56;S-2.68;S-74.42;S34.75;S24.49;S1.32;S-15.45;S21.49;S0.31;S10.77;PM;PM;S-23.87;S-87.78;S21.93;S-11.12;S-37.1;S-6.89;S19.56;S5.41;S-20.62;S5.76;S9.54;PM;PM;S-3.21;S47.69;S-1.36
toto;2;S-89.71;S100.26;S5.58;S-74.68;S64.66;S24.78;S1.32;S-15.45;S21.49;S0.22;S11.03;PM;PM;S-25.27;S-88.13;S21.93;S-11.65;S-37.1;S-7.18;S20.26;S4.62;S-20.62;S5.76;S9.8;PM;PM;S-3.65;S48.13;S-0.84
toto;2;S-81.71;S100.35;S5.58;S-69.85;S-35.04;S32.4;S1.32;S-15.45;S21.49;S0.04;S11.38;PM;PM;S-26.51;S-87.08;S21.93;S-11.65;S-37.1;S-6.89;S20.88;S4.09;S-20.62;S5.93;S10.15;PM;PM;S-4.09;S48.57;S-0.31
