Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;5;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;P;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;P;S0.0;S43.0;S-1.1
toto;2.0;S8.13;S57.19;S58.95;S-65.19;S31.52;S11.58;S-8.36;S-11.06;S8.4;S16.48;S-28.0;S124.26;S64.92;S5.23;S-69.41;S-56.75;S-44.26;S-42.96;S-25.07;S-6.37;S-2.77;S-20.62;S-8.84;S-26.77;S123.21;S63.78;S4.79;S7.52;S-3.21
toto;2.0;S12.7;S63.34;S41.8;S-79.43;S54.11;S11.0;S-8.36;S-11.06;S8.57;S16.75;S-27.38;S124.35;S65.27;S5.41;S-69.93;S-56.92;S-43.91;S-42.08;S-26.25;S-7.69;S-3.3;S-21.05;S-8.04;S-26.33;S123.38;S63.78;S5.32;S6.9;S-3.47
toto;2.0;S13.58;S79.52;S0.4;S-123.82;S63.49;S-33.87;S-8.36;S-11.64;S8.66;S17.01;S-27.03;S124.26;S65.27;S5.41;S-70.2;S-56.92;S-43.65;S-42.08;S-26.25;S-8.57;S-3.56;S-21.05;S-7.52;S-25.98;S123.38;S63.78;S5.67;S6.64;S-3.56
toto;2.0;S-26.95;S88.92;S3.3;S-69.41;S97.51;S42.67;S-8.36;S-11.06;S8.75;S17.01;S-26.77;S124.26;S65.36;S5.41;S-70.55;S-56.92;S-43.47;S-42.08;S-25.95;S-9.19;S-3.82;S-21.05;S-7.6;S-26.07;S123.3;S63.78;S6.02;S6.55;S-2.95
k;2.0;S-23.96;S94.46;S3.38;S-75.12;S95.16;S50.88;S-8.06;S-11.06;S9.01;S16.66;S-26.33;S124.26;S65.27;S5.41;S-70.9;S-56.92;S-43.21;S-42.08;S-25.95;S-9.71;S-4.18;S-21.05;S-7.25;S-25.71;S123.3;S63.78;S6.29;S6.2;S-2.33
toto;1;S-23.08;S94.2;S3.12;S-74.33;S95.45;S49.41;S6.3;S-12.52;S9.63;S16.13;S-25.98;S124.26;S65.89;S0.66;S-90.15;S-8.48;S-68.18;S14.22;S-31.23;S-16.57;S8.57;S-20.7;S-7.08;S-25.27;S123.38;S63.87;S-10.07;S17.98;S-3.56
toto;1;S-22.46;S94.02;S3.12;S-73.89;S95.45;S49.41;S6.3;S-12.52;S10.07;S15.96;S-25.8;S124.18;S65.8;S-10.51;S-89.98;S-9.36;S-87.69;S31.52;S-30.94;S-15.43;S8.22;S-20.7;S-7.16;S-25.19;S123.38;S63.87;S-11.12;S17.98;S-2.77
toto;1;S-21.85;S93.76;S3.12;S-73.54;S95.45;S49.71;S6.3;S-12.52;S10.42;S15.96;S-25.54;S124.18;S65.89;S-78.2;S-80.92;S-4.35;S-52.53;S21.55;S-10.12;S2.95;S14.64;S-20.7;S-7.08;S-25.01;S123.38;S63.87;S-11.3;S18.07;S-14.46
toto;1;S-21.32;S93.41;S3.12;S-73.19;S95.75;S49.71;S6.6;S-12.52;S10.77;S15.78;S-25.27;S124.18;S65.89;S-74.24;S-84.09;S-7.69;S-71.08;S-17.45;S-18.33;S1.19;S18.95;S-20.62;S-6.81;S-24.66;S123.38;S63.78;S-15.25;S18.07;S-13.14
toto;1;S-20.88;S93.05;S3.12;S-72.84;S95.45;S49.71;S6.3;S-12.52;S11.03;S15.96;S-25.01;S124.18;S65.8;S-92.09;S-84.7;S-7.6;S-52.88;S-3.37;S2.49;S0.22;S21.23;S-20.62;S-6.81;S-24.66;S123.38;S63.87;S-15.25;S18.07;S-13.67
toto;1;S-20.62;S92.7;S3.12;S-72.48;S95.45;S49.71;S6.3;S-12.52;S11.3;S15.87;S-24.92;S124.26;S65.8;S-87.87;S-88.48;S-7.16;S-36.09;S25.66;S8.65;S0.66;S22.29;S-20.44;S-6.81;S-24.57;S123.38;S63.87;S-15.69;S18.07;S-14.29
toto;1;S-20.26;S92.35;S3.12;S-72.13;S95.75;S49.41;S6.3;S-12.52;S11.47;S15.87;S-24.66;S124.26;S65.89;S-49.89;S-92.7;S-4.79;S-69.85;S49.12;S8.65;S0.57;S22.37;S-20.44;S-6.73;S-24.4;S123.38;S63.78;S-17.89;S18.07;S-11.65
toto;1;S-19.91;S92.09;S3.12;S-71.78;S95.75;S49.71;S6.3;S-12.52;S11.65;S15.78;S-24.48;S124.18;S65.8;S-6.55;S-78.29;S-23.43;S-79.6;S-34.75;S-16.86;S0.13;S23.6;S-20.35;S-6.55;S-24.04;S123.38;S63.87;S-18.95;S17.98;S-10.42
toto;1;S-19.65;S91.82;S3.12;S-71.43;S95.45;S49.71;S6.3;S-12.52;S11.82;S16.04;S-24.22;S124.18;S65.89;S-13.32;S-98.95;S-26.33;S-13.49;S-57.33;S-18.04;S-4.79;S26.86;S-20.44;S-6.37;S-23.78;S123.38;S63.87;S-20.44;S27.74;S-10.51
toto;1;S-18.95;S91.65;S3.12;S-70.99;S95.75;S49.41;S6.6;S-12.52;S12.0;S15.78;S-23.87;S124.18;S65.8;S-7.08;S-91.3;S-30.81;S-11.38;S-57.92;S-16.28;S-4.44;S5.05;S-20.26;S-6.9;S-23.34;S123.38;S63.96;S-5.05;S13.67;S-11.03
