Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;1.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;P;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;P;S0.0;S43.0;S-1.1
anti;0.5;S-53.67;S100.44;S-2.59;S-28.18;S78.45;S30.94;S-9.82;S-5.19;S21.49;S3.91;S5.85;P;P;S-55.16;S-89.71;S3.12;S-14.2;S-74.93;S-62.02;S35.21;S6.73;S-20.7;S5.41;S4.35;P;P;S-1.1;S50.77;S-5.93
anti;1.0;L-86.9;L94.9;L-2.42;L-41.89;L59.09;L29.77;L-9.82;L-4.6;L21.14;L3.82;L5.85;P;P;L-54.29;L-88.75;L3.3;L-14.9;L-74.34;L-61.44;L36.97;L6.9;L-20.88;L6.02;L4.44;P;P;L-0.84;L50.95;L-6.29
k leve de bras;1;S-36.09;S84.62;S11.3;S-137.71;S-53.23;S-61.73;S-8.65;S-10.47;S21.41;S2.59;S5.49;S124.18;S62.46;S-36.26;S-95.96;S3.03;S-6.64;S-75.81;S-63.49;S17.45;S5.32;S-19.82;S6.2;S5.32;S123.21;S70.2;S0.31;S42.95;S-1.54
toto;0.1;S-31.34;S84.7;S11.3;S-137.8;S-52.93;S-44.13;S-8.65;S-10.18;S21.49;S2.42;S5.93;S124.26;S62.46;S-36.44;S-95.69;S3.12;S-6.99;S-75.22;S-62.9;S18.15;S5.67;S-20.35;S6.55;S5.67;S123.21;S70.2;S0.66;S43.3;S-2.07
toto;0.1;S-39.34;S91.38;S11.3;S-134.29;S-52.64;S-42.67;S-8.65;S-9.88;S21.41;S2.15;S6.37;S124.18;S62.46;S-37.23;S-95.16;S3.12;S-7.34;S-75.22;S-62.9;S19.03;S5.32;S-20.44;S6.9;S5.93;S123.21;S70.2;S0.4;S43.3;S-2.33
toto;0.1;S-43.56;S90.33;S11.3;S-134.29;S-52.64;S-66.72;S-8.65;S-9.88;S21.49;S1.98;S6.9;S124.18;S62.46;S-39.16;S-94.73;S3.12;S-7.6;S-75.22;S-62.9;S21.49;S5.05;S-20.53;S7.25;S6.2;S123.21;S70.2;S0.13;S43.3;S-2.68
toto;0.1;S-43.56;S90.68;S11.3;S-134.11;S-52.64;S-14.52;S-8.65;S-9.88;S21.41;S1.8;S7.52;S124.18;S62.46;S-38.37;S-94.29;S3.03;S-7.96;S-75.81;S-62.61;S20.7;S4.7;S-20.44;S7.52;S6.55;S123.21;S70.2;S-0.13;S43.47;S-2.95
toto;0.1;S-44.35;S91.38;S11.21;S-134.11;S-52.93;S-67.89;S-8.36;S-9.59;S21.41;S1.71;S8.04;S124.18;S62.46;S-40.75;S-93.85;S3.03;S-8.22;S-75.81;S-62.32;S23.43;S4.53;S-20.44;S7.69;S6.81;S123.21;S70.2;S-0.13;S43.3;S-3.21
toto;0.1;S-44.53;S91.47;S11.3;S-134.11;S-52.93;S-9.82;S-8.65;S-9.59;S21.41;S1.54;S8.48;S124.18;S62.46;S-39.34;S-93.41;S3.03;S-8.48;S-75.22;S-62.32;S22.37;S4.18;S-20.44;S7.87;S7.16;S123.21;S70.2;S-0.31;S43.56;S-3.3
toto;0.1;S-45.41;S92.35;S11.21;S-134.11;S-53.23;S-59.97;S-8.65;S-9.59;S21.41;S1.36;S8.92;S124.18;S62.46;S-40.48;S-92.97;S3.03;S-8.84;S-75.81;S-62.32;S23.69;S3.82;S-20.35;S8.13;S7.52;S123.21;S70.2;S-0.48;S43.65;S-3.56
assis sur genou;1.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;P;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;P;S0.0;S43.0;S-1.1
