Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;5;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;PM;PM;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;PM;PM;S0.0;S43.0;S-1.1
k 1;5;S-92.44;S100.26;S90.86;S-68.35;S-16.28;S7.18;S24.49;S-2.55;S19.56;S4.0;S5.85;PM;PM;S-118.37;S-22.29;S-39.96;S-17.8;S-53.23;S24.19;S-14.2;S36.0;S-18.33;S3.3;S5.32;PM;PM;S-0.57;S43.21;S-1.1
toto;1;L-91.38;L98.33;L90.68;L-68.53;L-15.98;L8.06;L24.19;L-6.95;L19.12;L4.18;L6.55;PM;PM;L-113.01;L14.81;L-99.47;L-123.56;L-52.64;L23.02;L-13.41;L37.32;L-18.86;L3.03;L6.02;PM;PM;L0.22;L42.86;L-1.89
toto;1;L-80.04;L60.97;L88.4;L-107.74;L-15.69;L8.06;L25.37;L-6.95;L19.21;L4.18;L7.08;PM;PM;L-46.46;L-26.68;L-41.8;L-124.18;L-52.35;L23.31;L-5.85;L13.23;L-19.38;L2.68;L6.64;PM;PM;L0.57;L42.51;L-2.15
toto;1;L-100.44;L46.29;L95.78;L-121.89;L-16.28;L8.06;L24.78;L-6.95;L19.56;L4.53;L7.52;PM;PM;L-45.76;L-52.18;L-34.86;L-118.02;L-52.05;L23.61;L25.71;L3.47;L-19.82;L2.42;L6.99;PM;PM;L1.19;L43.12;L-2.95
k 2;5;S-106.15;S35.38;S89.98;S-111.78;S11.0;S15.69;S23.31;S-3.72;S18.86;S3.91;S8.13;PM;PM;S-89.45;S-37.05;S-72.66;S-109.58;S-22.73;S-25.66;S43.56;S0.84;S-19.47;S2.51;S7.6;PM;PM;S1.36;S33.36;S-2.33
assis sur genou;3;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;PM;PM;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;PM;PM;S0.0;S43.0;S-1.1
toto;1;L-46.29;L90.77;L-6.64;L-25.36;L71.99;L31.23;L-11.88;L-5.48;L19.38;L3.91;L6.2;PM;PM;L-39.34;L-98.59;L-4.09;L-30.11;L-74.34;L-0.44;L33.98;L5.32;L-19.65;L2.95;L5.76;PM;PM;L0.31;L42.68;L0.04
toto;1;L-63.52;L90.68;L-6.64;L-25.71;L71.99;L31.23;L-12.17;L-6.07;L18.86;L4.18;L6.73;PM;PM;L-52.0;L-98.68;L-3.65;L-36.26;L-73.75;L-0.15;L50.59;L7.16;L-20.18;L2.59;L6.29;PM;PM;L0.57;L42.51;L1.01
toto;1;L-66.77;L90.42;L-6.64;L-25.63;L71.99;L31.23;L-12.17;L-6.07;L18.59;L4.97;L6.2;PM;PM;L-54.46;L-98.42;L-3.82;L-41.45;L-74.34;L-0.44;L51.38;L4.97;L-20.62;L1.98;L6.29;PM;PM;L0.92;L43.38;L1.89
toto;1;L-54.55;L84.88;L-6.64;L-10.51;L71.7;L31.23;L-12.17;L-5.19;L18.07;L5.05;L6.46;PM;PM;L-32.92;L-94.46;L-16.22;L-49.89;L-74.63;L-0.44;L32.31;L9.54;L-20.18;L1.89;L6.46;PM;PM;L1.1;L42.95;L2.95
toto;1;L-40.31;L83.21;L-6.64;L-6.46;L71.99;L31.23;L-11.88;L-5.19;L17.71;L5.32;L6.02;PM;PM;L-44.09;L-86.46;L-7.08;L-102.02;L-74.34;L0.73;L16.04;L7.25;L-20.35;L1.54;L6.2;PM;PM;L1.1;L43.38;L3.47
toto;1;L-32.75;L83.21;L-6.64;L-5.23;L71.99;L31.82;L-12.17;L-5.19;L17.98;L5.67;L5.76;PM;PM;L-110.02;L-80.75;L5.05;L-104.04;L-74.63;L0.15;L7.34;L5.67;L-20.35;L1.27;L6.11;PM;PM;L0.84;L43.47;L3.56
toto;1;L-25.1;L82.15;L-6.55;L0.22;L71.99;L31.52;L-12.46;L-5.19;L18.15;L5.93;L5.58;PM;PM;L-129.27;L-81.89;L-1.63;L-76.88;L-74.93;L1.03;L4.26;L4.18;L-20.44;L1.19;L6.11;PM;PM;L1.19;L43.56;L3.74
k 3;1;S-36.62;S86.81;S-6.2;S-6.02;S71.99;S31.52;S-9.82;S-6.95;S20.26;S4.44;S12.0;PM;PM;S-115.91;S-88.84;S-2.15;S-82.07;S-72.87;S0.44;S12.79;S3.21;S-20.62;S4.44;S11.12;PM;PM;S3.82;S46.9;S3.82
assis sur genou;3;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;PM;PM;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;PM;PM;S0.0;S43.0;S-1.1
toto;1;L-41.54;L100.44;L0.22;L-48.4;L71.41;L30.35;L-11.29;L-7.54;L19.91;L4.26;L7.25;PM;PM;L-56.66;L-83.82;L2.95;L-13.41;L-74.34;L-35.04;L42.33;L-0.75;L-18.59;L4.44;L6.73;PM;PM;L-0.31;L42.42;L-1.36
toto;1;L-22.29;L86.99;L12.97;L-84.18;L71.41;L30.35;L-11.29;L-7.54;L20.09;L4.26;L8.13;PM;PM;L-54.64;L-77.93;L2.86;L-2.77;L-74.63;L-29.47;L33.36;L-6.55;L-18.33;L4.62;L7.34;PM;PM;L-0.22;L41.8;L-1.98
toto;1;L-30.64;L68.26;L12.79;L-109.41;L71.41;L30.94;L-11.29;L-7.54;L20.09;L4.0;L8.66;PM;PM;L-46.9;L-59.3;L2.95;L-2.77;L-74.34;L-25.07;L20.26;L-7.43;L-18.33;L4.35;L7.96;PM;PM;L0.22;L41.19;L-2.42
toto;1;L-62.73;L42.68;L-20.7;L-104.04;L71.41;L31.23;L-11.29;L-7.54;L20.35;L4.26;L9.1;PM;PM;L-51.82;L-38.29;L2.86;L-18.68;L-74.34;L-7.77;L20.09;L-8.31;L-18.59;L4.35;L8.31;PM;PM;L0.13;L40.92;L-2.86
toto;1;L-76.97;L-1.98;L-21.49;L-76.88;L36.51;L29.77;L-12.17;L-7.54;L20.35;L4.53;L9.45;PM;PM;L-80.22;L-18.33;L0.22;L-29.93;L-75.22;L12.76;L23.87;L-5.93;L-19.3;L4.09;L8.48;PM;PM;L0.4;L41.45;L-2.51
k 4;1;S-69.93;S0.31;S-21.58;S-74.59;S29.77;S28.89;S-11.58;S-7.54;S19.82;S4.7;S9.36;PM;PM;S-110.29;S-17.19;S-33.8;S0.31;S-74.34;S18.91;S20.0;S-4.0;S-19.91;S3.82;S8.48;PM;PM;S0.66;S41.71;S-1.89
assis sur genou;3;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;PM;PM;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;PM;PM;S0.0;S43.0;S-1.1
toto;3;L-81.71;L80.75;L17.36;L-65.1;L72.58;L31.23;L-0.73;L-10.47;L20.44;L3.47;L6.11;PM;PM;L-60.53;L-71.96;L-11.12;L-91.56;L-76.1;L-67.01;L14.2;L4.53;L-18.59;L5.76;L5.49;PM;PM;L-0.48;L41.98;L-1.8
toto;1;L-99.21;L46.02;L25.45;L-64.75;L72.29;L31.52;L-0.73;L-10.47;L20.26;L3.47;L6.73;PM;PM;L-87.08;L-45.23;L-8.04;L-86.9;L-75.22;L-67.01;L13.67;L4.62;L-18.68;L6.11;L6.11;PM;PM;L-0.66;L41.45;L-1.54
toto;1;L-102.99;L14.11;L25.89;L-67.47;L72.29;L31.52;L-0.73;L-10.47;L20.44;L3.56;L7.25;PM;PM;L-93.76;L-17.89;L-4.79;L-87.16;L-75.22;L-67.01;L13.32;L4.18;L-18.42;L6.29;L6.46;PM;PM;L-1.01;L41.01;L-1.63
k 5;1;S-94.37;S7.87;S-0.04;S-86.37;S28.3;S25.07;S-0.44;S-10.47;S20.35;S1.8;S15.25;PM;PM;S-93.14;S-12.0;S-5.32;S-88.92;S-22.43;S-27.42;S16.4;S-2.77;S-20.09;S8.92;S14.55;PM;PM;S1.98;S42.51;S-5.85
toto;1;L-96.04;L9.63;L6.64;L-54.81;L108.06;L29.18;L-0.73;L-10.47;L20.26;L3.38;L8.48;PM;PM;L-93.85;L-9.45;L-3.38;L-54.37;L-75.22;L-41.79;L12.44;L3.12;L-18.68;L6.73;L7.43;PM;PM;L-1.27;L39.96;L-1.19
toto;1;L-86.46;L13.67;L2.68;L0.66;L106.89;L29.18;L-0.73;L-10.47;L20.26;L3.47;L8.92;PM;PM;L-78.55;L-19.03;L4.35;L0.84;L-76.98;L-44.13;L12.79;L3.56;L-19.12;L6.81;L7.78;PM;PM;L-0.84;L39.87;L-1.1
toto;1;L-45.05;L35.74;L-37.58;L0.48;L109.24;L30.35;L-0.73;L-10.47;L20.26;L3.47;L9.36;PM;PM;L-51.82;L-35.21;L32.48;L0.48;L-76.98;L-44.43;L13.23;L3.21;L-19.47;L6.81;L8.13;PM;PM;L-1.19;L40.22;L-1.01
toto;1;L-38.99;L55.96;L-50.95;L0.57;L109.24;L30.35;L-1.03;L-10.47;L20.35;L3.65;L9.54;PM;PM;L-44.35;L-52.09;L40.48;L0.57;L-76.98;L-45.31;L13.76;L2.95;L-19.91;L6.73;L8.4;PM;PM;L-1.1;L40.57;L-0.66
toto;1;L-41.36;L69.67;L-50.68;L0.57;L108.94;L30.06;L-0.73;L-10.47;L20.26;L3.82;L9.54;PM;PM;L-44.53;L-68.88;L39.69;L0.66;L-76.39;L-43.84;L14.2;L3.21;L-20.26;L6.64;L8.4;PM;PM;L-0.66;L40.92;L-0.4
toto;1;L-41.98;L81.1;L-42.33;L0.57;L108.36;L29.77;L-0.73;L-10.47;L20.18;L3.91;L9.54;PM;PM;L-43.65;L-83.3;L35.65;L0.66;L-75.81;L-42.08;L14.46;L3.56;L-20.35;L6.73;L8.4;PM;PM;L-0.66;L41.19;L-0.22
toto;1;L-43.21;L94.29;L-37.76;L0.57;L108.65;L29.47;L-0.15;L-10.47;L20.18;L4.0;L9.89;PM;PM;L-44.7;L-100.7;L23.16;L0.75;L-77.27;L-41.2;L14.81;L3.21;L-20.35;L6.99;L8.66;PM;PM;L-0.57;L41.36;L0.04
