Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
toto;1;S29.23;S70.44;S81.01;S-5.23;S-72.58;S-21.55;S-3.37;S25.6;S7.96;S-1.71;S-7.78;S-4.88;S-14.55;S31.25;S-74.75;S-5.58;S-15.25;S-3.67;S19.79;S-21.58;S0.13;S-4.09;S4.09;S-6.64;S-5.67;S-24.48;S2.59;S-8.04;S3.12
toto;1;S28.97;S70.44;S81.01;S-5.32;S-72.58;S-21.55;S-4.25;S25.01;S7.6;S-1.71;S-7.96;S-1.71;S-14.55;S30.64;S-74.66;S-5.58;S-15.34;S-3.37;S19.79;S-20.53;S0.04;S0.66;S1.89;S-42.42;S58.68;S14.29;S2.59;S-6.64;S3.47
toto;1;S28.88;S70.53;S80.92;S-5.32;S-72.29;S-21.55;S-4.55;S25.01;S7.52;S-1.63;S-7.96;S-1.71;S-14.55;S30.64;S-74.66;S-5.58;S-15.34;S-3.37;S19.5;S-20.53;S0.04;S1.54;S2.15;S-66.77;S109.23;S14.46;S2.59;S-6.64;S3.38
toto;1;S28.97;S70.53;S80.92;S-5.32;S-71.99;S-21.55;S-4.55;S25.01;S7.43;S-1.71;S-7.96;S-1.71;S-14.55;S30.64;S-74.66;S-5.58;S-15.34;S-3.37;S19.79;S-20.53;S-0.04;S0.13;S2.51;S-69.76;S117.67;S29.76;S2.59;S-6.73;S3.38
toto;1;S29.14;S70.62;S81.01;S-5.67;S-71.41;S-21.55;S-5.43;S25.6;S2.77;S-10.77;S1.27;S-4.88;S-14.55;S30.64;S-74.92;S-5.49;S-15.16;S-3.67;S19.79;S-14.9;S-9.01;S-4.53;S2.07;S-44.62;S115.74;S17.54;S4.18;S-7.69;S-19.38
toto;1;S38.46;S67.45;S80.92;S-5.49;S-72.58;S-21.26;S-8.94;S25.89;S8.31;S-4.26;S8.66;S-4.88;S-14.55;S22.81;S-80.64;S-5.49;S-9.45;S-3.67;S19.79;S-14.2;S-11.12;S-3.3;S-11.03;S-17.54;S103.96;S9.8;S14.02;S-7.69;S-29.23
toto;1;S44.7;S70.7;S81.01;S2.77;S-72.58;S-20.97;S-11.58;S25.31;S11.21;S17.89;S11.12;S2.33;S-14.55;S17.01;S-86.44;S-5.58;S-5.32;S-3.67;S19.5;S-13.93;S-12.18;S-5.58;S-13.23;S-2.51;S95.87;S9.36;S14.64;S-7.69;S-33.71
toto;1;S39.16;S79.76;S18.07;S-3.38;S-57.62;S-20.67;S-6.89;S25.01;S10.51;S18.33;S11.21;S2.86;S-14.55;S16.57;S-86.35;S-5.58;S-5.14;S-3.67;S19.79;S-13.41;S-12.26;S-5.41;S-10.24;S-3.82;S94.55;S9.1;S14.37;S-4.35;S-32.4
toto;1;S57.63;S78.62;S16.84;S-41.45;S-46.19;S0.15;S-7.18;S25.01;S10.51;S18.77;S11.21;S3.21;S-14.55;S16.22;S-86.26;S-5.58;S-5.05;S-3.67;S19.79;S-13.23;S-12.35;S-5.14;S-9.63;S-4.09;S93.85;S9.1;S14.37;S-4.35;S-31.96
toto;1;S51.65;S85.47;S47.16;S-52.88;S-45.31;S0.15;S-7.48;S25.01;S10.51;S19.12;S11.12;S3.47;S-14.55;S15.96;S-86.26;S-5.58;S-4.97;S-3.67;S19.5;S-13.23;S-12.62;S-4.88;S-9.1;S-4.35;S93.41;S9.1;S14.37;S-4.35;S-31.69
