Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;5.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
k 1;5.0;S-92.44;S100.26;S90.86;S-68.35;S-16.28;S7.18;S24.49;S-2.55;S19.56;S4.0;S5.85;S121.36;S65.63;S-118.37;S-22.29;S-39.96;S-17.8;S-53.23;S24.19;S-14.2;S36.0;S-18.33;S3.3;S5.32;S121.71;S65.19;S-0.57;S43.21;S-1.1
toto;1;S-91.38;S98.33;S90.68;S-68.53;S-15.98;S8.06;S24.19;S-6.95;S19.12;S4.18;S6.55;S123.38;S65.8;S-113.01;S14.81;S-99.47;S-123.56;S-52.64;S23.02;S-13.41;S37.32;S-18.86;S3.03;S6.02;S123.03;S65.19;S0.22;S42.86;S-1.89
toto;1;S-80.04;S60.97;S88.4;S-107.74;S-15.69;S8.06;S25.37;S-6.95;S19.21;S4.18;S7.08;S123.74;S65.98;S-46.46;S-26.68;S-41.8;S-124.18;S-52.35;S23.31;S-5.85;S13.23;S-19.38;S2.68;S6.64;S123.21;S65.19;S0.57;S42.51;S-2.15
toto;1;S-100.44;S46.29;S95.78;S-121.89;S-16.28;S8.06;S24.78;S-6.95;S19.56;S4.53;S7.52;S123.74;S66.07;S-45.76;S-52.18;S-34.86;S-118.02;S-52.05;S23.61;S25.71;S3.47;S-19.82;S2.42;S6.99;S123.21;S65.19;S1.19;S43.12;S-2.95
k 2;5.0;S-106.15;S35.38;S89.98;S-111.78;S11.0;S15.69;S23.31;S-3.72;S18.86;S3.91;S8.13;S123.91;S66.51;S-89.45;S-37.05;S-72.66;S-109.58;S-22.73;S-25.66;S43.56;S0.84;S-19.47;S2.51;S7.6;S123.21;S65.45;S1.36;S33.36;S-2.33
assis sur genou;3.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
toto;1;S-46.29;S90.77;S-6.64;S-25.36;S71.99;S31.23;S-11.88;S-5.48;S19.38;S3.91;S6.2;S123.56;S65.71;S-39.34;S-98.59;S-4.09;S-30.11;S-74.34;S-0.44;S33.98;S5.32;S-19.65;S2.95;S5.76;S122.95;S65.27;S0.31;S42.68;S0.04
toto;1;S-63.52;S90.68;S-6.64;S-25.71;S71.99;S31.23;S-12.17;S-6.07;S18.86;S4.18;S6.73;S124.09;S65.8;S-52.0;S-98.68;S-3.65;S-36.26;S-73.75;S-0.15;S50.59;S7.16;S-20.18;S2.59;S6.29;S123.21;S65.27;S0.57;S42.51;S1.01
toto;1;S-66.77;S90.42;S-6.64;S-25.63;S71.99;S31.23;S-12.17;S-6.07;S18.59;S4.97;S6.2;S124.0;S65.8;S-54.46;S-98.42;S-3.82;S-41.45;S-74.34;S-0.44;S51.38;S4.97;S-20.62;S1.98;S6.29;S123.03;S65.27;S0.92;S43.38;S1.89
toto;1;S-54.55;S84.88;S-6.64;S-10.51;S71.7;S31.23;S-12.17;S-5.19;S18.07;S5.05;S6.46;S123.65;S65.8;S-32.92;S-94.46;S-16.22;S-49.89;S-74.63;S-0.44;S32.31;S9.54;S-20.18;S1.89;S6.46;S122.68;S65.27;S1.1;S42.95;S2.95
toto;1;S-40.31;S83.21;S-6.64;S-6.46;S71.99;S31.23;S-11.88;S-5.19;S17.71;S5.32;S6.02;S123.47;S65.8;S-44.09;S-86.46;S-7.08;S-102.02;S-74.34;S0.73;S16.04;S7.25;S-20.35;S1.54;S6.2;S122.33;S65.27;S1.1;S43.38;S3.47
toto;1;S-32.75;S83.21;S-6.64;S-5.23;S71.99;S31.82;S-12.17;S-5.19;S17.98;S5.67;S5.76;S122.95;S65.71;S-110.02;S-80.75;S5.05;S-104.04;S-74.63;S0.15;S7.34;S5.67;S-20.35;S1.27;S6.11;S121.71;S65.27;S0.84;S43.47;S3.56
toto;1;S-25.1;S82.15;S-6.55;S0.22;S71.99;S31.52;S-12.46;S-5.19;S18.15;S5.93;S5.58;S123.03;S65.71;S-129.27;S-81.89;S-1.63;S-76.88;S-74.93;S1.03;S4.26;S4.18;S-20.44;S1.19;S6.11;S121.89;S65.27;S1.19;S43.56;S3.74
k 3;1;S-36.62;S86.81;S-6.2;S-6.02;S71.99;S31.52;S-9.82;S-6.95;S20.26;S4.44;S12.0;S124.09;S65.8;S-115.91;S-88.84;S-2.15;S-82.07;S-72.87;S0.44;S12.79;S3.21;S-20.62;S4.44;S11.12;S123.38;S65.27;S3.82;S46.9;S3.82
assis sur genou;3.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
toto;1;S-41.54;S100.44;S0.22;S-48.4;S71.41;S30.35;S-11.29;S-7.54;S19.91;S4.26;S7.25;S123.91;S65.89;S-56.66;S-83.82;S2.95;S-13.41;S-74.34;S-35.04;S42.33;S-0.75;S-18.59;S4.44;S6.73;S123.12;S65.27;S-0.31;S42.42;S-1.36
toto;1;S-22.29;S86.99;S12.97;S-84.18;S71.41;S30.35;S-11.29;S-7.54;S20.09;S4.26;S8.13;S124.18;S66.33;S-54.64;S-77.93;S2.86;S-2.77;S-74.63;S-29.47;S33.36;S-6.55;S-18.33;S4.62;S7.34;S123.3;S65.71;S-0.22;S41.8;S-1.98
toto;1;S-30.64;S68.26;S12.79;S-109.41;S71.41;S30.94;S-11.29;S-7.54;S20.09;S4.0;S8.66;S124.18;S66.51;S-46.9;S-59.3;S2.95;S-2.77;S-74.34;S-25.07;S20.26;S-7.43;S-18.33;S4.35;S7.96;S123.38;S65.71;S0.22;S41.19;S-2.42
toto;1;S-62.73;S42.68;S-20.7;S-104.04;S71.41;S31.23;S-11.29;S-7.54;S20.35;S4.26;S9.1;S124.18;S66.42;S-51.82;S-38.29;S2.86;S-18.68;S-74.34;S-7.77;S20.09;S-8.31;S-18.59;S4.35;S8.31;S123.3;S65.71;S0.13;S40.92;S-2.86
toto;1;S-76.97;S-1.98;S-21.49;S-76.88;S36.51;S29.77;S-12.17;S-7.54;S20.35;S4.53;S9.45;S124.0;S66.51;S-80.22;S-18.33;S0.22;S-29.93;S-75.22;S12.76;S23.87;S-5.93;S-19.3;S4.09;S8.48;S123.12;S65.71;S0.4;S41.45;S-2.51
k 4;1;S-69.93;S0.31;S-21.58;S-74.59;S29.77;S28.89;S-11.58;S-7.54;S19.82;S4.7;S9.36;S124.0;S66.42;S-110.29;S-17.19;S-33.8;S0.31;S-74.34;S18.91;S20.0;S-4.0;S-19.91;S3.82;S8.48;S123.03;S65.71;S0.66;S41.71;S-1.89
assis sur genou;3.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
toto;3.0;S-81.71;S80.75;S17.36;S-65.1;S72.58;S31.23;S-0.73;S-10.47;S20.44;S3.47;S6.11;S122.86;S65.71;S-60.53;S-71.96;S-11.12;S-91.56;S-76.1;S-67.01;S14.2;S4.53;S-18.59;S5.76;S5.49;S122.51;S65.36;S-0.48;S41.98;S-1.8
toto;1;S-99.21;S46.02;S25.45;S-64.75;S72.29;S31.52;S-0.73;S-10.47;S20.26;S3.47;S6.73;S123.74;S65.8;S-87.08;S-45.23;S-8.04;S-86.9;S-75.22;S-67.01;S13.67;S4.62;S-18.68;S6.11;S6.11;S123.03;S65.27;S-0.66;S41.45;S-1.54
toto;1;S-102.99;S14.11;S25.89;S-67.47;S72.29;S31.52;S-0.73;S-10.47;S20.44;S3.56;S7.25;S124.09;S65.8;S-93.76;S-17.89;S-4.79;S-87.16;S-75.22;S-67.01;S13.32;S4.18;S-18.42;S6.29;S6.46;S123.12;S65.36;S-1.01;S41.01;S-1.63
k 5;1;S-94.37;S7.87;S-0.04;S-86.37;S28.3;S25.07;S-0.44;S-10.47;S20.35;S1.8;S15.25;S124.18;S65.63;S-93.14;S-12.0;S-5.32;S-88.92;S-22.43;S-27.42;S16.4;S-2.77;S-20.09;S8.92;S14.55;S123.38;S65.45;S1.98;S42.51;S-5.85
toto;1;S-96.04;S9.63;S6.64;S-54.81;S108.06;S29.18;S-0.73;S-10.47;S20.26;S3.38;S8.48;S124.18;S65.8;S-93.85;S-9.45;S-3.38;S-54.37;S-75.22;S-41.79;S12.44;S3.12;S-18.68;S6.73;S7.43;S123.21;S65.27;S-1.27;S39.96;S-1.19
toto;1;S-86.46;S13.67;S2.68;S0.66;S106.89;S29.18;S-0.73;S-10.47;S20.26;S3.47;S8.92;S124.18;S65.8;S-78.55;S-19.03;S4.35;S0.84;S-76.98;S-44.13;S12.79;S3.56;S-19.12;S6.81;S7.78;S123.21;S65.27;S-0.84;S39.87;S-1.1
toto;1;S-45.05;S35.74;S-37.58;S0.48;S109.24;S30.35;S-0.73;S-10.47;S20.26;S3.47;S9.36;S124.18;S65.8;S-51.82;S-35.21;S32.48;S0.48;S-76.98;S-44.43;S13.23;S3.21;S-19.47;S6.81;S8.13;S123.21;S65.27;S-1.19;S40.22;S-1.01
toto;1;S-38.99;S55.96;S-50.95;S0.57;S109.24;S30.35;S-1.03;S-10.47;S20.35;S3.65;S9.54;S124.18;S65.8;S-44.35;S-52.09;S40.48;S0.57;S-76.98;S-45.31;S13.76;S2.95;S-19.91;S6.73;S8.4;S123.21;S65.27;S-1.1;S40.57;S-0.66
toto;1;S-41.36;S69.67;S-50.68;S0.57;S108.94;S30.06;S-0.73;S-10.47;S20.26;S3.82;S9.54;S124.18;S65.8;S-44.53;S-68.88;S39.69;S0.66;S-76.39;S-43.84;S14.2;S3.21;S-20.26;S6.64;S8.4;S123.21;S65.27;S-0.66;S40.92;S-0.4
toto;1;S-41.98;S81.1;S-42.33;S0.57;S108.36;S29.77;S-0.73;S-10.47;S20.18;S3.91;S9.54;S124.09;S65.8;S-43.65;S-83.3;S35.65;S0.66;S-75.81;S-42.08;S14.46;S3.56;S-20.35;S6.73;S8.4;S123.21;S65.27;S-0.66;S41.19;S-0.22
toto;1;S-43.21;S94.29;S-37.76;S0.57;S108.65;S29.47;S-0.15;S-10.47;S20.18;S4.0;S9.89;S124.09;S65.8;S-44.7;S-100.7;S23.16;S0.75;S-77.27;S-41.2;S14.81;S3.21;S-20.35;S6.99;S8.66;S123.21;S65.27;S-0.57;S41.36;S0.04
