Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
dos redresse;1;S-84.97;S94.62;S-3.74;S-13.14;S98.97;S63.78;S-5.13;S24.72;S17.1;S13.41;S-64.22;S119.08;S65.63;S-86.9;S-91.45;S-8.31;S-19.38;S-86.07;S-67.01;S20.44;S-4.97;S-5.67;S-3.47;S-68.0;S119.78;S64.92;S4.26;S21.49;S2.42
k jambe gauche;1;S-110.99;S99.01;S0.48;S-3.38;S95.75;S63.2;S-5.13;S24.72;S24.57;S5.41;S-51.3;S119.52;S65.98;S-104.84;S-92.42;S-7.16;S-8.31;S-86.07;S-69.06;S35.38;S-5.23;S-13.49;S9.8;S-57.1;S119.78;S65.27;S13.58;S34.68;S2.07
toto;1;S-110.29;S99.1;S0.48;S-2.51;S95.16;S63.49;S-4.55;S24.72;S23.78;S8.66;S-53.58;S119.16;S65.89;S-105.63;S-92.07;S-7.08;S-8.22;S-85.48;S-68.48;S34.42;S-4.88;S-0.48;S8.13;S-57.98;S119.78;S65.36;S13.58;S34.24;S1.71
toto;1;S-109.85;S99.1;S0.4;S-1.8;S94.87;S63.49;S-4.84;S24.72;S19.12;S-11.91;S-58.86;S119.96;S65.89;S-105.8;S-91.63;S-6.99;S-7.69;S-85.78;S-68.18;S33.8;S-4.35;S-2.51;S3.74;S-57.19;S119.6;S63.87;S13.32;S34.42;S0.48
toto;1;S-109.23;S99.27;S0.48;S-1.01;S94.28;S63.49;S-5.13;S24.43;S20.62;S-12.62;S-59.12;S119.87;S65.89;S-106.07;S-90.57;S-6.81;S-7.25;S-85.78;S-68.77;S33.36;S-3.91;S-20.0;S-20.0;S-43.56;S118.73;S62.55;S13.05;S34.24;S-0.57
k bras droit ok;1;S-108.53;S103.14;S0.57;S3.03;S93.99;S68.48;S-5.13;S24.72;S21.23;S-11.91;S-59.38;S119.6;S65.89;S-106.51;S-90.4;S-6.73;S-7.52;S-86.95;S-69.35;S32.84;S-4.09;S-19.91;S-19.91;S-8.04;S81.63;S61.93;S13.41;S33.98;S0.31
toto;1;S-81.54;S97.96;S2.95;S-51.21;S91.06;S67.6;S-5.13;S24.72;S20.0;S-11.65;S-59.65;S118.99;S65.89;S-106.77;S-91.8;S-6.81;S-7.25;S-86.07;S-69.65;S32.75;S-3.74;S-21.93;S-20.62;S-8.4;S81.45;S61.85;S13.93;S34.33;S1.71
toto;1;S-66.51;S68.15;S-2.07;S-73.27;S91.06;S67.6;S-4.84;S24.72;S19.82;S-11.65;S-59.38;S119.08;S65.89;S-106.15;S-90.66;S-6.64;S-6.37;S-86.07;S-69.65;S32.48;S-3.38;S-22.02;S-20.35;S-8.22;S81.71;S61.85;S13.49;S34.07;S0.4
toto;1;S-89.01;S73.69;S-2.42;S-28.18;S91.06;S64.96;S-5.13;S24.72;S19.74;S-11.74;S-59.12;S118.99;S65.89;S-105.45;S-89.87;S-6.46;S-5.49;S-87.24;S-70.82;S31.96;S-3.03;S-24.22;S-20.09;S-7.96;S81.8;S62.02;S12.88;S33.71;S-0.75
toto;1;S-100.79;S92.24;S-0.75;S-1.54;S91.06;S66.42;S-5.43;S24.72;S20.88;S0.92;S-32.84;S107.74;S65.89;S-102.99;S-72.2;S1.27;S1.45;S-88.12;S-71.11;S18.77;S0.66;S-22.46;S-1.54;S-11.47;S86.2;S62.2;S-0.13;S51.03;S-0.4
toto;1;S-100.44;S92.24;S-0.66;S-1.01;S90.18;S67.01;S-5.13;S24.72;S21.05;S0.75;S-32.04;S107.56;S65.89;S-86.64;S-67.27;S-2.07;S-37.76;S-90.18;S-69.06;S17.98;S0.22;S-22.46;S-1.36;S-11.12;S86.02;S62.2;S-0.57;S51.12;S-1.01
toto;1;S-100.18;S91.19;S-0.66;S-0.48;S90.18;S68.48;S-4.84;S24.72;S21.05;S0.4;S-31.08;S107.47;S65.89;S-47.78;S-81.96;S-2.24;S-76.7;S-90.18;S-69.06;S17.01;S-0.04;S-22.73;S-0.75;S-10.68;S86.11;S62.2;S-0.4;S51.12;S-0.31
r hand below;1;S-100.0;S90.0;S0.0;S0.0;S90.0;M;M;M;S20.0;S0.0;S-30.0;M;M;S-80.0;S-90.0;S0.0;S0.0;S-90.0;M;S15.0;S0.0;S-20.0;S0.0;S-10.0;M;M;S0.0;S60.0;S0.0
