Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
a genou mieux;1;S-36.35;S89.52;S64.13;S0.4;S76.1;S0.44;S-0.44;S1.55;S25.98;S2.15;S15.25;S119.69;S64.84;S-42.51;S-84.68;S-58.15;S-3.47;S-76.1;S25.07;S21.41;S-4.18;S-27.3;S31.96;S3.03;S119.78;S64.48;S-1.45;S37.14;S5.58
toto;1;S-53.85;S82.13;S64.92;S-20.7;S76.39;S-2.49;S-3.08;S2.14;S21.32;S3.12;S14.64;S119.43;S65.19;S-57.36;S-78.97;S-58.07;S-16.66;S-73.75;S27.13;S40.48;S-0.84;S-21.93;S15.43;S5.23;S119.96;S64.31;S-1.54;S43.74;S1.45
toto;1;S-37.49;S75.01;S64.92;S-45.49;S76.69;S-2.49;S-3.08;S2.14;S21.41;S3.21;S14.29;S119.34;S65.19;S-47.34;S-77.47;S-58.07;S-16.48;S-73.75;S27.13;S32.84;S-3.12;S-21.93;S15.08;S5.93;S120.04;S63.78;S-2.42;S38.29;S0.48
toto;1;S-49.63;S96.55;S40.75;S-16.13;S76.69;S-2.79;S-3.08;S2.14;S21.32;S3.12;S14.29;S119.34;S65.27;S-44.79;S-75.54;S-58.07;S-16.48;S-73.75;S27.13;S31.52;S-5.32;S-21.93;S15.34;S6.46;S120.04;S63.43;S-1.54;S36.88;S-2.51
toto;1;S-50.77;S91.1;S25.8;S-60.09;S76.69;S-3.08;S-2.79;S2.14;S21.32;S3.03;S13.93;S119.34;S65.19;S-43.3;S-77.82;S-58.07;S-16.48;S-73.75;S27.13;S29.32;S-3.82;S-21.93;S15.08;S7.08;S119.96;S63.16;S-0.4;S36.88;S-0.04
toto;1;S-66.42;S92.42;S18.42;S-77.58;S76.39;S-2.79;S-3.08;S2.14;S21.32;S3.21;S13.85;S119.34;S65.19;S-41.89;S-78.35;S-58.07;S-16.4;S-73.75;S27.13;S28.62;S-0.04;S-21.93;S14.99;S7.34;S119.96;S63.16;S-3.91;S36.88;S-1.45
toto;1;S-80.48;S90.04;S19.03;S-80.84;S81.67;S2.49;S-3.08;S2.14;S21.32;S3.21;S13.76;S119.34;S65.19;S-41.63;S-76.33;S-58.07;S-16.48;S-73.75;S27.13;S27.74;S-2.42;S-21.93;S14.9;S7.43;S119.96;S63.16;S-4.0;S36.97;S-2.07
toto;1;S-110.0;S82.31;S44.97;S-55.08;S107.48;S43.55;S-2.79;S2.14;S21.32;S3.21;S13.85;S119.34;S65.19;S-41.1;S-76.77;S-58.07;S-16.48;S-73.75;S27.13;S27.12;S-2.51;S-21.93;S15.08;S7.69;S119.96;S63.16;S-3.56;S36.88;S-1.19
k retour;2.0;S-109.58;S85.65;S41.54;S-41.71;S65.25;S53.52;S13.34;S-17.51;S24.04;S0.31;S14.73;S120.04;S65.27;S-41.01;S-76.42;S-57.89;S-16.75;S-73.17;S24.19;S25.01;S-3.91;S-25.71;S17.8;S8.92;S119.96;S63.52;S-3.91;S36.62;S0.92
k main extreme;1;S-102.11;S76.24;S18.59;S-43.65;S38.27;S54.69;S7.48;S-17.8;S23.08;S-1.1;S15.16;S119.96;S65.27;S-44.26;S-75.63;S-57.54;S-17.1;S-73.46;S24.19;S26.86;S-16.84;S-25.54;S16.31;S10.24;S120.04;S63.52;S9.8;S39.6;S-4.26
