Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
toto;1;S31.6;S77.12;S6.99;S-9.19;S0.0;S0.0;S20.62;S-0.15;S0.22;S0.31;S-11.3;S-4.88;S53.49;S37.05;S-81.34;S9.54;S-17.71;S0.0;S0.0;S-23.87;S4.53;S-4.0;S3.12;S-11.65;S-5.85;S52.97;S-6.2;S-4.62;S-4.62
toto;1;L30.73;L77.12;L7.08;L-77.32;S0.0;S0.0;S20.62;S-0.15;S0.22;S0.4;S-11.3;S-4.88;S53.49;L36.44;L-83.45;L9.45;L-91.74;S0.0;S0.0;S-23.96;S4.53;S-4.0;S3.12;S-11.65;S-5.85;S52.97;S-6.2;S-4.62;S-4.62
toto;1;L-28.53;L89.6;L7.08;L-70.29;S0.0;S0.0;S20.62;S-0.15;S0.22;S0.4;S-11.3;S-4.79;S53.49;L-22.02;L-86.44;L1.19;L-83.91;S0.0;S0.0;S-23.87;S4.62;S-4.0;S3.12;S-11.65;S-5.85;S52.88;S-6.2;S-4.62;S-4.62
take me;1;S-62.02;S91.19;S6.99;S1.19;S0.0;S0.0;S20.62;S-0.15;S0.22;S0.4;S-11.38;S-4.79;S53.49;S-61.76;S-88.64;S0.92;S-5.58;S0.0;S0.0;S-23.87;S4.88;S-4.18;S3.12;S-11.65;S-5.85;S52.97;S-6.55;S-4.62;S-2.33
toto;1;S-61.67;S90.31;S6.99;S0.13;S0.0;S0.0;S2.14;S0.15;S0.31;S0.4;S-11.74;S-4.88;S53.49;S-61.41;S-89.52;S-1.27;S-6.55;S0.0;S0.0;S14.29;S4.79;S-4.79;S2.95;S-12.0;S-5.85;S52.97;S-6.55;S-2.77;S0.84
toto;1;S-122.59;S95.41;S-6.46;S0.75;S0.0;S0.0;S-6.66;S-0.44;S1.27;S0.84;S-5.23;S-4.79;S53.49;S-124.09;S-89.96;S21.41;S0.84;S0.0;S0.0;S21.05;S8.13;S-4.44;S3.03;S-5.49;S-5.85;S55.08;S-10.24;S20.97;S2.86
toto;1;S-117.14;S91.1;S-6.37;S0.92;S0.0;S0.0;S-9.3;S-0.44;S1.36;S0.92;S-6.02;S-4.88;S53.58;S-117.67;S-90.13;S12.79;S0.75;S0.0;S0.0;S0.13;S2.42;S-5.05;S3.03;S-6.37;S-5.85;S56.66;S-3.38;S52.0;S1.27
toto;1;S-136.22;S92.15;S-6.46;S2.77;S0.0;S0.0;S-9.3;S-0.73;S2.51;S0.84;S-56.22;S1.98;S76.44;S-136.48;S-90.57;S-1.19;S2.15;S0.0;S0.0;S-23.69;S3.38;S-0.66;S4.79;S-52.62;S-5.85;S79.96;S-2.51;S51.74;S0.66
toto;1;S-133.32;S89.87;S-3.47;S0.13;S0.0;S0.0;S-8.71;S-1.03;S2.68;S6.64;S-96.04;S81.8;S49.36;S-136.57;S-90.04;S-1.19;S0.04;S0.0;S0.0;S-20.7;S2.07;S-10.59;S4.79;S-94.64;S76.97;S44.44;S-3.74;S50.42;S0.22
toto;2.0;S-134.29;S85.82;S-9.45;S3.12;S0.0;S0.0;S-8.71;S-1.03;S-0.92;S9.01;S-4.0;S-4.88;S6.02;S-140.26;S-91.36;S0.22;S2.24;S0.0;S0.0;S-22.73;S0.31;S-1.54;S-16.48;S-2.07;S-4.53;S2.15;S-3.56;S-2.51;S-8.66
