Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
k assis sur genou;1.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;S71.0;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.0;S0.0;S43.0;S-1.1
k tete cour;2.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-47.36;S-13.7;S23.78;S2.77;S5.0;P;S71.0;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.0;S0.0;S43.0;S-1.1
k ligne 1;3.0;S-14.11;S-6.37;S0.4;S0.22;S1.91;S-3.08;S-46.77;S-13.4;S20.09;S1.63;S7.16;P;S71.0;S-89.63;S-100.35;S-88.84;S-80.75;S-11.29;S-22.43;S4.53;S-29.14;S-19.65;S3.47;S6.9;P;S64.13;S0.66;S41.54;S-2.59
k ferme ligne;3.0;S-38.73;S0.92;S27.38;S-132.09;S2.79;S-2.79;S0.15;S-4.6;S21.49;S0.4;S7.43;P;S72.29;S-87.69;S-98.59;S-89.1;S-80.48;S-11.29;S-22.43;S5.14;S-30.11;S-20.09;S4.79;S7.25;P;S62.9;S0.04;S41.71;S-3.12
k inverse ligne;3.0;S-58.95;S96.4;S-6.37;S0.4;S3.37;S2.2;S9.53;S14.16;S21.67;S-1.19;S6.81;P;S74.93;S-61.58;S-100.88;S-17.98;S-3.47;S23.31;S-3.08;S-19.56;S9.1;S-19.65;S7.96;S7.43;P;S62.61;S-0.75;S48.22;S63.43
k avion;3.0;S-57.98;S-45.05;S-4.18;S0.22;S3.08;S-9.24;S-8.94;S6.25;S20.88;S2.86;S5.67;P;S76.1;S-57.01;S45.85;S-6.37;S-0.66;S15.69;S6.3;S51.74;S4.88;S-20.44;S5.76;S6.11;P;S61.73;S-0.22;S44.79;S-0.84
k bas;3.0;S-72.57;S92.62;S12.97;S-15.78;S79.91;S-6.89;S-8.65;S6.83;S21.23;S4.26;S5.23;P;S76.1;S-74.51;S-87.52;S0.57;S-21.85;S-72.87;S-4.84;S52.18;S3.38;S-20.97;S4.53;S5.93;P;S61.44;S-1.45;S47.6;S-0.13
k pax;5.0;S-79.52;S77.41;S-2.07;S-78.46;S90.47;S8.65;S-10.12;S-10.18;S21.23;S2.68;S7.25;P;S75.51;S1.36;S-83.21;S47.6;S-6.02;S-70.53;S-4.84;S-11.74;S4.53;S-20.88;S7.16;S8.4;P;S62.61;S-1.63;S42.77;S-1.1
k inverse ligne;3.0;S-58.95;S96.4;S-6.37;S0.4;S3.37;S2.2;S9.53;S14.16;S21.67;S-1.19;S6.81;P;S74.93;S-61.58;S-100.88;S-17.98;S-3.47;S23.31;S-3.08;S-19.56;S9.1;S-19.65;S7.96;S7.43;P;S62.61;S-0.75;S48.22;S63.43
k inverse ligne tete;3.0;S-58.95;S96.4;S-6.37;S0.4;S3.37;S2.2;S-54.69;S-1.09;S21.67;S-1.19;S6.81;P;S74.93;S-61.58;S-100.88;S-17.98;S-3.47;S23.31;S-3.08;S-19.56;S9.1;S-19.65;S7.96;S7.43;P;S62.61;S-0.75;S48.22;S63.43
k L;3.0;S-25.89;S16.04;S-71.08;S-102.29;S-8.06;S6.6;S-9.82;S-10.18;S20.44;S2.24;S6.46;P;S74.93;S-49.36;S6.02;S55.08;S0.48;S-76.1;S-8.94;S14.99;S4.26;S-20.09;S5.67;S8.04;P;S62.61;S3.12;S50.59;S-30.02
k assis;3.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;S75.0;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.0;S0.0;S43.0;S-1.1
k H assis;0.6;S-67.12;S6.81;S-30.29;S-93.58;S7.77;S6.89;S-9.82;S-10.47;S20.18;S5.14;S6.11;P;S73.17;S-46.81;S-0.48;S50.77;S-94.2;S-13.05;S1.61;S12.62;S5.49;S-18.15;S5.49;S7.16;P;S63.78;S-1.1;S42.68;S-0.75
k assis;5.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;S75.0;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.0;S0.0;S43.0;S-1.1
