Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assise fier;5;L13.41;L70.64;L14.81;L-32.92;L39.74;L57.04;L-30.06;L-4.02;L13.67;L20.26;L-80.48;M;L-14.22;L7.87;L-83.03;L27.3;L-31.16;L-68.48;L-51.76;L-19.56;L-3.3;L-15.6;L-14.99;L-81.19;M;L-24.19;L2.24;L13.23;L4.26
toto;1;L13.67;L71.08;L14.99;L-32.84;L40.32;L57.04;L2.2;L-2.26;L13.93;L21.41;L-80.75;L5.67;L-13.34;L7.6;L-82.86;L27.12;L-31.6;L-67.89;L-52.05;L-20.53;L-3.12;L-15.16;L-16.4;L-80.92;L1.63;L-24.19;L2.07;L13.41;L4.18
toto;1;L13.41;L71.34;L14.81;L-33.19;L40.32;L57.92;L-3.08;L12.11;L14.29;L21.85;L-81.01;L5.67;L-13.05;L7.16;L-82.68;L27.03;L-32.31;L-67.01;L-52.05;L-20.18;L-2.86;L-14.9;L-16.75;L-81.1;L1.54;L-24.19;L1.89;L13.67;L4.18
toto;1;L13.32;L71.69;L14.81;L-33.19;L40.62;L57.92;L-9.53;L-5.48;L14.46;L22.11;L-81.27;L5.58;L-12.76;L7.43;L-82.42;L27.21;L-32.75;L-66.72;L-51.76;L-20.7;L-2.86;L-14.64;L-16.92;L-81.27;L1.27;L-24.19;L1.89;L13.58;L3.91
toto;1;L13.32;L72.13;L14.99;L-33.1;L40.32;L57.92;L4.84;L10.35;L14.81;L21.93;L-81.54;L5.67;L-12.76;L6.81;L-82.07;L27.03;L-33.63;L-66.72;L-51.17;L-20.35;L-2.68;L-14.29;L-17.19;L-81.19;L1.27;L-24.19;L1.54;L13.93;L4.0
k fin tete;1;L13.58;L72.57;L15.16;L-32.84;L40.62;L57.92;L-4.84;L-7.54;L14.9;L21.93;L-81.8;L5.76;L-12.46;L6.9;L-81.71;L27.21;L-34.07;L-66.72;L-50.29;L-20.62;L-2.86;L-14.02;L-17.27;L-81.19;L1.19;L-24.49;L1.27;L13.67;L4.18
toto;3;L21.93;L74.33;L-5.14;L-55.08;L51.76;L40.32;L-4.55;L3.31;L10.15;L20.09;L-76.35;L2.24;L-13.64;L10.59;L-84.26;L7.08;L-33.54;L-39.44;L-59.09;L7.87;L3.03;L-13.93;L-14.9;L-75.82;L1.36;L-23.9;L0.13;L-1.54;L2.95
toto;2;L20.7;L56.75;L14.9;L-69.32;L73.17;L16.57;L19.21;L9.18;L6.29;L20.35;L-71.43;L2.33;L-13.93;L23.25;L-93.41;L6.37;L-2.24;L-32.11;L-49.12;L-2.24;L1.8;L-18.07;L-13.23;L-67.91;L0.22;L-24.19;L13.14;L-6.11;L-21.49
toto;2;L-0.48;L76.26;L31.08;L-74.15;L62.32;L-1.03;L27.42;L5.37;L20.0;L18.68;L-31.52;L-0.75;L-14.22;L38.11;L-93.14;L41.19;L-71.43;L-44.72;L-32.7;L18.24;L-46.37;L-20.88;L9.63;L-33.27;L-0.75;L-24.49;L36.18;L-5.32;L-47.25
k coude;2;L32.13;L92.18;L-2.07;L-92.44;L72.29;L-2.49;L-3.08;L9.18;L20.0;L13.14;L-30.64;L53.14;L-15.69;L25.27;L-77.93;L14.29;L-85.23;L-66.42;L-0.73;L33.98;L-25.89;L-19.74;L1.27;L-2.15;L-0.84;L-21.26;L23.16;L26.33;L-12.0
