Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
k assis;1.0;M;M;M;M;M;M;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;S64.0;M;M;M;M;M;M;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.0;S0.0;S43.0;S-1.1
k assis;1.0;M;M;M;M;M;M;S0.44;S-15.45;S20.97;S3.47;S6.02;P;S65.1;M;M;M;M;M;M;S-20.26;S-0.48;S-19.91;S5.05;S6.2;P;S64.66;S-0.66;S35.47;S34.59
k assis;1.0;M;M;M;M;M;M;S31.23;S-16.33;S21.05;S3.65;S6.46;P;S65.36;M;M;M;M;M;M;S-20.35;S3.74;S-20.26;S5.32;S6.81;P;S64.66;S-3.47;S33.36;S44.7
k assis;1.0;M;M;M;M;M;M;S-26.25;S-16.33;S21.05;S3.82;S6.9;P;S65.45;M;M;M;M;M;M;S-20.44;S-0.31;S-20.44;S5.32;S7.43;P;S64.75;S-3.91;S35.38;S35.03
k assis;1.0;M;M;M;M;M;M;S-17.16;S-16.04;S21.05;S3.74;S7.34;P;S65.45;M;M;M;M;M;M;S-20.44;S4.7;S-20.35;S5.58;S7.96;P;S64.75;S-0.75;S36.18;S-22.02
k assis;1.0;M;M;M;M;M;M;S-13.05;S-16.04;S20.97;S3.65;S7.69;P;S65.45;M;M;M;M;M;M;S-20.53;S10.07;S-20.35;S5.85;S8.57;P;S64.75;S4.88;S38.99;S-57.63
k assis;1.0;M;M;M;M;M;M;S-23.02;S-16.04;S20.97;S3.56;S8.04;P;S65.45;M;M;M;M;M;M;S-20.53;S13.67;S-20.44;S6.11;S9.19;P;S64.75;S5.67;S39.69;S-63.69
k assis;1.0;M;M;M;M;M;M;S46.77;S-16.04;S21.05;S3.47;S8.31;P;S65.54;M;M;M;M;M;M;S-20.44;S12.18;S-20.62;S5.93;S9.63;P;S64.75;S3.82;S39.87;S-57.71
k trouve;0.2;M;M;M;M;M;M;S28.01;S-13.4;S21.05;S3.47;S8.31;P;S65.54;M;M;M;M;M;M;S-20.44;S12.18;S-20.62;S5.93;S9.63;P;S64.75;S3.82;S39.87;S-57.71
k trouve;0.1;M;M;M;M;M;M;S28.01;S-13.4;S21.05;S3.47;S8.31;P;S65.54;M;M;M;M;M;M;S-20.44;S12.18;S-20.62;S5.93;S9.63;P;S64.75;S3.82;S39.87;S-57.71
k trouve;1.0;M;M;M;M;M;M;S28.01;S-13.4;S21.05;S3.47;S8.31;P;S65.54;M;M;M;M;M;M;S-20.44;S12.18;S-20.62;S5.93;S9.63;P;S64.75;S3.82;S39.87;S-57.71
k trouve;0.2;S11.3;S81.1;S-7.43;S-25.8;S70.23;S31.52;S28.01;S-13.4;S21.05;S3.47;S8.31;P;S65.54;S-107.74;S-55.34;S-71.25;S-30.02;S86.95;S-29.18;S-20.44;S12.18;S-20.62;S5.93;S9.63;P;S64.75;S3.82;S39.87;S-57.71
k trouve;0.1;S11.3;S81.1;S-7.43;S-25.8;S70.23;S31.52;S28.01;S-13.4;S21.05;S3.47;S8.31;P;S65.54;S-107.74;S-55.34;S-71.25;S-30.02;S86.95;S-29.18;S-20.44;S12.18;S-20.62;S5.93;S9.63;P;S64.75;S3.82;S39.87;S-57.71
k trouve;2.0;S11.3;S81.1;S-7.43;S-25.8;S70.23;S31.52;S28.01;S-13.4;S21.05;S3.47;S8.31;P;S65.54;S-107.74;S-55.34;S-71.25;S-30.02;S86.95;S-29.18;S-20.44;S12.18;S-20.62;S5.93;S9.63;P;S64.75;S3.82;S39.87;S-57.71
