Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
dos;5.0;S29.23;S70.44;S81.01;S-5.23;S-72.58;S-21.55;S-3.37;S25.6;S7.96;S-1.71;S-7.78;S-4.88;S-14.55;S31.25;S-74.75;S-5.58;S-15.25;S-3.67;S19.79;S-21.58;S0.13;S-4.09;S4.09;S-6.64;S-5.67;S-24.48;S2.59;S-8.04;S3.12
jambe l;3.0;S29.23;S70.44;S81.01;S-5.23;S-72.58;S-21.55;S-3.37;S25.6;S8.66;S20.0;S-64.48;S115.74;S22.73;S31.25;S-74.75;S-5.58;S-15.25;S-3.67;S19.79;S-21.58;S0.13;S-4.09;S4.09;S-6.64;S-5.67;S-24.48;S2.59;S-8.04;S3.12
jambe r;3.0;S29.23;S70.44;S81.01;S-5.23;S-72.58;S-21.55;S-3.37;S25.6;S8.66;S20.0;S-64.48;S115.74;S22.73;S31.25;S-74.75;S-5.58;S-15.25;S-3.67;S19.79;S-21.58;S0.13;S1.54;S6.11;S-65.98;S113.98;S27.91;S2.59;S-8.04;S3.12
jambe r;5.0;S29.23;S70.44;S81.01;S-5.23;S-72.58;S-21.55;S-3.37;S25.6;S8.66;S20.0;S-64.48;S115.74;S22.73;S31.25;S-74.75;S-5.58;S-15.25;S-3.67;S19.79;S-21.58;S0.13;S3.91;S1.71;S-96.4;S-5.41;S51.03;S2.59;S-8.04;S3.12
jambe l;5.0;S29.23;S70.44;S81.01;S-5.23;S-72.58;S-21.55;S-3.37;S25.6;S6.73;S12.97;S-91.12;S-4.79;S39.25;S31.25;S-74.75;S-5.58;S-15.25;S-3.67;S19.79;S-21.58;S0.13;S3.91;S1.71;S-96.4;S-5.41;S51.03;S2.59;S-8.04;S3.12
ecart;2.0;S26.59;S71.43;S80.22;S-6.64;S-73.17;S-18.62;S-4.84;S18.27;S8.4;S22.02;S-90.51;S-4.7;S39.25;S30.2;S-75.74;S-5.32;S-15.16;S-2.79;S19.21;S-19.91;S-1.1;S5.41;S-5.85;S-93.93;S-4.62;S51.03;S1.54;S-5.23;S1.19
pm;1.0;S26.59;S71.43;S80.22;S-6.64;S-73.17;S-18.62;S-4.84;S18.27;S8.4;S22.02;S-90.51;P;S39.25;S30.2;S-75.74;S-5.32;S-15.16;S-2.79;S19.21;S-19.91;S-1.1;S5.41;S-5.85;S-93.93;P;S51.03;S1.54;S-5.23;S1.19
bras l;2.0;S26.59;S71.43;S80.22;S-6.64;S-73.17;S-18.62;S-4.84;S18.27;S8.4;S22.02;S-90.51;P;S39.25;S15.34;S-6.55;S-4.35;S-60.7;S90.76;S18.91;S-19.91;S-1.1;S5.41;S-5.85;S-93.93;P;S51.03;S1.54;S-5.23;S1.19
bras l;3.0;S26.59;S71.43;S80.22;S-6.64;S-73.17;S-18.62;S-4.84;S18.27;S8.4;S22.02;S-90.51;P;S39.25;S-64.75;S-68.09;S-87.52;S-87.87;S89.59;S19.21;S-19.91;S-1.1;S5.41;S-5.85;S-93.93;P;S51.03;S1.54;S-5.23;S1.19
bras r;2.0;S20.7;S20.88;S14.55;S-49.54;S-71.11;S-19.5;S-4.84;S18.27;S8.4;S22.02;S-90.51;P;S39.25;S-64.75;S-68.09;S-87.52;S-87.87;S89.59;S19.21;S-19.91;S-1.1;S5.41;S-5.85;S-93.93;P;S51.03;S1.54;S-5.23;S1.19
bras r;3.0;S-34.33;S68.44;S56.22;S-77.41;S-70.82;S-46.19;S-4.84;S18.27;S8.4;S22.02;S-90.51;P;S39.25;S-64.75;S-68.09;S-87.52;S-87.87;S89.59;S19.21;S-19.91;S-1.1;S5.41;S-5.85;S-93.93;P;S51.03;S1.54;S-5.23;S1.19
