Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;2;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;S64.0;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.57;S0.0;S43.0;S-1.1
anti;1;S-40.66;S95.08;S-5.67;S-21.76;S71.99;S31.52;S2.49;S22.08;S21.76;S-4.53;S12.18;P;S64.0;S-46.46;S-98.33;S2.95;S-14.02;S-74.34;S-64.96;S30.99;S0.13;S-21.41;S8.66;S11.91;P;S64.57;S-0.04;S42.86;S4.62
k ligne fermee;5;S-74.15;S47.96;S83.91;S-126.29;S-6.3;S7.18;S8.06;S-4.02;S21.85;S0.04;S6.9;P;S64.0;S-5.76;S-93.49;S71.34;S-138.15;S-71.7;S31.82;S-14.37;S39.08;S-21.41;S6.29;S6.29;P;S64.57;S0.48;S42.86;S-1.36
anti;1;S-62.29;S43.38;S83.91;S-124.53;S-4.55;S6.89;S14.22;S-6.66;S22.29;S-0.57;S6.64;P;S64.0;S-5.49;S-100.53;S71.16;S-134.9;S-70.82;S30.06;S-21.49;S35.12;S-21.67;S9.54;S6.55;P;S64.57;S0.66;S50.59;S-14.37
assis sur genou;3;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;S64.0;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.57;S0.0;S43.0;S-1.1
anti;3;S-48.57;S54.46;S83.82;S-93.49;S86.07;S-45.6;S3.37;S-10.76;S20.09;S8.13;S8.31;S124.62;S65.54;S-40.04;S-62.99;S-70.37;S-90.15;S-75.22;S32.4;S13.41;S4.18;S-20.44;S8.04;S6.9;S123.3;S64.57;S0.4;S50.33;S2.77
toto;3;S-14.11;S-12.7;S57.45;S-52.09;S81.67;S59.09;S-2.79;S-9.88;S19.74;S9.19;S11.47;S124.53;S65.54;S-9.54;S11.65;S-75.47;S-45.58;S-59.09;S-61.14;S2.95;S4.18;S-20.53;S10.68;S9.01;S123.47;S64.57;S-2.15;S49.45;S-4.79
toto;3;S-17.45;S-56.84;S88.13;S-11.21;S90.47;S24.49;S3.67;S-6.36;S20.53;S7.96;S11.65;S124.53;S65.8;S-21.58;S46.64;S-99.65;S-6.99;S-69.94;S-20.97;S10.77;S0.4;S-20.88;S9.45;S9.36;S123.47;S64.66;S2.51;S51.21;S-3.38
k avion;1;S-21.49;S-43.47;S101.58;S-0.66;S74.93;S-19.21;S4.25;S-6.66;S20.0;S9.1;S12.0;S124.44;S65.8;S-18.07;S55.25;S-104.92;S-0.57;S-65.54;S5.43;S20.18;S-1.71;S-20.62;S10.15;S9.8;S123.47;S64.57;S1.54;S50.59;S-2.15
assis sur genou;3;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;S64.0;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.57;S0.0;S43.0;S-1.1
toto;2;L-46.29;L90.77;L-6.64;L-25.36;L71.99;L31.23;L-11.88;L-5.48;L19.38;L3.91;L6.2;P;S64.0;L-39.34;L-98.59;L-4.09;L-30.11;L-74.34;L-0.44;L33.98;L5.32;L-19.65;L2.95;L5.76;P;S64.57;L0.31;L42.68;L0.04
toto;2;L-63.52;L90.68;L-6.64;L-25.71;L71.99;L31.23;L-12.17;L-6.07;L18.86;L4.18;L6.73;P;S64.0;L-52.0;L-98.68;L-3.65;L-36.26;L-73.75;L-0.15;L50.59;L7.16;L-20.18;L2.59;L6.29;P;S64.57;L0.57;L42.51;L1.01
toto;2;L-66.77;L90.42;L-6.64;L-25.63;L71.99;L31.23;L-12.17;L-6.07;L18.59;L4.97;L6.2;P;S64.0;L-54.46;L-98.42;L-3.82;L-41.45;L-74.34;L-0.44;L51.38;L4.97;L-20.62;L1.98;L6.29;P;S64.57;L0.92;L43.38;L1.89
toto;2;L-54.55;L84.88;L-6.64;L-10.51;L71.7;L31.23;L-12.17;L-5.19;L18.07;L5.05;L6.46;P;S64.0;L-32.92;L-94.46;L-16.22;L-49.89;L-74.63;L-0.44;L32.31;L9.54;L-20.18;L1.89;L6.46;P;S64.57;L1.1;L42.95;L2.95
toto;2;L-40.31;L83.21;L-6.64;L-6.46;L71.99;L31.23;L-11.88;L-5.19;L17.71;L5.32;L6.02;P;S64.0;L-44.09;L-86.46;L-7.08;L-102.02;L-74.34;L0.73;L16.04;L7.25;L-20.35;L1.54;L6.2;P;S64.57;L1.1;L43.38;L3.47
toto;2;L-32.75;L83.21;L-6.64;L-5.23;L71.99;L31.82;L-12.17;L-5.19;L17.98;L5.67;L5.76;P;S64.0;L-110.02;L-80.75;L5.05;L-104.04;L-74.63;L0.15;L7.34;L5.67;L-20.35;L1.27;L6.11;P;S64.57;L0.84;L43.47;L3.56
toto;2;L-25.1;L82.15;L-6.55;L0.22;L71.99;L31.52;L-12.46;L-5.19;L18.15;L5.93;L5.58;P;S64.0;L-129.27;L-81.89;L-1.63;L-76.88;L-74.93;L1.03;L4.26;L4.18;L-20.44;L1.19;L6.11;P;S64.57;L1.19;L43.56;L3.74
k pax;2;S-36.62;S86.81;S-6.2;S-6.02;S71.99;S31.52;S-9.82;S-6.95;S20.26;S4.44;S12.0;P;S64.0;S-115.91;S-88.84;S-2.15;S-82.07;S-72.87;S0.44;S12.79;S3.21;S-20.62;S4.44;S11.12;P;S64.57;S3.82;S46.9;S3.82
anti;2;S-30.73;S86.9;S-6.02;S-3.65;S72.29;S31.52;S15.4;S-6.07;S22.55;S-2.33;S14.37;P;S64.0;S-106.24;S-88.57;S-2.42;S-82.07;S-72.87;S1.03;S1.89;S2.15;S-21.67;S10.33;S14.02;P;S64.57;S0.92;S47.52;S1.8
