Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;2.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
toto;1;L-61.93;S97.6;S-6.11;S-12.7;S71.7;S31.23;S-10.41;S14.75;S23.6;S3.91;L28.53;S115.65;S64.75;L-72.4;S-93.38;S6.37;S1.45;S-74.63;S-68.48;L48.66;S3.21;S-18.24;S6.29;L20.44;S119.78;S66.42;S0.0;L44.79;S-2.07
toto;1;L-77.49;S98.13;S-3.03;S1.98;S71.7;S31.23;S-10.41;S14.75;S16.92;S-1.71;L27.03;S118.9;S64.75;L-79.69;S-90.31;S0.13;S1.36;S-75.81;S-68.48;L51.82;S1.36;S-27.47;S2.07;L25.98;S119.78;S63.87;S0.0;L51.82;S-6.46
toto;1;L-82.86;S100.95;S-3.03;S-17.54;S71.7;S31.23;S-10.41;S14.75;S16.92;S-1.19;L25.89;S118.99;S64.75;L-95.43;S-90.04;S-9.54;S-1.89;S-75.81;S-68.48;L67.3;S0.66;S-27.91;S1.1;L25.45;S119.78;S63.87;S0.0;L52.18;S-5.76
toto;1;L-107.74;S96.02;S-3.21;S2.77;S70.23;S45.01;S-11.29;S14.75;S15.52;S-0.04;L22.99;S119.16;S64.84;L-108.7;S-93.65;S-7.16;S1.36;S-75.22;S-69.65;L67.21;S0.66;S-27.91;S0.13;L22.55;S119.78;S63.78;S0.66;L52.26;S-7.87
toto;1;L-108.97;S96.55;S-3.3;S2.77;S70.23;S45.01;S-11.29;S14.75;S15.43;S1.89;L17.8;S119.08;S64.84;L-112.04;S-93.91;S-12.44;S1.36;S-75.22;S-69.65;L67.21;S0.57;S-27.91;S-2.24;L17.36;S119.87;S63.78;S0.57;L52.18;S-8.04
toto;1;L-109.14;S96.55;S-3.3;S2.77;S70.23;S45.01;S-11.58;S14.75;S14.29;S5.32;L6.81;S119.08;S64.84;L-115.21;S-94.7;S-13.14;S-3.12;S-75.81;S-69.65;L67.12;S0.57;S-27.82;S-6.64;L7.16;S119.87;S63.78;S1.54;L52.18;S-9.1
toto;1;L-108.44;S101.3;S-3.3;S2.07;S70.23;S45.01;S-11.58;S14.75;S12.62;S7.87;L-2.86;S119.08;S64.84;L-111.52;S-91.71;S-13.05;S-10.24;S-75.22;S-69.65;L67.12;S0.4;S-27.74;S-10.42;L-2.33;S119.78;S63.69;S1.54;L52.18;S-10.42
toto;1;L-95.78;S89.16;S-3.21;S-20.53;S69.94;S45.01;S-11.58;S14.16;S9.19;S10.51;L-16.92;S118.99;S64.84;L-110.37;S-87.49;S-13.14;S-11.38;S-75.81;S-69.65;L53.58;S-16.57;S-25.27;S-15.43;L-15.34;S119.78;S63.69;S2.07;L52.18;S-18.24
toto;1;L-95.78;S90.57;S-3.3;S-20.53;S70.23;S45.89;S-8.65;S7.71;S7.52;S11.56;L-25.01;S118.9;S64.84;L-112.48;S-87.23;S-13.23;S-11.12;S-75.81;S-69.65;L49.19;S-21.41;S-22.55;S-17.89;L-23.43;S119.69;S63.69;S2.95;L52.0;S-17.89
4 pattes mains;1;S-95.96;S97.96;S-3.21;S-10.42;S70.23;S44.43;S-10.12;S20.32;S7.08;S18.42;S-46.81;S118.81;S64.31;S-116.79;S-89.69;S-13.14;S-0.13;S-76.1;S-70.53;S48.75;S-22.37;S-12.35;S-19.38;S-46.9;S119.34;S64.04;S2.59;S32.57;S-17.45
toto;1;S-88.57;S105.34;S-0.84;L-22.02;S79.91;S34.16;S-10.12;S20.62;S6.55;S18.51;S-49.63;S118.81;S64.31;S-93.58;S-79.41;S-7.25;L-43.3;S-76.39;S-46.48;S33.54;S-14.46;S-11.38;S-20.09;S-49.54;S119.43;S64.04;S5.32;S34.51;S-18.86
toto;1;S-85.05;S105.08;S-0.75;L-52.0;S89.59;S21.26;S-10.12;S20.32;S6.2;S18.51;S-59.74;S118.73;S64.31;S-94.29;S-80.02;S-8.48;L-65.54;S-71.11;S-29.47;S30.46;S-10.07;S-4.35;S-22.99;S-57.98;S118.29;S64.04;S6.29;S36.44;S-14.37
toto;1;S-79.69;S103.49;S-0.84;L-75.56;S89.88;S19.21;S-10.12;S20.32;S-0.75;S18.42;S-70.73;S118.55;S64.31;S-89.19;S-82.92;S-8.48;L-80.04;S-69.65;S-19.79;S17.98;S-7.34;S-2.59;S-24.75;S-68.53;S118.81;S64.04;S6.81;S38.64;S-8.57
toto;1;S-60.79;S98.22;S2.77;L-102.46;S89.88;S17.16;S-10.12;S20.32;S-4.62;S18.33;S-81.89;S118.46;S64.31;S-73.27;S-83.98;S-11.74;L-103.78;S-69.94;S-4.84;S-8.4;S-6.55;S2.33;S-25.1;S-80.31;S119.16;S63.96;S6.46;S49.19;S-3.3
4 pattes stable;1;S-60.35;S90.22;S2.77;S-127.69;S92.52;S6.01;S-9.53;S19.15;S-8.66;S18.33;S-92.97;S118.11;S64.31;S-74.95;S-87.76;S-16.66;S-117.14;S-70.23;S-2.79;S-12.7;S-7.52;S8.66;S-25.1;S-94.37;S119.34;S64.22;S7.52;S50.77;S5.23
toto;1;S-60.09;S90.92;S2.86;S-126.2;S92.52;S6.01;S-9.24;S18.86;S-12.09;S16.84;S-89.19;S114.42;S64.4;S-74.59;S-87.05;S-16.57;S-115.91;S-70.23;S-2.49;S-15.6;S-3.21;S-7.43;S-22.11;S-94.2;S119.52;S69.49;S-4.79;S51.12;S-5.05
toto;1;S-60.18;S91.01;S2.77;S-124.88;S92.52;S6.01;S-9.24;S18.27;S3.21;S5.58;S-90.77;S113.98;S64.4;S-74.07;S-87.23;S-16.75;S-114.68;S-70.23;S-2.49;S-16.13;S-8.66;S1.01;S-23.78;S-93.14;S119.34;S69.49;S5.23;S50.77;S3.91
4 pattes;1;S-59.82;S95.85;S2.33;S-123.82;S95.45;S4.84;S-12.17;S20.62;S6.81;S-2.77;S-91.21;S115.12;S65.71;S-73.1;S-99.63;S-16.48;S-112.84;S-72.58;S-1.61;S-16.66;S-9.8;S-3.21;S-5.76;S-94.2;S119.52;S70.02;S1.1;S52.0;S1.98
toto;1;S-62.55;S94.97;S5.58;S-113.1;S95.45;S5.13;S-12.17;S20.62;S5.76;S-5.14;S-91.03;S116.88;S65.71;S-67.91;S-95.14;S-13.32;S-111.96;S-71.99;S-1.61;S-21.93;S-15.16;S-12.26;S-6.02;S-92.44;S119.52;S70.02;S6.64;S51.91;S2.68
toto;1;S-63.08;S86.97;S4.97;S-118.99;S95.16;S5.13;S-11.0;S19.44;S8.92;S-5.85;S-85.58;S111.25;S63.78;S-84.79;S-92.15;S-11.21;S-102.64;S-70.53;S2.49;S-14.55;S-1.45;S-7.87;S-9.71;S-92.7;S119.34;S70.02;S0.84;S51.82;S0.75
toto;1;S-65.36;S87.14;S4.88;S-116.26;S95.16;S4.84;S-11.58;S19.15;S5.76;S-1.71;S-85.14;S110.37;S63.69;S-86.99;S-92.15;S-11.3;S-99.74;S-70.53;S2.79;S-14.64;S6.99;S-7.16;S-23.43;S-89.63;S119.43;S70.02;S-13.32;S51.82;S-5.14
toto;1;S-65.54;S88.9;S4.79;S-115.3;S95.45;S5.13;S-11.29;S19.15;L5.23;L10.77;L-84.09;L110.55;S63.78;S-88.92;S-90.31;S-12.35;S-97.36;S-70.53;S2.79;S-14.64;S8.31;S-5.76;S-20.79;S-92.18;S119.6;S70.02;S-18.95;S51.38;S-6.37
toto;1;S-63.25;S90.22;S6.55;S-117.23;S95.45;S5.13;S-11.0;S19.15;L7.6;L20.62;L-50.86;L80.13;S63.69;S-86.11;S-87.85;S-11.82;S-100.18;S-70.53;S2.79;S-14.9;S6.55;S-9.71;S-21.32;S-92.18;S119.16;S70.02;S-19.03;S51.47;S-6.46
toto;1;S-62.11;S90.84;S12.35;S-114.86;S95.45;S4.84;S-9.53;S18.86;L7.69;L20.79;L-20.0;L53.49;S63.69;S-77.58;S-77.3;S-12.0;S-107.3;S-70.53;S2.79;S-15.69;S-1.8;S-9.54;S-24.57;S-84.97;S119.52;S70.02;S-1.63;S51.47;S0.84
toto;1;S-52.79;S88.2;S13.05;S-112.92;S95.16;S5.13;S-8.94;S18.86;L7.6;L13.58;L4.62;L23.6;S63.78;S-64.75;S-78.44;S-12.09;S-108.26;S-70.53;S2.79;S-10.86;S-20.26;S-9.98;S-25.1;S-84.0;S119.6;S70.02;S19.91;S39.25;S21.05
