Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
toto;1;S-14.81;S77.56;S10.77;S-136.13;S82.84;S-27.13;S-13.05;S26.19;S0.31;S-1.98;S21.41;S-2.24;S63.52;S-11.21;S-86.18;S-3.03;S-142.02;S-77.86;S31.52;S-0.57;S6.55;S-15.87;S16.04;S20.0;S-2.33;S65.19;S-1.1;S-7.78;S-4.44
toto;1;L-23.78;L54.44;L10.77;L-135.6;S82.84;S-27.13;S-13.05;S26.19;S0.31;S-1.98;S21.85;S-2.24;S63.52;S-10.59;S-86.53;S-3.3;S-142.11;S-77.86;S32.11;S-0.57;S7.16;S-15.69;S16.22;S20.26;S-2.24;S65.19;S-1.1;S-7.52;S-3.56
toto;1;L-53.85;L50.48;L13.67;L-107.47;S82.55;S-27.42;S-13.05;S26.19;S0.22;S-2.15;S22.2;S-2.24;S63.52;S-9.63;S-86.88;S-3.65;S-142.11;S-77.86;S32.4;S-2.15;S-1.19;S-15.43;S16.57;S20.53;S-2.33;S65.19;S-1.1;S-8.22;S-4.7
toto;1;L-78.11;L57.34;L13.76;L-75.65;S82.55;S-27.42;S-13.05;S26.77;S0.13;S-2.24;S22.46;S-2.24;S63.52;S-9.1;S-87.41;S-3.91;S-142.02;S-77.27;S32.4;S-3.12;S-6.02;S-15.6;S16.57;S20.62;S-2.33;S65.27;S-1.27;S-8.22;S-3.3
bras pose;1;S-97.54;S81.87;S7.69;S-52.0;S82.55;S-27.71;S-13.05;S26.19;S0.22;S-2.24;S22.46;S-4.88;S63.52;S-8.84;S-88.02;S-3.74;S-142.11;S-77.27;S32.4;S-4.53;S-5.23;S-15.34;S16.31;S20.7;S-5.85;S65.19;S-1.98;S-8.22;S-4.44
toto;1;S-97.01;S82.13;S7.69;S-52.7;S82.55;S-27.42;S-12.76;S26.19;L9.8;L18.33;L21.23;L-4.97;L63.52;S-9.54;S-88.02;S-3.47;S-142.02;S-77.27;S32.4;S-7.08;S-1.89;S-7.52;S64.57;S17.63;S4.0;S65.27;S-1.98;S-8.22;S-4.44
toto;1;S-96.13;S82.4;S7.69;S-53.32;S82.55;S-27.71;S-13.05;S26.19;L10.33;L21.05;L9.1;L3.56;L63.6;S-10.59;S-87.93;S-3.12;S-142.02;S-77.27;S32.4;S-8.4;S-1.71;S-2.33;S62.37;S17.63;S4.26;S65.27;S-2.42;S-8.22;S-17.01
toto;1;S-95.25;S82.84;S7.6;S-53.93;S82.55;S-27.71;S-12.76;S26.19;L8.04;L20.18;L-50.24;L52.53;L63.52;S-11.3;S-87.23;S-2.77;S-142.02;S-76.98;S32.99;S-16.57;S-0.92;S0.48;S38.81;S14.99;S-4.18;S65.27;S1.54;S-6.55;S-52.26
toto;1;S-94.81;S83.27;S7.69;S-53.85;S82.55;S-27.71;S-13.05;S26.19;L4.35;L18.77;L-94.37;L105.89;L63.6;S-11.82;S-86.79;S-2.51;S-141.76;S-77.27;S33.58;S-20.88;S-0.22;S-2.51;S25.63;S15.96;S2.77;S65.27;S2.07;S0.66;S-53.14
debut;1;S-93.67;S83.8;S7.52;S-53.67;S82.26;S-29.18;S-8.06;S25.6;S8.22;S12.44;S-90.42;S114.24;S63.87;S-12.44;S-86.44;S-2.24;S-145.45;S-76.98;S35.63;S-19.21;S-2.59;S-1.19;S10.59;S21.85;S5.76;S65.1;S5.67;S2.51;S-43.47
