Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
k assis sur genou;1.0;S-33.63;S96.46;S-3.12;S-6.11;S75.81;S67.3;S8.65;S-11.06;S18.95;S-5.23;S5.0;P;S64.0;S-28.0;S-97.69;S6.11;S-17.1;S-71.7;S-31.23;S15.16;S-4.88;S-23.78;S-2.77;S5.0;P;S71.0;S-0.0;S43.0;S1.1
k tete cour;2.0;S-33.63;S96.46;S-3.12;S-6.11;S75.81;S67.3;S47.36;S-13.7;S18.95;S-5.23;S5.0;P;S64.0;S-28.0;S-97.69;S6.11;S-17.1;S-71.7;S-31.23;S15.16;S-4.88;S-23.78;S-2.77;S5.0;P;S71.0;S-0.0;S43.0;S1.1
k ligne 1;3.0;S-89.63;S100.35;S88.84;S-80.75;S11.29;S22.43;S46.77;S-13.4;S19.65;S-3.47;S6.9;P;S64.13;S-14.11;S6.37;S-0.4;S0.22;S-1.91;S3.08;S4.53;S29.14;S-20.09;S-1.63;S7.16;P;S71.0;S-0.66;S41.54;S2.59
k ferme ligne;3.0;S-87.69;S98.59;S89.1;S-80.48;S11.29;S22.43;S-0.15;S-4.6;S20.09;S-4.79;S7.25;P;S62.9;S-38.73;S-0.92;S-27.38;S-132.09;S-2.79;S2.79;S5.14;S30.11;S-21.49;S-0.4;S7.43;P;S72.29;S-0.04;S41.71;S3.12
k inverse ligne;3.0;S-61.58;S100.88;S17.98;S-3.47;S-23.31;S3.08;S-9.53;S14.16;S19.65;S-7.96;S7.43;P;S62.61;S-58.95;S-96.4;S6.37;S0.4;S-3.37;S-2.2;S-19.56;S-9.1;S-21.67;S1.19;S6.81;P;S74.93;S0.75;S48.22;S-63.43
k avion;3.0;S-57.01;S-45.85;S6.37;S-0.66;S-15.69;S-6.3;S8.94;S6.25;S20.44;S-5.76;S6.11;P;S61.73;S-57.98;S45.05;S4.18;S0.22;S-3.08;S9.24;S51.74;S-4.88;S-20.88;S-2.86;S5.67;P;S76.1;S0.22;S44.79;S0.84
k bas;3.0;S-74.51;S87.52;S-0.57;S-21.85;S72.87;S4.84;S8.65;S6.83;S20.97;S-4.53;S5.93;P;S61.44;S-72.57;S-92.62;S-12.97;S-15.78;S-79.91;S6.89;S52.18;S-3.38;S-21.23;S-4.26;S5.23;P;S76.1;S1.45;S47.6;S0.13
k pax;5.0;S1.36;S83.21;S-47.6;S-6.02;S70.53;S4.84;S10.12;S-10.18;S20.88;S-7.16;S8.4;P;S62.61;S-79.52;S-77.41;S2.07;S-78.46;S-90.47;S-8.65;S-11.74;S-4.53;S-21.23;S-2.68;S7.25;P;S75.51;S1.63;S42.77;S1.1
k inverse ligne;3.0;S-61.58;S100.88;S17.98;S-3.47;S-23.31;S3.08;S-9.53;S14.16;S19.65;S-7.96;S7.43;P;S62.61;S-58.95;S-96.4;S6.37;S0.4;S-3.37;S-2.2;S-19.56;S-9.1;S-21.67;S1.19;S6.81;P;S74.93;S0.75;S48.22;S-63.43
k inverse ligne tete;3.0;S-61.58;S100.88;S17.98;S-3.47;S-23.31;S3.08;S54.69;S-1.09;S19.65;S-7.96;S7.43;P;S62.61;S-58.95;S-96.4;S6.37;S0.4;S-3.37;S-2.2;S-19.56;S-9.1;S-21.67;S1.19;S6.81;P;S74.93;S0.75;S48.22;S-63.43
k L;3.0;S-49.36;S-6.02;S-55.08;S0.48;S76.1;S8.94;S9.82;S-10.18;S20.09;S-5.67;S8.04;P;S62.61;S-25.89;S-16.04;S71.08;S-102.29;S8.06;S-6.6;S14.99;S-4.26;S-20.44;S-2.24;S6.46;P;S74.93;S-3.12;S50.59;S30.02
k assis;3.0;S-33.63;S96.46;S-3.12;S-6.11;S75.81;S67.3;S8.65;S-11.06;S18.95;S-5.23;S5.0;P;S64.0;S-28.0;S-97.69;S6.11;S-17.1;S-71.7;S-31.23;S15.16;S-4.88;S-23.78;S-2.77;S5.0;P;S75.0;S-0.0;S43.0;S1.1
k H assis;0.6;S-46.81;S0.48;S-50.77;S-94.2;S13.05;S-1.61;S9.82;S-10.47;S18.15;S-5.49;S7.16;P;S63.78;S-67.12;S-6.81;S30.29;S-93.58;S-7.77;S-6.89;S12.62;S-5.49;S-20.18;S-5.14;S6.11;P;S73.17;S1.1;S42.68;S0.75
k assis;5.0;S-33.63;S96.46;S-3.12;S-6.11;S75.81;S67.3;S8.65;S-11.06;S18.95;S-5.23;S5.0;P;S64.0;S-28.0;S-97.69;S6.11;S-17.1;S-71.7;S-31.23;S15.16;S-4.88;S-23.78;S-2.77;S5.0;P;S75.0;S-0.0;S43.0;S1.1
