Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
k assis sur genou;2;S-33.63;S96.46;S-3.12;S-6.11;S75.81;S67.3;S8.65;S-11.06;S18.95;S-5.23;S5.0;P;Z;S-28.0;S-97.69;S6.11;S-17.1;S-71.7;S-31.23;S15.16;S-4.88;S-23.78;S-2.77;S5.0;P;Z;S-0.0;S43.0;S1.1
k main haut;6.0;S-34.86;S97.27;S-2.77;S-6.73;S76.1;S64.66;S25.95;S-1.09;S19.91;S-6.2;S5.49;P;Z;S-61.58;S-88.04;S-15.69;S-105.36;S-70.82;S-30.06;S15.08;S-4.09;S-21.05;S-3.21;S6.55;P;Z;S0.57;S43.38;S1.36
k glisser ext;1;S-35.47;S97.27;S-2.77;S-7.08;S76.39;S64.08;S25.95;S-0.79;S20.53;S-6.73;S5.76;P;Z;S-52.44;S-83.56;S-8.22;S-118.81;S-114.22;S5.13;S15.87;S-3.74;S-21.05;S-3.47;S7.08;P;Z;S0.75;S43.74;S1.89
k glisser int;3.0;S-35.65;S97.27;S-2.68;S-7.25;S76.39;S64.08;S25.95;S-0.79;S20.62;S-6.9;S6.02;P;Z;S-64.31;S-91.56;S-26.77;S-100.53;S-108.94;S-29.47;S15.6;S-3.65;S-21.05;S-3.47;S7.52;P;Z;S0.92;S44.0;S1.19
k glisser ext;1.0;S-35.47;S97.27;S-2.77;S-7.08;S76.39;S64.08;S25.95;S-0.79;S20.53;S-6.73;S5.76;P;Z;S-52.44;S-83.56;S-8.22;S-118.81;S-114.22;S5.13;S15.87;S-3.74;S-21.05;S-3.47;S7.08;P;Z;S0.75;S43.74;S1.89
k main haut;1;S-34.86;S97.27;S-2.77;S-6.73;S76.1;S64.66;S25.95;S-1.09;S19.91;S-6.2;S5.49;P;Z;S-61.58;S-88.04;S-15.69;S-105.36;S-70.82;S-30.06;S15.08;S-4.09;S-21.05;S-3.21;S6.55;P;Z;S0.57;S43.38;S1.36
k selfie;3;S-22.2;S95.25;S-2.68;S-6.37;S71.7;S51.17;S53.52;S-16.04;S19.82;S-5.85;S6.29;P;Z;S-138.15;S-50.77;S-6.73;S-26.51;S60.85;S61.14;S-1.71;S-3.03;S-21.23;S-2.24;S6.55;P;Z;S0.57;S42.51;S1.89
k selfie;2.0;S-22.2;S95.25;S-2.68;S-6.37;S71.7;S51.17;S53.52;S-16.04;S19.82;S-5.85;S6.29;P;Z;S-138.15;S-50.77;S-6.73;S-26.51;S60.85;S61.14;S-1.71;S-3.03;S-21.23;S-2.24;S6.55;P;Z;S0.57;S42.51;S1.89
k pistol en haut;5.0;S-34.59;S96.48;S-2.95;S-7.08;S74.93;S64.96;S-0.73;S22.08;S19.82;S-6.55;S6.37;P;Z;S-160.4;S-96.84;S5.67;S-32.57;S2.49;S2.49;S14.2;S-3.74;S-21.23;S-2.42;S6.73;P;Z;S0.92;S42.51;S1.71
k pistol en haut;2.0;S-34.59;S96.48;S-2.95;S-7.08;S74.93;S64.96;S-0.73;S22.08;S19.82;S-6.55;S6.37;P;Z;S-160.4;S-96.84;S5.67;S-32.57;S2.49;S2.49;S14.2;S-3.74;S-21.23;S-2.42;S6.73;P;Z;S0.92;S42.51;S1.71
k pistol en bas;8;S-35.65;S96.75;S-2.68;S-7.78;S75.81;S64.37;S-0.15;S21.2;S20.7;S-6.73;S6.81;P;Z;S-66.95;S-93.32;S5.67;S0.04;S-11.29;S3.67;S14.46;S-3.38;S-21.23;S-2.15;S7.34;P;Z;S1.19;S43.03;S1.63
k pistol en bas;2.0;S-35.65;S96.75;S-2.68;S-7.78;S75.81;S64.37;S-0.15;S21.2;S20.7;S-6.73;S6.81;P;Z;S-66.95;S-93.32;S5.67;S0.04;S-11.29;S3.67;S14.46;S-3.38;S-21.23;S-2.15;S7.34;P;Z;S1.19;S43.03;S1.63
