Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;3.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S20.7;S-4.97;S3.82;P;Z;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-20.88;S12.09;S4.7;P;Z;S0.0;S43.0;S60
assis sur genou;1.0;S-51.3;S100.35;S24.22;S-121.19;S71.7;S30.35;S19.21;S5.07;S20.7;S-4.97;S3.82;P;Z;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-20.88;S12.09;S4.7;P;Z;S0.0;S43.0;S60
assis sur genou;1.0;S-65.54;S100.44;S26.15;S-70.9;S71.99;S30.35;S19.5;S4.49;S20.7;S-4.97;S3.82;P;Z;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-20.88;S12.09;S4.7;P;Z;S0.0;S43.0;S60
assis sur genou;1.0;S-53.58;S99.38;S20.35;S-115.91;S71.7;S30.94;S2.79;S-0.21;S20.7;S-4.97;S3.82;P;Z;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-20.88;S12.09;S4.7;P;Z;S0.0;S43.0;S60
assis sur genou;1.0;S-62.81;S96.92;S13.05;S-75.74;S71.7;S30.94;S2.79;S-0.79;S20.7;S-4.97;S3.82;P;Z;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-20.88;S12.09;S4.7;P;Z;S0.0;S43.0;S60
assis sur genou;1.0;S-42.33;S94.11;S6.99;S-125.49;S71.7;S30.35;S-16.57;S-5.48;S20.7;S-4.97;S3.82;P;Z;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-20.88;S12.09;S4.7;P;Z;S0.0;S43.0;S60
assis sur genou;1.0;S-58.77;S75.3;S-13.41;S-83.74;S71.99;S30.94;S-16.57;S-6.66;S20.7;S-4.97;S3.82;P;Z;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-20.88;S12.09;S4.7;P;Z;S0.0;S43.0;S60
assis sur genou;1.0;S-46.29;S72.84;S-14.73;S-129.19;S71.7;S30.35;S-33.58;S-11.64;S20.7;S-4.97;S3.82;P;Z;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-20.88;S12.09;S4.7;P;Z;S0.0;S43.0;S60
assis sur genou;1.0;S-54.99;S61.76;S-28.53;S-80.13;S71.7;S30.35;S-33.58;S-13.11;S20.7;S-4.97;S3.82;P;Z;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-20.88;S12.09;S4.7;P;Z;S0.0;S43.0;S60
assis sur genou;1.0;S-25.1;S93.58;S-0.04;S-27.12;S71.41;S30.35;S-1.61;S-13.11;S20.7;S-4.97;S3.82;P;Z;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-20.88;S12.09;S4.7;P;Z;S0.0;S43.0;S60
