Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;1.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;P;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;P;S0.0;S43.0;S-1.1
toto;1;S-28.26;S85.67;S-6.37;S-38.99;S111.29;S30.06;S-8.94;S-10.18;S22.81;S-4.7;S5.85;S124.18;S65.1;S-34.59;S-91.3;S3.47;S-19.91;S-74.05;S-32.99;S15.08;S4.44;S-21.32;S14.2;S5.49;S123.38;S63.34;S-0.4;S43.21;S-1.45
toto;1;S-22.29;S82.77;S-37.49;S-125.41;S108.94;S30.06;S-9.82;S-9.0;S20.88;S-11.82;S11.21;S124.26;S65.1;S-22.2;S-93.41;S17.54;S-107.91;S-6.01;S-22.14;S6.46;S4.09;S-20.09;S14.73;S10.51;S123.74;S63.34;S-1.54;S36.0;S-0.13
toto;1;S-21.58;S87.16;S29.85;S-97.89;S1.32;S23.02;S-8.94;S-10.18;S22.81;S-3.65;S5.58;S124.18;S65.1;S-28.97;S-91.38;S-46.64;S-87.34;S-2.79;S-50.29;S14.9;S5.14;S-20.97;S14.2;S5.23;S123.38;S63.34;S0.31;S43.65;S-1.36
toto;0.1;S-20.44;S83.47;S14.64;S-97.54;S0.15;S32.11;S-8.94;S-9.59;S22.81;S-4.7;S5.93;S124.09;S65.1;S-35.3;S-96.31;S-41.63;S-75.21;S4.55;S-48.24;S17.89;S5.58;S-21.23;S15.08;S5.49;S123.38;S63.34;S0.66;S44.0;S-1.71
toto;0.1;S-25.19;S89.01;S20.7;S-97.19;S2.2;S31.82;S-9.24;S-9.3;S22.81;S-5.58;S6.29;S124.09;S65.1;S-38.81;S-100.53;S-46.37;S-77.49;S4.55;S-47.95;S17.8;S6.2;S-21.14;S15.69;S5.76;S123.38;S63.43;S1.01;S44.53;S-2.07
toto;0.1;S-26.42;S81.71;S20.53;S-97.19;S0.15;S32.4;S-9.24;S-9.3;S22.81;S-6.11;S6.55;S124.09;S65.1;S-41.8;S-93.76;S-45.58;S-77.76;S5.43;S-47.95;S18.95;S6.55;S-21.14;S15.78;S5.93;S123.38;S63.34;S1.1;S44.7;S-2.24
toto;0.1;S-28.88;S88.92;S20.79;S-97.19;S2.2;S32.7;S-9.24;S-9.0;S22.73;S-6.55;S6.81;S124.09;S65.1;S-42.51;S-100.88;S-45.67;S-77.32;S4.55;S-47.95;S21.49;S6.81;S-21.14;S15.69;S6.2;S123.38;S63.34;S1.1;S45.14;S-2.59
toto;0.1;S-30.02;S81.45;S20.62;S-97.19;S0.15;S32.4;S-9.24;S-8.71;S22.81;S-6.9;S7.08;S124.09;S65.1;S-45.05;S-93.67;S-45.49;S-77.76;S5.72;S-47.95;S21.23;S7.16;S-21.14;S15.69;S6.46;S123.38;S63.34;S1.1;S45.67;S-2.95
toto;0.1;S-33.01;S89.01;S20.79;S-97.19;S1.91;S32.4;S-9.24;S-8.71;S22.73;S-7.25;S7.34;S124.09;S65.1;S-46.99;S-100.7;S-45.67;S-77.14;S4.55;S-47.95;S24.04;S7.43;S-21.14;S15.69;S6.64;S123.38;S63.34;S1.19;S45.67;S-3.38
toto;0.1;S-33.19;S80.75;S20.7;S-97.19;S0.15;S32.4;S-9.24;S-8.71;S22.81;S-7.52;S7.6;S124.09;S65.1;S-49.1;S-94.02;S-45.49;S-77.23;S5.72;S-47.95;S24.04;S7.78;S-21.14;S15.69;S6.9;S123.38;S63.34;S1.45;S46.2;S-3.65
