Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
ventre;1;S7.6;S85.82;S7.08;S2.86;M;M;S-4.25;S10.35;S0.04;S-0.4;S11.56;S-4.88;S63.6;S3.74;S-75.01;S26.95;S-0.48;M;M;S-14.11;S-1.27;S-0.04;S13.14;S9.8;S-5.76;S70.02;S-1.89;S9.8;S0.57
toto;1;S-15.43;S6.37;S24.66;S-1.71;S-69.06;S9.82;S-2.2;S8.89;S0.31;S-12.0;S10.68;S-3.47;S71.41;S3.74;S-75.21;S27.03;S0.31;S-43.55;S-32.11;S-14.2;S-4.18;S-0.22;S11.82;S9.98;S-3.38;S69.94;S-1.98;S8.92;S2.51
toto;1;S-15.43;S14.46;S18.95;S0.22;S-69.06;S9.53;S-1.32;S8.89;S0.57;S-12.0;S10.68;S-3.47;S71.41;S-18.59;S-10.07;S12.79;S-1.63;S-42.38;S-32.4;S-14.29;S-3.21;S-0.04;S11.82;S9.98;S-3.38;S69.94;S-2.15;S8.92;S0.48
toto;1;S56.66;S69.76;S-34.07;S-115.12;S-68.18;S59.68;S-0.44;S9.18;S-2.33;S-12.44;S10.59;S-3.38;S70.82;S-22.46;S14.2;S42.07;S-47.08;S-42.38;S-32.4;S-16.48;S-23.34;S-3.12;S11.82;S10.07;S-3.38;S69.94;S-1.36;S8.66;S-2.15
toto;1;S60.35;S73.89;S-31.52;S-104.57;S-68.18;S58.8;S-1.61;S8.89;S-3.03;S-12.53;S10.68;S-3.38;S71.41;S-66.59;S66.42;S-63.52;S-116.7;S-43.84;S39.15;S-13.14;S-28.7;S-3.56;S11.82;S10.07;S-3.38;S69.94;S-1.19;S8.84;S5.14
toto;1;S57.63;S62.64;S-25.36;S-99.12;S-69.06;S58.8;S-0.73;S8.89;S-3.38;S-12.62;S10.59;S-3.38;S71.41;S-61.49;S81.19;S-62.11;S-122.59;S-1.91;S62.32;S-15.34;S-31.78;S-3.74;S11.82;S10.07;S-3.38;S69.94;S-0.66;S8.75;S1.45
toto;1;S57.71;S89.01;S-33.27;S-102.29;S-66.42;S55.28;S-1.61;S8.89;S-17.36;S17.1;S-88.4;S90.15;S74.34;S-47.69;S65.36;S-47.96;S-113.27;S-1.91;S62.32;S-20.62;S-25.63;S-9.1;S-27.47;S-7.52;S-2.68;S70.23;S-18.24;S17.19;S-45.23
k_4;1;S36.0;S63.16;S-51.38;S-116.97;S-89.3;S55.87;S-5.13;S-1.96;S3.21;S24.48;S-90.77;S100.09;S76.39;S-65.71;S73.63;S-32.4;S-124.0;S-1.61;S62.9;S-20.62;S-23.78;S-1.98;S-28.35;S-83.74;S86.55;S65.25;S-13.67;S50.86;S-22.2
toto;1;S60.18;S70.2;S-105.45;S-136.04;S-116.28;S61.73;S-8.06;S-5.48;S20.26;S25.27;S-89.98;S117.85;S74.05;S-69.41;S78.73;S22.81;S-100.35;S-2.2;S61.44;S46.55;S-20.18;S-10.33;S-28.26;S-90.15;S117.85;S64.66;S-7.69;S34.68;S-1.71
toto;1;S61.76;S-97.63;S5.23;S-53.14;S-119.79;S64.37;S-4.55;S9.18;S20.97;S23.96;S-76.62;S123.65;S76.98;S57.01;S94.9;S-2.95;S-50.07;S-67.3;S65.84;S24.75;S37.49;S-20.88;S-25.01;S-77.76;S123.65;S67.3;S-33.8;S-2.68;S18.59
toto;1;S44.18;S-89.98;S1.01;S-56.75;S-119.21;S67.3;S-4.25;S-2.26;S20.97;S15.69;S-46.64;S123.3;S76.98;S61.23;S100.7;S-9.71;S-3.65;S-71.11;S69.35;S51.65;S19.74;S-21.67;S-11.47;S-53.67;S128.04;S69.06;S-12.26;S27.56;S31.96
toto;1;S61.32;S-76.35;S6.64;S-74.77;S-91.06;S36.8;S-3.67;S-9.0;S22.11;S-15.25;S9.8;S125.67;S76.69;S60.97;S99.03;S-0.4;S-60.44;S-62.02;S62.02;S55.34;S13.32;S-22.73;S6.37;S6.81;S129.8;S69.35;S-4.53;S50.86;S23.6
toto;1;S61.41;S-73.71;S6.81;S-76.18;S-91.06;S37.1;S-0.44;S-9.0;S22.02;S-15.78;S9.36;S125.93;S76.98;S60.97;S100.62;S-1.89;S-58.68;S-62.61;S60.85;S55.34;S13.58;S-22.73;S5.58;S8.22;S129.98;S69.06;S-3.82;S50.86;S26.33
toto;1;S61.14;S-95.16;S-0.84;S-77.93;S-91.94;S24.78;S-0.44;S-18.39;S20.7;S-15.25;S13.41;S125.93;S77.27;S60.35;S73.45;S-1.71;S-77.41;S-62.32;S59.09;S50.51;S-21.49;S-20.7;S15.43;S11.03;S127.96;S76.69;S6.99;S50.51;S-19.91
k_fin;1;S-5.41;S-47.25;S-97.98;S-24.04;S-24.78;S23.31;S-1.03;S-18.39;S20.79;S-15.43;S14.9;S125.85;S76.98;S-20.0;S55.87;S11.21;S-4.53;S-62.02;S59.38;S30.29;S-26.95;S-20.79;S15.78;S12.44;S127.69;S76.69;S16.84;S50.51;S-11.74
