Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
dos;1;S29.23;S70.44;S81.01;S-5.23;S-72.58;S-21.55;S-3.37;S25.6;S7.96;S-1.71;S-7.78;S-4.88;S-14.55;S31.25;S-74.75;S-5.58;S-15.25;S-3.67;S19.79;S-21.58;S0.13;S-4.09;S4.09;S-6.64;S-5.67;S-24.48;S2.59;S-8.04;S3.12
toto;1;S48.22;S8.22;S75.82;S-99.91;M;M;S0.73;S22.38;S6.99;S-2.07;S-7.43;S-0.48;S-15.34;S31.43;S-75.3;S-5.67;M;M;S18.62;S-21.41;S-0.75;S-3.47;S4.53;S-6.46;S-0.57;S-24.84;S2.77;S-3.03;S2.24
toto;1;S62.55;S94.64;S10.86;S-101.32;M;M;S1.03;S8.3;S4.88;S-7.96;S-6.64;S-0.57;S-20.79;S-26.42;S-56.4;S-28.09;M;M;S18.62;S31.78;S-11.56;S-4.09;S4.26;S-7.16;S-0.66;S-24.84;S4.88;S-1.89;S12.53
toto;1;S62.64;S95.6;S8.57;S-103.16;M;M;S1.03;S8.3;S4.7;S-7.87;S-6.64;S-0.57;S-20.79;S-20.18;S-23.69;S-3.47;M;M;S19.5;S33.89;S-10.59;S-3.91;S4.26;S-7.16;S-0.57;S-24.84;S6.11;S-1.8;S11.65
coudes;1;S62.02;S94.9;S-1.19;S-115.91;M;M;S1.32;S8.3;S4.88;S-7.43;S-4.97;S-0.57;S-20.79;S52.18;S-72.66;S-15.52;M;M;S19.21;S37.85;S17.63;S-2.51;S4.18;S-5.67;S-0.66;S-24.75;S5.85;S7.43;S15.69
toto;2;S41.54;S97.8;S15.16;S-68.18;M;M;S0.73;S3.9;S5.67;S-6.9;S-4.53;S-0.31;S-21.05;S-20.44;S-43.65;S-45.23;M;M;S19.5;S29.14;S27.12;S-2.95;S4.18;S-5.23;S-0.22;S-25.01;S-5.76;S35.21;S80.31
toto;1;S24.4;S86.11;S14.73;S-65.98;M;M;S-2.79;S3.31;S4.0;S-6.81;S-20.44;S-0.48;S-21.05;S-33.27;S-68.53;S-45.23;M;M;S19.79;S44.09;S32.75;S-8.48;S1.8;S-22.2;S-0.48;S-24.92;S1.01;S50.77;S61.23
toto;1;S13.14;S84.26;S14.73;S-50.68;M;M;S-2.79;S3.31;S6.02;S-6.37;S-36.79;S-0.22;S-21.05;S-44.44;S-88.75;S-45.32;M;M;S19.5;S43.38;S33.54;S-9.89;S-0.57;S-37.14;S-0.48;S-25.01;S1.98;S50.77;S59.74
toto;1;S5.67;S70.37;S14.73;S-66.95;M;M;S-2.79;S3.31;S7.43;S-6.2;S-38.73;S-0.13;S-21.05;S-19.38;S-77.32;S-45.41;M;M;S20.67;S50.68;S17.27;S-8.13;S-0.92;S-37.93;S-0.48;S-24.92;S1.1;S50.42;S-2.15
toto;1;S22.02;S88.57;S14.73;S-13.85;M;M;S-2.79;S3.31;S5.76;S-7.78;S-62.02;S2.59;S-21.05;S6.46;S-83.12;S-45.32;M;M;S20.67;S-3.91;S3.82;S-12.79;S-6.73;S-58.77;S0.75;S-24.92;S5.14;S50.42;S-9.8
toto;1;S30.81;S89.27;S-14.99;S-118.2;M;M;S1.61;S5.95;S6.46;S-6.55;S-62.37;S2.59;S-20.79;S38.29;S-71.25;S-3.47;M;M;S21.55;S-2.77;S4.7;S-13.85;S-6.9;S-59.21;S0.84;S-25.27;S5.58;S50.77;S-9.63
assis;1;S5.58;S76.35;S12.97;S-42.15;M;M;S-0.15;S5.37;S20.35;S-4.79;S-82.33;S7.52;S-21.05;S-0.22;S-87.08;S4.09;M;M;S20.09;S-9.63;S-0.13;S1.89;S-6.81;S-78.29;S3.82;S-24.92;S6.9;S15.69;S-4.7
