Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
mou;1;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
toto;1;S6.9;S69.58;S-3.47;S0.66;S79.62;S39.74;S1.03;S3.61;S11.38;S-4.88;S13.41;S-4.26;S75.22;S6.2;S-85.49;S2.51;S0.4;S-89.88;S-26.83;S-12.26;S12.62;S-4.53;S7.69;S11.38;S-4.79;S70.82;S4.0;S9.45;S-4.53
toto;1;S29.76;S54.73;S-64.66;S-113.45;S-4.25;S44.13;S1.03;S3.9;S11.56;S-4.97;S13.49;S-4.26;S75.22;S9.19;S-85.23;S2.51;S-1.27;S-89.88;S-26.83;S-11.74;S12.79;S-4.26;S7.69;S11.38;S-4.79;S70.82;S3.91;S9.45;S-7.96
toto;1;S35.21;S55.78;S-71.25;S-113.45;S-3.96;S44.13;S1.03;S3.61;S11.47;S-4.97;S13.49;S-4.26;S75.22;S56.84;S-82.42;S48.13;S-118.73;S-4.55;S-54.4;S-12.26;S13.32;S-4.26;S7.69;S11.3;S-4.79;S70.82;S3.91;S9.45;S-5.05
toto;1;S42.15;S35.03;S-75.21;S-136.31;S4.84;S61.14;S2.49;S6.54;S20.44;S6.11;S-85.49;S54.9;S75.51;S31.16;S-87.96;S43.91;S-120.48;S-6.01;S-55.28;S-20.53;S22.9;S-4.18;S-1.27;S-74.15;S47.87;S81.67;S3.91;S8.04;S-9.45
toto;1;S29.05;S8.4;S-85.93;S-140.09;S18.04;S58.5;S2.49;S6.54;S20.44;S6.11;S-85.49;S54.9;S75.51;S23.43;S-70.55;S56.66;S-134.99;S-31.52;S-54.99;S-20.53;S22.9;S-4.18;S-1.27;S-74.15;S47.87;S81.67;S3.91;S8.04;S-9.45
toto;1;S55.69;S-44.62;S-66.77;S-45.85;S4.55;S63.78;S2.79;S6.54;S12.26;S6.64;S-72.75;S94.02;S74.34;S-92.62;S-96.04;S-0.04;S-37.05;S-61.73;S-44.43;S20.35;S12.44;S-4.09;S-21.76;S-66.95;S89.98;S79.03;S4.18;S-0.48;S6.02
toto;1;S55.69;S-44.62;S-66.77;S-45.85;S4.55;S63.78;S2.79;S6.54;S21.05;S10.95;S-90.59;S113.8;S74.34;S-92.62;S-96.04;S-0.04;S-37.05;S-61.73;S-44.43;S20.35;S12.44;S-4.88;S-20.18;S-90.51;S111.43;S75.51;S4.18;S-0.48;S6.02
toto;1;S45.32;S-53.76;S-60.79;S-30.02;S28.89;S60.56;S-5.13;S-2.26;S21.05;S-1.63;S-30.37;S123.56;S74.05;S-112.48;S-82.77;S-9.19;S-30.81;S36.22;S-26.25;S50.33;S21.14;S-17.1;S0.75;S-30.99;S123.38;S75.81;S1.19;S51.12;S18.24
toto;1;S-27.21;S95.52;S-7.16;S-10.68;S80.5;S-8.65;S-6.01;S3.31;S21.58;S-15.34;S15.25;S115.12;S73.75;S-28.7;S-83.21;S-80.57;S-26.68;S7.48;S-22.73;S12.09;S-7.78;S-21.49;S15.6;S18.24;S111.25;S74.63;S7.78;S36.09;S-4.18
toto;1;S-24.75;S46.37;S89.71;S-124.35;S30.35;S35.34;S-5.43;S0.67;S21.76;S-16.13;S17.63;S124.35;S73.75;S-51.82;S-84.97;S-80.66;S-16.13;S7.48;S-22.43;S36.09;S-13.14;S-21.49;S16.48;S19.12;S122.42;S74.63;S10.33;S36.35;S-7.87
