Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assise fier;5.0;S13.41;S70.64;S14.81;S-32.92;S39.74;S57.04;S-30.06;S-4.02;S13.67;S20.26;S-80.48;M;S-14.22;S7.87;S-83.03;S27.3;S-31.16;S-68.48;S-51.76;S-19.56;S-3.3;S-15.6;S-14.99;S-81.19;M;S-24.19;S2.24;S13.23;S4.26
toto;1;S13.67;S71.08;S14.99;S-32.84;S40.32;S57.04;S2.2;S-2.26;S13.93;S21.41;S-80.75;S5.67;S-13.34;S7.6;S-82.86;S27.12;S-31.6;S-67.89;S-52.05;S-20.53;S-3.12;S-15.16;S-16.4;S-80.92;S1.63;S-24.19;S2.07;S13.41;S4.18
toto;1;S13.41;S71.34;S14.81;S-33.19;S40.32;S57.92;S-3.08;S12.11;S14.29;S21.85;S-81.01;S5.67;S-13.05;S7.16;S-82.68;S27.03;S-32.31;S-67.01;S-52.05;S-20.18;S-2.86;S-14.9;S-16.75;S-81.1;S1.54;S-24.19;S1.89;S13.67;S4.18
toto;1;S13.32;S71.69;S14.81;S-33.19;S40.62;S57.92;S-9.53;S-5.48;S14.46;S22.11;S-81.27;S5.58;S-12.76;S7.43;S-82.42;S27.21;S-32.75;S-66.72;S-51.76;S-20.7;S-2.86;S-14.64;S-16.92;S-81.27;S1.27;S-24.19;S1.89;S13.58;S3.91
toto;1;S13.32;S72.13;S14.99;S-33.1;S40.32;S57.92;S4.84;S10.35;S14.81;S21.93;S-81.54;S5.67;S-12.76;S6.81;S-82.07;S27.03;S-33.63;S-66.72;S-51.17;S-20.35;S-2.68;S-14.29;S-17.19;S-81.19;S1.27;S-24.19;S1.54;S13.93;S4.0
k fin tete;1;S13.58;S72.57;S15.16;S-32.84;S40.62;S57.92;S-4.84;S-7.54;S14.9;S21.93;S-81.8;S5.76;S-12.46;S6.9;S-81.71;S27.21;S-34.07;S-66.72;S-50.29;S-20.62;S-2.86;S-14.02;S-17.27;S-81.19;S1.19;S-24.49;S1.27;S13.67;S4.18
toto;3.0;S21.93;S74.33;S-5.14;S-55.08;S51.76;S40.32;S-4.55;S3.31;S10.15;S20.09;S-76.35;S2.24;S-13.64;S10.59;S-84.26;S7.08;S-33.54;S-39.44;S-59.09;S7.87;S3.03;S-13.93;S-14.9;S-75.82;S1.36;S-23.9;S0.13;S-1.54;S2.95
toto;2.0;S20.7;S56.75;S14.9;S-69.32;S73.17;S16.57;S19.21;S9.18;S6.29;S20.35;S-71.43;S2.33;S-13.93;S23.25;S-93.41;S6.37;S-2.24;S-32.11;S-49.12;S-2.24;S1.8;S-18.07;S-13.23;S-67.91;S0.22;S-24.19;S13.14;S-6.11;S-21.49
toto;2.0;S-0.48;S76.26;S31.08;S-74.15;S62.32;S-1.03;S27.42;S5.37;S20.0;S18.68;S-31.52;S-0.75;S-14.22;S38.11;S-93.14;S41.19;S-71.43;S-44.72;S-32.7;S18.24;S-46.37;S-20.88;S9.63;S-33.27;S-0.75;S-24.49;S36.18;S-5.32;S-47.25
k coude;2.0;S32.13;S92.18;S-2.07;S-92.44;S72.29;S-2.49;S-3.08;S9.18;S20.0;S13.14;S-30.64;S53.14;S-15.69;S25.27;S-77.93;S14.29;S-85.23;S-66.42;S-0.73;S33.98;S-25.89;S-19.74;S1.27;S-2.15;S-0.84;S-21.26;S23.16;S26.33;S-12.0
tempo;12.0;S32.13;S92.18;S-2.07;S-92.44;S72.29;S-2.49;S-15.98;S0.67;S20.0;S13.14;S-30.64;S53.14;S-15.69;S25.27;S-77.93;S14.29;S-85.23;S-66.42;S-0.73;S33.98;S-25.89;S-19.74;S1.27;S-2.15;S-0.84;S-21.26;S23.16;S26.33;S-12.0
