Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
coude;3;S-12.35;S90.86;S3.03;S-140.97;S0.0;S0.0;S-9.53;S23.84;S-8.4;S-12.35;S21.14;S-0.75;M;S-17.89;S-90.07;S2.51;S-140.26;S-89.0;S-0.44;S0.31;S0.66;S0.84;S15.16;S21.41;S-0.57;M;S0.13;S-0.04;S-0.75
coude;1;L-13.85;L90.42;L3.38;L-141.93;L0.0;L0.0;L-7.48;L25.01;L-7.52;L-12.44;L20.53;L-0.75;M;L-19.38;L-89.89;L2.68;L-140.97;L-87.83;L-1.03;L-1.1;L0.92;L1.71;L13.41;L20.7;L-0.75;M;L5.23;L16.92;L27.38
right leg up;1;L-14.64;L90.15;L2.68;L-141.67;L0.0;L0.0;L-8.36;L23.84;L2.24;L21.14;L2.51;L-0.84;L69.58;L-19.21;L-90.07;L2.33;L-142.2;L-88.71;L-1.03;L-1.54;L-0.75;L8.31;L-25.8;L-84.62;L104.22;L85.93;L13.93;L0.04;L51.65
right leg up;1;L-13.49;L90.42;L2.86;L-141.14;L0.0;L0.0;L-9.53;L23.84;L1.63;L20.79;L2.95;L-1.1;L69.67;L-18.59;L-90.33;L2.15;L-140.79;L-89.0;L-0.73;L-0.66;L-0.22;L8.4;L-25.01;L-87.96;L108.88;L86.02;L13.67;L-0.13;L40.04
toto;1;L-92.35;L83.38;L-64.66;L-64.13;L0.0;L0.0;L-2.79;L23.26;L-5.67;L18.42;L3.47;L0.48;L69.93;L-35.65;L-92.0;L4.18;L-125.93;L-86.07;L-1.03;L9.45;L-6.55;L1.19;L-21.67;L-86.29;L109.76;L86.2;L19.03;L-0.57;L28.0
toto;1;L-116.35;L86.9;L11.21;L-36.35;L0.0;L0.0;L-2.79;L23.26;L-0.66;L19.3;L3.12;L-0.13;L69.93;L-30.11;L-98.51;L-14.9;L-123.91;L-86.07;L-1.32;L-2.24;L-0.22;L6.73;L-24.66;L-87.69;L109.49;L86.29;L16.13;L-0.22;L39.08
toto;1;L-107.82;L83.56;L11.21;L-42.24;L0.0;L0.0;L-2.49;L23.55;L-1.27;L18.95;L2.95;L0.4;L70.02;L-78.73;L-65.54;L73.36;L-54.55;L-85.78;L-1.03;L-2.33;L1.8;L5.67;L-25.45;L-88.48;L109.49;L86.2;L18.33;L-0.04;L39.96
toto;1;S-101.67;S87.43;S11.21;S-47.69;S0.0;S0.0;S-1.91;S23.26;S-0.75;S19.38;S2.51;S0.84;S69.93;S-105.8;S-92.26;S-12.53;S-47.43;S-86.07;S-1.03;S-3.56;S-0.04;S6.9;S-24.92;S-88.31;S109.23;S86.2;S17.36;S0.31;S36.97
coude;3;S-17.89;S90.07;S-2.51;S-140.26;S89.0;S0.44;S9.53;S23.84;S-0.84;S-15.16;S21.41;S-0.57;M;S-12.35;S-90.86;S-3.03;S-140.97;S-0.0;S-0.0;S0.31;S-0.66;S8.4;S12.35;S21.14;S-0.75;M;S-0.13;S-0.04;S0.75
coude;1;L-19.38;L89.89;L-2.68;L-140.97;L87.83;L1.03;L7.48;L25.01;L-1.71;L-13.41;L20.7;L-0.75;M;L-13.85;L-90.42;L-3.38;L-141.93;L-0.0;L-0.0;L-1.1;L-0.92;L7.52;L12.44;L20.53;L-0.75;M;L-5.23;L16.92;L-27.38
right leg up;1;L-19.21;L90.07;L-2.33;L-142.2;L88.71;L1.03;L8.36;L23.84;L-8.31;L25.8;L-84.62;L104.22;L85.93;L-14.64;L-90.15;L-2.68;L-141.67;L-0.0;L-0.0;L-1.54;L0.75;L-2.24;L-21.14;L2.51;L-0.84;L69.58;L-13.93;L0.04;L-51.65
right leg up;1;L-18.59;L90.33;L-2.15;L-140.79;L89.0;L0.73;L9.53;L23.84;L-8.4;L25.01;L-87.96;L108.88;L86.02;L-13.49;L-90.42;L-2.86;L-141.14;L-0.0;L-0.0;L-0.66;L0.22;L-1.63;L-20.79;L2.95;L-1.1;L69.67;L-13.67;L-0.13;L-40.04
toto;1;L-35.65;L92.0;L-4.18;L-125.93;L86.07;L1.03;L2.79;L23.26;L-1.19;L21.67;L-86.29;L109.76;L86.2;L-92.35;L-83.38;L64.66;L-64.13;L-0.0;L-0.0;L9.45;L6.55;L5.67;L-18.42;L3.47;L0.48;L69.93;L-19.03;L-0.57;L-28.0
toto;1;L-30.11;L98.51;L14.9;L-123.91;L86.07;L1.32;L2.79;L23.26;L-6.73;L24.66;L-87.69;L109.49;L86.29;L-116.35;L-86.9;L-11.21;L-36.35;L-0.0;L-0.0;L-2.24;L0.22;L0.66;L-19.3;L3.12;L-0.13;L69.93;L-16.13;L-0.22;L-39.08
toto;1;L-78.73;L65.54;L-73.36;L-54.55;L85.78;L1.03;L2.49;L23.55;L-5.67;L25.45;L-88.48;L109.49;L86.2;L-107.82;L-83.56;L-11.21;L-42.24;L-0.0;L-0.0;L-2.33;L-1.8;L1.27;L-18.95;L2.95;L0.4;L70.02;L-18.33;L-0.04;L-39.96
toto;1;S-105.98;S66.15;S10.86;S-47.6;S0.0;S0.0;S-0.44;S0.97;S-5.93;S23.25;S-88.13;S108.97;S78.81;S-107.91;S-83.12;S-11.3;S-47.6;S-0.15;S-0.15;S-4.62;S1.71;S-2.95;S-19.74;S5.93;S-0.75;S68.88;S-17.1;S-0.48;S-42.24
