Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
a genou mieux;1;S-36.35;S89.52;S64.13;S0.4;S76.1;S0.44;S-0.44;S1.55;S25.98;S2.15;S15.25;S119.69;S64.84;S-42.51;S-84.68;S-58.15;S-3.47;S-76.1;S25.07;S21.41;S-4.18;S-27.3;S31.96;S3.03;S119.78;S64.48;S-1.45;S37.14;S5.58
toto;1;S-32.04;S64.64;S64.48;S-17.1;S82.26;S-4.55;S-0.73;S-11.06;S22.02;S2.33;S14.64;S119.43;S64.84;S-35.38;S-65.87;S-69.41;S-22.64;S-74.34;S15.69;S15.69;S3.12;S-22.55;S17.01;S4.35;S120.04;S64.66;S-1.8;S32.4;S5.14
toto;1;S-29.41;S67.63;S28.18;S-18.07;S81.67;S-3.96;S-1.03;S-11.06;S22.02;S2.07;S14.2;S119.69;S64.84;S-55.52;S-87.67;S-21.05;S-25.27;S-74.34;S15.69;S25.54;S21.67;S-22.55;S17.01;S5.23;S119.96;S64.66;S-11.21;S31.34;S14.99
toto;1;S-49.27;S70.0;S30.55;S-31.34;S82.26;S-5.13;S-0.73;S-11.06;S22.02;S1.8;S14.37;S119.78;S64.84;S-81.27;S-83.19;S-27.47;S-91.38;S-74.34;S15.69;S54.99;S19.82;S-22.55;S17.01;S6.02;S120.04;S64.66;S-7.08;S25.36;S20.79
toto;1;S-53.58;S72.02;S32.31;S-30.9;S82.26;S-5.13;S-0.73;S-11.06;S21.93;S1.63;S14.55;S119.87;S64.84;S-84.26;S-83.01;S-32.04;S-97.63;S-115.69;S-46.19;S59.03;S14.37;S-22.55;S17.1;S6.64;S120.04;S64.66;S-1.98;S24.4;S15.34
toto;1;S-54.37;S71.58;S32.31;S-30.64;S82.55;S-5.43;S-0.73;S-11.06;S21.93;S1.71;S14.11;S119.78;S64.84;S-110.29;S-86.62;S-24.66;S-52.0;S-115.4;S-46.19;S61.05;S10.68;S-22.55;S17.01;S7.16;S119.96;S64.66;S0.04;S24.84;S10.07
bout du mouv;1;S-53.67;S71.85;S32.31;S-30.2;S82.55;S-6.01;S-4.55;S22.08;S22.11;S1.63;S14.11;S119.87;S64.84;S-130.33;S-79.23;S-31.78;S-55.34;S-115.4;S-44.43;S55.08;S11.21;S-22.55;S16.22;S7.52;S119.96;S64.66;S-0.31;S25.54;S9.45
bout du mouv;3.0;S-53.67;S71.85;S32.31;S-30.2;S82.55;S-6.01;S-4.55;S22.08;S22.11;S1.63;S14.11;S119.87;S64.84;S-130.33;S-79.23;S-31.78;S-55.34;S-115.4;S-44.43;S55.08;S11.21;S-22.55;S16.22;S7.52;S119.96;S64.66;S-0.31;S25.54;S9.45
toto;2.0;S-66.59;S78.09;S30.99;S-7.43;S80.79;S27.13;S2.49;S-12.82;S20.62;S2.59;S14.29;S119.87;S64.84;S-78.64;S-87.85;S-29.93;S-84.44;S-107.77;S-41.79;S59.47;S12.97;S-20.62;S15.78;S8.13;S119.96;S64.22;S-3.82;S34.42;S16.92
toto;1;S-67.38;S78.62;S30.99;S-17.27;S80.79;S26.83;S2.79;S-12.52;S20.62;S2.77;S14.46;S119.87;S64.84;S-71.08;S-83.98;S-35.21;S-89.1;S-107.77;S-41.5;S66.24;S4.53;S-20.62;S15.78;S8.66;S119.96;S64.13;S-2.42;S34.42;S11.12
