Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
toto;1;S7.6;S85.82;S7.08;S2.86;M;M;S-4.25;S10.35;S0.04;S-0.4;S11.56;S-4.88;S63.6;S3.74;S-75.01;S26.95;S-0.48;M;M;S-14.11;S-1.27;S-0.04;S13.14;S9.8;S-5.76;S70.02;S-1.89;S9.8;S0.57
toto;1;L19.47;L86.35;L7.08;L-13.67;M;M;L-5.13;L13.87;L0.04;L-1.01;L11.65;L-4.88;L63.6;L-4.35;L-64.55;L32.04;L-19.3;M;M;L-7.87;L-2.42;L-0.04;L13.14;L9.89;L-5.76;L69.49;L0.04;L7.25;L14.46
toto;1;L19.21;L86.35;L7.08;L-13.67;M;M;L-5.13;L14.75;L0.04;L-1.01;L11.56;L-4.88;L63.6;L0.4;L-49.08;L34.42;L-44.18;M;M;L-7.78;L-2.42;L-0.04;L13.14;L9.89;L-5.76;L69.49;L0.04;L7.25;L14.46
toto;1;L19.21;L86.88;L7.08;L-13.05;M;M;L-5.13;L14.46;L0.04;L-1.01;L11.47;L-4.88;L63.6;L-10.59;L-70.35;L60.97;L-95.78;M;M;L-9.27;L-2.86;L-0.13;L13.14;L9.71;L-5.85;L69.49;L-0.04;L7.6;L14.37
toto;1;L18.15;L87.23;L7.08;L-11.21;M;M;L-5.72;L14.75;L0.04;L-1.01;L11.38;L-4.88;L63.6;L8.13;L-74.13;L49.27;L-137.45;M;M;L-10.86;L-3.03;L-0.22;L13.14;L9.71;L-5.76;L69.49;L-0.04;L7.69;L12.7
toto;1;L23.69;L90.84;L7.08;L-11.03;M;M;L-5.72;L15.92;L0.04;L-1.01;L11.65;L-4.88;L63.6;L-13.76;L-69.56;L0.31;L-134.2;M;M;L-3.12;L-4.35;L-0.22;L13.23;L9.98;L-5.85;L69.49;L4.09;L-0.13;L26.77
toto;1;L23.87;L94.79;L7.08;L-7.34;M;M;L-5.72;L16.22;L0.04;L-1.1;L11.65;L-4.88;L63.6;L-23.6;L-61.03;L-12.53;L-122.86;M;M;L-0.04;L-6.11;L-0.31;L13.23;L9.98;L-5.76;L69.49;L7.52;L-3.74;L33.1
coude gauche;1;L21.67;L95.49;L10.68;L-4.7;M;M;L-5.72;L16.22;L0.04;L-1.01;L11.65;L-4.88;L63.6;L-25.54;L-84.15;L-23.08;L-133.67;M;M;L1.45;L-7.69;L-0.31;L13.14;L10.07;L-5.76;L69.49;L8.66;L-3.74;L33.01
toto;1;L28.26;L91.98;L-17.98;L-30.37;M;M;L-6.01;L16.8;L0.04;L-1.1;L13.23;L-4.97;L63.6;L-24.13;L-82.13;L-20.09;L-137.8;M;M;L2.59;L-11.21;L0.75;L13.23;L11.74;L-5.85;L69.49;L8.13;L-7.6;L19.21
toto;1;L27.65;L92.07;L-58.24;L-70.29;M;M;L-5.43;L16.8;L0.04;L-1.1;L16.4;L-4.88;L63.6;L-22.2;L-81.96;L-19.47;L-136.57;M;M;L2.15;L-11.21;L1.36;L13.32;L14.99;L-5.76;L69.49;L7.87;L-7.6;L13.67
toto;1;L-2.68;L91.27;L-59.56;L-130.42;M;M;L-6.01;L17.98;L0.04;L-1.1;L16.92;L-4.88;L63.6;L-20.18;L-81.08;L-17.1;L-136.84;M;M;L0.84;L-11.21;L0.66;L13.23;L15.43;L-5.76;L69.49;L8.13;L-7.69;L11.47
toto;1;L-16.22;L87.58;L-24.04;L-119.16;M;M;L-6.01;L17.98;L-0.04;L-1.27;L25.01;L-4.88;L63.6;L-25.1;L-76.24;L-23.08;L-117.14;M;M;L-3.82;L-20.0;L1.54;L13.23;L24.57;L-5.76;L69.49;L8.31;L-7.96;L13.76
toto;1;L-20.62;L101.21;L6.55;L-119.69;M;M;L-6.01;L17.98;L0.04;L-2.59;L24.75;L-4.88;L63.6;L-19.91;L-73.34;L-14.9;L-124.97;M;M;L-3.12;L-19.12;L3.38;L13.23;L24.13;L-5.85;L69.49;L7.78;L-7.87;L9.71
sur les coudes;1;S-19.65;S101.56;S8.4;S-120.04;M;M;S-6.01;S17.98;S0.04;S-2.59;S24.31;S-4.88;S63.6;S-16.57;S-71.14;S-14.73;S-129.45;M;M;S-3.47;S-19.47;S3.3;S13.23;S23.78;S-5.76;S69.49;S7.78;S-7.69;S8.84
