Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
toto;1;S8.66;L62.26;S3.91;S2.86;S-48.53;S-4.55;S-6.89;S24.72;S-6.9;S-3.47;S11.38;S9.63;S22.37;S6.73;L-95.05;S-2.24;S1.54;S-1.32;S-9.24;S-15.6;S27.12;S-8.48;S-3.91;S13.05;S2.33;S32.75;S-17.89;S9.63;S-6.37
toto;1;L18.86;S6.44;S28.18;S-1.1;M;M;S-6.89;S24.72;S-6.64;S-3.47;S11.38;S9.8;S22.37;L-7.43;S-26.04;S-7.78;S1.45;M;M;S-15.69;S27.03;S-8.66;S-3.91;S12.97;S2.33;S32.75;S-17.89;S9.63;S-5.93
toto;1;S-96.22;S0.81;S28.26;L2.51;M;M;S-6.01;S24.72;S-6.29;S-3.47;S11.38;S9.71;S22.37;S-107.65;S0.15;S-34.15;L0.92;M;M;S-15.96;S26.86;S-8.57;S-4.18;S13.05;S2.59;S32.57;S-18.15;S9.54;S-6.46
bras en haut;1;S-94.9;S-0.33;S27.91;S-89.45;M;M;S-35.34;S13.87;S-2.86;S-2.77;S11.12;S9.71;S22.73;S-107.21;S-0.55;S-38.2;S-90.59;M;M;S-16.4;S26.42;S-8.75;S-4.44;S13.14;S3.12;S32.75;S-19.3;S9.89;S-7.16
toto;1;S-94.9;S-8.51;S27.91;S-104.04;M;M;S-34.46;S13.87;S-3.21;S-2.86;S10.95;S9.89;S22.73;L-150.37;L-27.63;L-21.85;L-80.92;M;M;S-16.92;S28.44;S-9.01;S-4.7;S13.14;S3.47;S32.75;S-19.03;S9.8;S-6.29
toto;1;S-94.9;S-8.51;S27.91;S-107.21;M;M;S-34.16;S13.58;S-3.47;S-2.77;S10.95;S9.98;S22.73;L-155.56;L-43.71;L8.31;L-74.33;M;M;S-17.36;S28.88;S-9.27;S-4.97;S13.14;S4.26;S32.75;S-18.86;S9.89;S-6.55
toto;1;S-95.34;S-8.24;S29.93;S-98.95;M;M;S-34.75;S12.7;L-5.76;L-2.77;L10.51;L10.68;L22.73;S-160.48;S-103.58;S72.92;S-92.44;M;M;S-18.51;S31.25;L-10.15;L-5.32;L12.88;L6.11;L32.4;S-18.33;S9.45;S-7.69
toto;1;S-95.43;S-8.68;S29.93;S-98.95;M;M;S-34.75;S12.4;L-20.35;L-29.14;L1.54;L37.14;L-15.08;S-160.57;S-103.67;S72.92;S-92.44;M;M;S-18.33;S31.25;L-20.44;L-9.63;L9.98;L19.38;L-9.01;S-25.98;S7.16;S-9.27
toto;1;S-95.43;S-8.68;S29.93;S-98.95;M;M;S-34.75;S12.11;L-11.21;L-85.41;L-17.27;L-4.79;L-14.99;S-160.57;S-103.67;S72.92;S-92.44;M;M;S-19.47;S30.29;L-25.89;L9.98;L2.24;L49.36;L-9.01;S-28.09;S5.67;S-2.86
toto;1;L-97.8;L-7.98;L29.93;L-97.71;M;M;L-34.75;L12.11;L-11.12;L-65.45;L-15.69;L-4.35;L-14.99;L-160.75;L-104.11;L72.92;L-92.62;M;M;L-26.86;L30.55;L-15.96;L-18.86;L8.31;L40.57;L-8.92;L-29.14;L7.69;L14.99
toto;1;L-99.3;L43.27;L29.93;L-78.37;M;M;L-34.75;L11.82;L-14.55;L-28.0;L-1.27;L-4.79;L-14.99;L-157.14;L-103.85;L72.04;L-100.62;M;M;L-26.86;L42.86;L-9.19;L-22.55;L4.7;L61.85;L-8.84;L-34.51;L16.04;L28.26
toto;1;L-92.0;L88.2;L29.85;L-81.45;M;M;L-34.46;L12.11;L-22.02;L-6.11;L5.41;L-4.79;L-14.99;L-149.05;L-103.58;L55.6;L-113.19;M;M;L-26.68;L29.93;L-17.19;L-19.91;L1.98;L86.02;L-8.92;L-37.76;L35.3;L27.21
toto;1;L-85.05;L76.42;L51.03;L-79.78;M;M;S-34.16;S11.82;S-24.31;S-5.67;S6.64;S-4.7;S-14.99;S-141.85;S-103.32;S45.85;S-112.92;M;M;S-26.77;S26.59;S-19.82;S-19.47;S2.42;S86.73;S-8.92;S-36.53;S35.3;S15.69
toto;1;L-65.01;L83.01;L58.24;L-77.76;M;M;S-34.16;S11.82;S-26.07;S-0.75;S10.15;S-4.7;S-14.99;S-134.81;S-98.31;S30.64;S-111.96;M;M;S-26.68;S23.25;S-21.23;S-14.55;S2.51;S90.42;S-8.84;S-36.0;S35.21;L2.68
