Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis base;5;L-31.16;L97.63;L-5.76;L-19.03;L73.17;L30.06;L8.36;L8.3;L14.81;L-4.97;L5.32;L123.82;L67.3;L-30.55;L-95.78;L-21.32;L-19.21;L-74.05;L-60.85;L14.73;L6.55;L-6.02;L9.36;L4.97;L123.21;L64.31;L-0.22;L44.0;L0.13
tete1;1;L-32.31;L97.71;L-5.67;L-19.47;L73.46;L30.35;L3.37;L18.56;L16.13;L-5.58;L6.02;L124.35;L66.95;L-30.73;L-95.43;L-21.05;L-19.38;L-73.75;L-60.56;L15.52;L6.37;L-6.64;L10.77;L5.76;L122.95;L64.4;L-0.75;L44.35;L0.57
toto;1;L-32.92;L97.71;L-5.67;L-19.82;L73.75;L30.35;L16.28;L15.92;L16.92;L-5.93;L6.55;L124.35;L66.95;L-31.16;L-95.25;L-21.05;L-19.65;L-73.46;L-60.56;L16.13;L6.11;L-6.9;L11.21;L6.37;L122.95;L64.4;L-1.1;L44.62;L1.01
toto;1;L-33.8;L97.8;L-5.67;L-20.26;L74.34;L30.35;L-6.89;L17.1;L17.54;L-6.02;L7.16;L124.35;L66.95;L-31.43;L-95.34;L-21.05;L-19.82;L-73.46;L-60.56;L16.75;L6.73;L-7.08;L11.56;L6.81;L122.95;L64.4;L-1.1;L44.88;L0.75
toto;1;L-34.51;L97.45;L-5.67;L-20.7;L74.93;L30.35;L4.84;L4.19;L17.71;L-5.93;L7.6;L124.26;L66.95;L-31.34;L-95.43;L-21.05;L-19.91;L-73.17;L-60.56;L17.1;L7.43;L-7.25;L11.82;L7.16;L123.03;L64.4;L-0.84;L45.32;L0.57
k tete fin;1;L-35.21;L97.36;L-5.67;L-21.05;L74.93;L30.35;L8.06;L9.18;L17.98;L-6.02;L8.04;L124.35;L66.95;L-31.87;L-95.69;L-21.05;L-20.26;L-72.87;L-60.56;L17.8;L7.78;L-6.99;L11.82;L7.52;L122.95;L64.4;L-1.1;L45.76;L0.92
k coude mommy;9;L-35.21;L97.36;L-5.67;L-21.05;L74.93;L30.35;L8.06;L9.18;L17.98;L-6.02;L8.04;L124.35;L66.95;L-31.87;L-95.69;L-21.05;L-20.26;L-72.87;L-60.56;L17.8;L7.78;L-6.99;L11.82;L7.52;L122.95;L64.4;L-1.1;L45.76;L0.92
toto;1;L-33.36;L81.19;L31.96;L-67.56;L80.79;L-35.92;L8.06;L13.87;L6.73;L3.12;L-3.12;L122.86;L65.54;L-37.58;L-94.81;L-23.87;L-13.41;L-64.96;L-19.21;L22.46;L9.27;L-6.81;L15.34;L-4.35;L121.71;L63.87;L0.4;L40.48;L-12.26
toto;1;L-34.42;L67.82;L28.53;L-98.51;L81.67;L-33.58;L8.06;L13.87;L7.34;L3.12;L-3.21;L122.86;L65.54;L-39.52;L-94.02;L-23.87;L-13.58;L-64.96;L-19.21;L23.87;L9.19;L-6.29;L15.25;L-4.44;L121.8;L63.87;L0.4;L41.98;L-13.85
toto;2;L-58.24;L74.15;L21.85;L-19.12;L84.31;L55.28;L8.06;L18.86;L-4.35;L5.14;L-32.4;L124.18;L66.07;L-7.87;L-87.08;L-14.11;L-66.07;L-73.75;L-23.61;L2.95;L-18.77;L-20.7;L10.77;L-33.45;L122.86;L63.78;L32.84;L50.59;L-3.82
