Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
k sit;1;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;PM;PM;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S0.0;S15.16;S4.88;S-18.95;S5.23;S5.0;PM;PM;S0.0;S43.0;S-1.1
toto;1;S-36.53;S95.32;S-5.05;S-22.46;S72.87;S30.94;S-15.98;S21.2;S20.79;S2.33;S4.26;PM;PM;S-39.25;S-92.59;S2.86;S-9.71;S-77.27;S0.0;S17.36;S4.7;S-20.62;S3.03;S3.12;PM;PM;S0.31;S48.13;S-3.47
k arm front;2;S-27.3;S92.07;S-0.75;L-85.32;S-83.72;S1.91;S-12.17;S-4.02;S20.62;S2.86;S9.36;PM;PM;S-31.6;S-93.47;S3.03;S-5.58;S-73.75;S0.0;S5.76;S3.38;S-20.62;S6.9;S7.96;PM;PM;S-2.42;S41.89;S-3.21
toto;1;S-27.3;S92.07;S-0.75;S-100.0;S-83.72;S1.91;S-12.17;S-4.02;S20.62;S2.86;S9.36;PM;PM;S-31.6;S-93.47;S3.03;S-5.58;S-73.75;S0.0;S5.76;S3.38;S-20.62;S6.9;S7.96;PM;PM;S-2.42;S41.89;S-3.21
k arm front;1;L-32.57;L92.42;L0.22;L-90.68;L-86.07;L0.15;L-6.6;L-5.19;L21.41;L0.84;L5.58;PM;PM;L-34.59;L-94.18;L2.95;L-6.64;L-74.93;L0.0;L14.9;L5.49;L-20.97;L6.29;L5.05;PM;PM;L0.22;L43.38;L-1.01
toto;1;L-29.67;L91.36;L-8.57;L-86.29;L-85.48;L1.32;L-7.18;L3.9;L20.35;L2.86;L10.51;PM;PM;L-42.51;L-87.58;L5.85;L-14.99;L-74.34;L0.0;L17.1;L6.46;L-21.23;L7.87;L8.75;PM;PM;L1.45;L48.66;L12.44
k arm side;3;S-26.33;S91.01;S-20.0;S-85.23;S-83.43;S2.79;S-63.2;S0.67;S18.07;S3.12;S12.18;PM;PM;S10.0;S-91.89;S3.56;S-5.05;S-73.75;S0.0;S2.15;S4.53;S-21.93;S8.66;S11.03;PM;PM;S7.25;S41.8;S-86.9
pause;5;S-26.77;S91.19;S-20.0;S-85.58;S-84.9;S2.49;S-63.0;S9.18;S20.88;S0.48;S8.22;PM;PM;S10.0;S-92.42;S3.3;S-5.32;S-76.39;S0.0;S-1.27;S4.26;S-21.23;S4.53;S6.81;PM;PM;S6.29;S42.15;S-87.78
toto;1;S-25.01;S91.1;S-10.15;S-83.82;S-84.31;S2.49;S-19.5;S4.78;S20.35;S2.86;S11.3;PM;PM;S10.0;S-93.82;S1.63;S-10.15;S-74.34;S0.0;S1.45;S2.51;S-21.32;S8.57;S9.71;PM;PM;S8.22;S42.68;S-87.96
amorti;3;S-32.57;S92.42;S-12.18;S-90.68;S-86.07;S0.15;S-6.6;S-5.19;S21.41;S0.84;S5.58;PM;PM;S-34.59;S-94.18;S2.95;S-6.64;S-74.93;S0.0;S14.9;S5.49;S-20.97;S6.29;S5.05;PM;PM;S0.22;S43.38;S-1.01
k arm front;2;L-32.57;L92.42;L0.22;L-90.68;L-86.07;L0.15;L-6.6;L-5.19;L21.41;L0.84;L5.58;PM;PM;L-34.59;L-94.18;L2.95;L-6.64;L-74.93;L0.0;L14.9;L5.49;L-20.97;L6.29;L5.05;PM;PM;L0.22;L43.38;L-1.01
toto;1;L-31.78;L88.29;L0.66;L-92.18;L-76.39;L3.67;L-18.91;L-15.75;L19.65;L2.33;L13.41;PM;PM;L-29.93;L-94.88;L3.12;L-4.97;L-73.75;L0.0;L5.14;L9.45;L-21.23;L8.31;L11.82;PM;PM;L0.22;L44.26;L0.4
k sit;2;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S0.97;S23.78;S2.77;S5.0;PM;PM;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S0.0;S15.16;S4.88;S-18.95;S5.23;S5.0;PM;PM;S0.0;S43.0;S-1.1
