Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;1;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;PM;PM;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;PM;PM;S0.0;S43.0;S-1.1
assis sur genou;1;L-36.53;L98.51;L-5.67;L-21.05;L71.7;L31.23;L3.08;L10.06;L24.4;L-3.12;L9.63;PM;PM;L-40.13;L-96.48;L3.03;L-9.8;L-74.63;L-64.08;L24.4;L8.66;L-21.67;L9.36;L8.57;PM;PM;L-0.92;L41.98;L2.59
k pos 1;3;L-38.11;L94.73;L-5.67;L-5.14;L10.41;L31.52;L3.08;L10.35;L24.48;L12.18;L-49.01;PM;PM;L-42.07;L-94.64;L4.09;L0.4;L13.34;L-5.72;L8.48;L-1.01;L-18.07;L-9.19;L-49.27;PM;PM;L11.21;L1.01;L-0.75
toto;1;L-38.55;L95.6;L-5.67;L-5.85;L10.12;L30.35;L3.08;L10.35;L24.04;L13.32;L-50.24;PM;PM;L-37.41;L-11.12;L-99.12;L-83.47;L103.37;L1.32;L8.92;L-1.19;L-20.0;L-9.89;L-49.98;PM;PM;L11.47;L2.42;L-1.63
toto;1;L-38.81;L96.13;L-5.67;L-6.11;L9.82;L30.35;L3.08;L10.35;L24.04;L13.67;L-50.68;PM;PM;L-36.35;L-7.69;L-96.84;L0.57;L86.36;L55.57;L9.27;L-1.63;L-20.88;L-10.33;L-50.24;PM;PM;L11.21;L2.77;L-1.98
k pos 2;2;L-38.37;L94.29;L-5.67;L-5.67;L11.0;L35.04;L3.08;L10.35;L24.48;L12.7;L-49.71;PM;PM;L-26.24;L-7.87;L-93.49;L0.31;L96.04;L2.79;L8.4;L0.4;L-16.48;L-9.89;L-49.8;PM;PM;L11.12;L1.98;L-1.54
k pos 2;1;L-48.22;L96.84;L-4.53;L-5.14;L12.76;L34.46;L6.6;L5.07;L21.67;L10.07;L-51.38;PM;PM;L-27.56;L-14.55;L-93.14;L-2.15;L96.33;L4.84;L3.12;L-4.88;L-18.86;L-5.85;L-50.33;PM;PM;L8.22;L2.59;L1.01
toto;2;L-66.68;L-3.03;L37.67;L-137.63;L2.2;L-60.56;L4.25;L20.32;L24.31;L8.57;L-40.75;PM;PM;L-27.65;L-18.15;L-93.05;L-3.74;L96.04;L5.72;L18.59;L-4.88;L-22.11;L-1.54;L-41.54;PM;PM;L8.31;L-6.99;L4.09
k pose 3;2;L-9.89;L-76.09;L9.98;L-0.48;L-3.08;L8.36;L3.96;L1.55;L24.4;L10.24;L-43.47;PM;PM;L-40.75;L-21.23;L-81.63;L-6.02;L77.57;L-3.08;L1.45;L-4.0;L-22.29;L-3.91;L-43.65;PM;PM;L5.76;L-4.7;L-3.03
toto;1;L-10.15;L-75.56;L9.63;L-0.66;L-2.49;L8.36;L5.13;L3.31;L23.34;L11.21;L-44.0;PM;PM;L-40.57;L-23.69;L-81.54;L-6.37;L76.98;L-3.67;L1.1;L-4.79;L-22.11;L-4.53;L-44.53;PM;PM;L6.2;L-3.47;L6.29
k pose 4;1;L0.31;L-84.79;L3.47;L-0.66;L-4.55;L10.12;L4.25;L1.55;L24.22;L10.15;L-37.14;PM;PM;L-73.36;L-92.18;L1.45;L0.4;L6.6;L-3.67;L3.3;L-1.1;L-22.02;L1.89;L-40.75;PM;PM;L3.3;L-6.2;L6.37
toto;2;L-4.0;L-98.24;L3.03;L-2.51;L-0.15;L13.93;L0.15;L-0.5;L23.16;L8.66;L-36.26;PM;PM;L-53.67;L-88.57;L1.45;L0.4;L6.89;L-5.13;L14.55;L0.13;L-23.69;L4.44;L-42.86;PM;PM;L3.03;L-4.26;L1.45
toto;2;L-83.03;L0.84;L-7.25;L-139.12;L93.99;L-46.77;L-0.15;L-0.21;L24.4;L6.9;L-35.82;PM;PM;L-51.65;L-88.92;L1.71;L0.31;L6.89;L-5.13;L15.16;L-0.57;L-25.36;L6.02;L-41.98;PM;PM;L2.59;L-5.49;L0.84
toto;2;L-4.79;L86.29;L-41.1;L-138.86;L104.84;L61.14;L-0.15;L-0.21;L24.4;L6.11;L-35.56;PM;PM;L-50.77;L-89.19;L1.71;L0.31;L7.48;L-5.13;L15.16;L-0.84;L-25.36;L6.9;L-41.54;PM;PM;L2.33;L-5.49;L0.31
k pose 5;3;L-38.64;L89.45;L-3.21;L-9.71;L102.49;L9.24;L0.15;L13.58;L23.08;L14.81;L-41.1;PM;PM;L-80.75;L-92.88;L1.54;L0.48;L5.43;L-5.72;L14.46;L1.36;L-22.11;L-0.48;L-45.14;PM;PM;L6.37;L-1.19;L-2.95
toto;3;L-57.27;L97.71;L-1.89;L-12.18;L21.55;L11.29;L-0.15;L-0.21;L24.13;L8.66;L-39.78;PM;PM;L-69.05;L-92.79;L2.15;L0.22;L5.43;L-6.3;L36.97;L-7.52;L-25.54;L4.88;L-44.35;PM;PM;L7.16;L-0.4;L5.32
assis sur genou;2;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;PM;PM;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;PM;PM;S0.0;S43.0;S-1.1
