Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;5;L-28.0;L97.69;L-6.11;L-17.1;L71.7;L31.23;L-8.65;L-11.06;L23.78;L2.77;L5.0;PM;PM;L-33.63;L-96.46;L3.12;L-6.11;L-75.81;L-67.3;L15.16;L4.88;L-18.95;L5.23;L5.0;PM;PM;L0.0;L43.0;L-1.1
toto;2;L-30.55;L97.19;L-5.58;L-17.89;L71.7;L30.94;L-8.36;L-8.42;L21.76;L2.15;L6.02;PM;PM;L-34.42;L-96.22;L3.12;L-11.38;L-75.22;L-56.16;L14.55;L4.09;L-20.0;L4.62;L5.58;PM;PM;L-0.4;L43.3;L-0.84
toto;2;L-30.55;L97.27;L-5.58;L-18.07;L71.7;L30.35;L-12.17;L17.68;L21.76;L2.15;L6.02;PM;PM;L-34.33;L-96.04;L2.95;L-10.42;L-75.81;L-56.16;L14.73;L4.0;L-20.0;L4.7;L5.58;PM;PM;L-0.4;L43.38;L-1.45
toto;2;L-31.6;L97.01;L-5.58;L-18.51;L71.99;L30.35;L0.15;L-7.54;L21.76;L1.89;L6.55;PM;PM;L-35.12;L-96.04;L2.95;L-10.15;L-76.1;L-52.64;L14.81;L3.74;L-20.62;L4.53;L5.93;PM;PM;L-0.57;L43.65;L-1.36
toto;2;L-32.04;L96.75;L-5.58;L-18.68;L71.7;L30.94;L2.79;L-15.45;L21.76;L1.63;L6.99;PM;PM;L-35.21;L-95.87;L2.86;L-9.89;L-75.81;L-52.64;L14.81;L3.47;L-20.62;L4.7;L6.29;PM;PM;L-0.66;L43.91;L-1.27
toto;2;L-32.4;L96.48;L-5.58;L-18.86;L71.7;L30.35;L1.32;L-15.45;L21.76;L1.36;L7.52;PM;PM;L-22.02;L-92.26;L2.59;L-57.89;L-74.34;L-2.79;L15.16;L3.74;L-20.62;L4.88;L6.64;PM;PM;L-0.92;L44.18;L-1.01
toto;2;L-32.66;L96.22;L-5.58;L-18.86;L71.7;L30.35;L1.32;L-15.45;L21.76;L1.19;L7.96;PM;PM;L-30.64;L-66.77;L6.11;L-72.75;L-15.69;L-2.79;L15.52;L4.0;L-20.62;L4.97;L6.99;PM;PM;L-1.19;L44.18;L-0.84
toto;2;L-33.19;L95.96;L-5.58;L-19.12;L71.7;L30.94;L1.32;L-15.45;L21.76;L1.19;L8.31;PM;PM;L-66.86;L-57.19;L-39.08;L-48.22;L36.22;L-3.37;L15.78;L4.44;L-20.62;L5.05;L7.25;PM;PM;L-1.45;L44.53;L-1.27
toto;2;L-33.63;L95.69;L-5.58;L-19.3;L71.7;L30.35;L1.32;L-15.45;L21.76;L1.1;L8.57;PM;PM;L-85.76;L-60.79;L-39.08;L-45.85;L43.84;L-2.2;L15.96;L4.88;L-20.62;L5.14;L7.52;PM;PM;L-1.19;L44.79;L-1.63
toto;2;L-34.07;L95.6;L-5.58;L-19.56;L71.7;L30.94;L1.32;L-15.45;L21.76;L1.19;L8.84;PM;PM;L-98.33;L-65.71;L-29.85;L-56.4;L11.29;L-3.67;L16.22;L5.41;L-20.62;L5.23;L7.78;PM;PM;L-1.36;L45.23;L-2.07
toto;2;L-34.59;L95.43;L-5.58;L-19.82;L71.7;L30.94;L1.32;L-15.45;L21.76;L1.27;L9.1;PM;PM;L-99.56;L-67.65;L-51.91;L-44.09;L10.41;L-53.23;L16.57;L6.02;L-20.7;L5.32;L8.04;PM;PM;L-1.54;L45.58;L-2.33
toto;2;L-35.12;L95.52;L-5.58;L-20.0;L71.7;L30.06;L1.32;L-15.45;L21.76;L1.19;L9.36;PM;PM;L-72.75;L-79.87;L-14.73;L-53.05;L-32.4;L-45.6;L16.92;L6.29;L-20.7;L5.32;L8.31;PM;PM;L-1.8;L46.02;L-2.42
toto;2;L-35.56;L95.78;L-5.58;L-20.26;L71.7;L30.94;L1.32;L-15.45;L21.76;L1.01;L9.63;PM;PM;L-52.97;L-82.07;L-14.64;L-41.1;L-38.86;L-49.41;L17.63;L6.11;L-20.7;L5.41;L8.57;PM;PM;L-2.15;L46.55;L-2.33
toto;2;L-35.56;L93.14;L-5.58;L-86.2;L72.87;L-9.82;L1.32;L-15.45;L21.76;L0.66;L10.07;PM;PM;L-31.87;L-83.74;L-24.31;L-35.47;L-39.44;L-46.48;L18.24;L6.37;L-20.7;L5.67;L8.92;PM;PM;L-2.42;L46.9;L-2.15
toto;2;L-60.44;L89.45;L-2.68;L-104.57;L62.02;L7.77;L1.32;L-15.75;L21.49;L0.4;L10.51;PM;PM;L-20.97;L-85.14;L8.48;L-34.24;L-34.75;L-6.01;L18.95;L6.02;L-20.62;L5.85;L9.27;PM;PM;L-2.77;L47.25;L-1.89
toto;2;L-81.63;L91.56;L-2.68;L-74.42;L34.75;L24.49;L1.32;L-15.45;L21.49;L0.31;L10.77;PM;PM;L-23.87;L-87.78;L21.93;L-11.12;L-37.1;L-6.89;L19.56;L5.41;L-20.62;L5.76;L9.54;PM;PM;L-3.21;L47.69;L-1.36
toto;2;L-89.71;L100.26;L5.58;L-74.68;L64.66;L24.78;L1.32;L-15.45;L21.49;L0.22;L11.03;PM;PM;L-25.27;L-88.13;L21.93;L-11.65;L-37.1;L-7.18;L20.26;L4.62;L-20.62;L5.76;L9.8;PM;PM;L-3.65;L48.13;L-0.84
toto;2;L-81.71;L100.35;L5.58;L-69.85;L-35.04;L32.4;L1.32;L-15.45;L21.49;L0.04;L11.38;PM;PM;L-26.51;L-87.08;L21.93;L-11.65;L-37.1;L-6.89;L20.88;L4.09;L-20.62;L5.93;L10.15;PM;PM;L-4.09;L48.57;L-0.31
k bidou;2;L-22.02;L71.25;L60.26;L-123.38;L13.64;L-2.79;L1.32;L-15.45;L21.49;L-0.31;L11.82;PM;PM;L-26.59;L-86.73;L21.93;L-12.35;L-37.68;L-6.89;L21.49;L3.74;L-20.62;L6.29;L10.59;PM;PM;L-4.44;L48.92;L-0.22
k bidou;5;L-22.02;L71.25;L60.26;L-123.38;L13.64;L-2.79;L1.32;L-15.45;L21.49;L-0.31;L11.82;PM;PM;L-26.59;L-86.73;L21.93;L-12.35;L-37.68;L-6.89;L21.49;L3.74;L-20.62;L6.29;L10.59;PM;PM;L-4.44;L48.92;L-0.22
toto;2;L-29.58;L63.52;L59.91;L-62.11;L35.63;L0.44;L1.32;L-15.45;L21.49;L-0.48;L12.26;PM;PM;L-26.59;L-86.37;L21.93;L-12.18;L-37.68;L-6.89;L22.2;L3.65;L-20.53;L6.46;L11.03;PM;PM;L-4.79;L48.84;L-0.75
toto;2;L-42.24;L79.08;L59.91;L-21.76;L35.34;L-0.73;L1.32;L-15.45;L21.49;L-0.66;L12.62;PM;PM;L-27.47;L-86.37;L21.93;L-12.35;L-37.39;L-6.89;L22.81;L3.91;L-20.53;L6.55;L11.38;PM;PM;L-5.05;L49.19;L-0.48
toto;2;L-42.59;L78.9;L59.91;L-21.76;L35.34;L-0.73;L1.32;L-15.45;L21.49;L-0.84;L12.88;PM;PM;L-19.74;L-78.55;L-3.21;L-54.2;L-39.74;L-8.06;L23.6;L4.09;L-20.62;L6.64;L11.74;PM;PM;L-5.41;L49.27;L-0.13
toto;2;L-44.44;L82.33;L59.91;L-19.21;L35.63;L-0.73;L1.32;L-15.75;L21.49;L-0.84;L13.14;PM;PM;L-31.69;L-81.63;L-7.16;L-46.11;L-59.09;L-5.72;L24.31;L4.0;L-20.53;L6.73;L12.0;PM;PM;L-5.67;L49.71;L0.22
k assis;2;L-44.97;L82.59;L59.91;L-19.3;L35.63;L-0.73;L1.03;L-15.45;L21.49;L-0.92;L13.32;PM;PM;L-39.6;L-86.55;L-17.8;L-26.33;L-59.97;L-6.01;L24.92;L3.82;L-20.62;L6.73;L12.26;PM;PM;L-5.93;L50.07;L0.4
toto;2;L-19.21;L86.02;L68.44;L-25.19;L42.08;L-6.6;L4.25;L-13.11;L20.88;L8.66;L7.6;L123.82;L65.01;L-16.04;L-84.18;L-19.3;L-11.65;L-60.26;L-13.64;L-9.8;L-6.55;L-21.14;L7.69;L6.11;L123.21;L63.69;L5.32;L50.77;L-6.73
