Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;5;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;S64.0;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.0;S0.0;S43.0;S-1.1
anti;0.5;S-48.75;S94.99;S-5.67;S-23.69;S76.1;S30.94;S-2.2;S-1.09;S21.49;S0.75;S5.67;P;S64.75;S-53.23;S-97.27;S2.95;S-11.91;S-74.34;S-63.78;S27.56;S2.95;S-20.88;S4.97;S3.74;P;S64.48;S0.04;S40.66;S-0.48
bras haut;1.0;S-77.76;S78.29;S-28.26;S-125.67;S60.56;S30.35;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;S64.0;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.0;S0.0;S43.0;S-1.1
bras haut;0.5;S-68.26;S78.11;S-28.18;S-125.93;S60.56;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;S64.0;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.0;S0.0;S43.0;S-1.1
 main 1;0.3;S-58.68;S83.03;S-20.53;S-121.63;S13.05;S31.23;S8.65;S-12.82;S21.05;S-1.1;S7.08;P;S64.92;S-33.36;S-97.36;S2.95;S-7.78;S-73.46;S-62.9;S8.31;S5.67;S-20.88;S8.75;S7.16;P;S64.4;S2.15;S40.22;S-6.02
 main 2;0.3;S-56.22;S84.44;S-18.15;S-123.03;S73.46;S31.23;S8.06;S-13.11;S21.14;S-2.15;S6.55;P;S64.92;S-37.41;S-95.96;S2.95;S-8.75;S-70.82;S-62.9;S5.49;S1.54;S-20.7;S8.13;S6.9;P;S64.4;S-0.84;S38.99;S-6.29
 main 1;0.3;S-51.65;S85.58;S-18.68;S-122.86;S14.52;S31.23;S8.65;S-13.11;S21.14;S-3.3;S7.87;P;S64.92;S-34.42;S-96.92;S2.95;S-8.92;S-71.41;S-62.61;S6.37;S6.73;S-20.62;S7.16;S7.78;P;S64.48;S-0.84;S40.31;S-12.62
 main 2;0.3;S-52.97;S84.35;S-16.92;S-123.03;S73.46;S31.23;S8.06;S-13.11;S21.23;S-3.74;S9.63;P;S64.92;S-32.13;S-92.79;S2.95;S-8.4;S-72.58;S-62.32;S4.26;S2.24;S-20.7;S7.6;S9.54;P;S64.48;S-2.95;S40.48;S-9.54
 main 1;0.3;S-47.69;S86.11;S-22.37;S-121.89;S13.93;S31.23;S8.06;S-13.11;S21.23;S-4.09;S11.03;P;S64.92;S-27.56;S-94.73;S2.95;S-8.13;S-70.53;S-62.61;S3.74;S1.27;S-20.88;S7.87;S10.51;P;S64.48;S0.31;S40.57;S-8.48
 main 2;0.3;S-49.54;S83.38;S-17.63;S-122.33;S73.46;S31.23;S7.77;S-13.11;S21.23;S-2.86;S7.78;P;S64.92;S-30.02;S-93.32;S2.95;S-7.96;S-70.82;S-62.61;S4.09;S0.92;S-20.88;S6.99;S7.52;P;S64.48;S-0.92;S40.4;S-8.4
 main 1;0.3;S-53.32;S85.23;S-22.11;S-122.33;S13.93;S31.23;S8.06;S-13.4;S21.14;S-3.12;S8.04;P;S64.92;S-27.21;S-95.69;S2.95;S-6.99;S-71.41;S-62.61;S-0.4;S4.35;S-20.88;S6.99;S8.22;P;S64.48;S-0.57;S40.48;S-11.21
pause;0.5;S-58.07;S85.05;S-22.11;S-122.33;S13.34;S31.23;S7.48;S-13.4;S21.23;S-3.21;S8.04;P;S64.92;S-31.69;S-95.43;S2.95;S-7.16;S-71.11;S-62.61;S6.9;S3.38;S-20.7;S7.34;S8.22;P;S64.48;S-1.19;S40.22;S-8.13
assis sur genou;1.0;M;M;M;M;M;M;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;S64.0;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.0;S0.0;S43.0;S-1.1
