Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
k assis;3.0;S-33.63;S96.46;S-3.12;S-6.11;S75.81;S67.3;S8.65;S-11.06;S18.95;S-5.23;S5.0;P;S64.0;S-28.0;S-97.69;S6.11;S-17.1;S-71.7;S-31.23;S15.16;S-4.88;S-23.78;S-2.77;S5.0;P;S64.0;S-0.0;S43.0;S1.1
k T;3.0;S-71.69;S-4.18;S104.92;S-25.19;S-58.21;S-29.77;S9.24;S17.68;S19.91;S-5.14;S4.7;S122.42;S64.22;S-72.13;S-5.41;S-79.43;S-46.29;S38.86;S28.3;S51.38;S2.86;S-20.97;S-2.95;S4.88;S123.65;S64.48;S0.31;S44.09;S1.36
k L enver;3.0;S-49.54;S8.22;S14.81;S-12.62;S-10.12;S3.96;S5.72;S8.89;S20.26;S-6.73;S5.85;P;S64.13;S-105.89;S-85.67;S4.79;S-12.79;S-75.22;S12.46;S43.82;S-6.37;S-20.0;S-1.98;S6.11;P;S65.01;S-0.66;S42.77;S0.75
trans;3.0;S40.66;S49.1;S27.21;S-104.31;S0.15;S-3.96;S9.24;S2.73;S20.7;S-6.37;S6.55;P;S64.31;S42.33;S-23.78;S-39.16;S-111.87;S-10.7;S-32.7;S-12.7;S-1.19;S-20.79;S-6.64;S7.43;P;S65.45;S2.42;S50.51;S-4.7
k I;3.0;S-137.54;S99.38;S13.41;S-20.26;S1.32;S6.01;S9.24;S-4.02;S20.88;S-6.02;S6.46;P;S64.31;S-129.45;S-98.95;S-8.57;S-28.26;S-10.12;S-0.44;S-21.49;S-2.86;S-20.62;S-4.79;S7.34;P;S65.27;S0.4;S44.35;S-0.92
k darli;3.0;S-95.34;S56.4;S17.01;S-25.27;S71.41;S13.05;S-42.67;S-7.24;S20.44;S-4.88;S6.73;P;S64.22;S-46.55;S-100.53;S-38.37;S-86.9;S-79.03;S21.85;S-9.98;S-7.87;S-19.65;S-3.03;S7.08;P;S65.01;S2.24;S40.75;S-26.77
k L;3.0;S-160.22;S95.87;S11.38;S-1.63;S73.75;S42.38;S8.36;S-8.71;S19.65;S-5.93;S5.32;P;S64.22;S-36.35;S-1.45;S11.47;S-3.47;S-85.78;S-16.28;S-20.35;S0.57;S-20.26;S-3.21;S5.49;P;S64.57;S0.4;S43.12;S0.13
k bas;3.0;S-84.09;S95.78;S-0.22;S0.13;S-8.94;S20.97;S5.72;S17.1;S20.97;S-6.46;S4.62;P;S64.22;S-84.26;S-100.18;S-1.1;S0.22;S-11.0;S-16.28;S51.21;S1.27;S-21.67;S-1.71;S4.62;P;S64.48;S0.4;S44.0;S0.75
k demi L;3.0;S-159.16;S86.46;S-3.91;S-34.59;S-0.15;S10.41;S8.06;S-8.42;S21.14;S-7.34;S6.37;P;S64.4;S-24.22;S-88.22;S73.45;S-102.11;S64.66;S-28.89;S16.31;S-4.7;S-20.35;S-2.59;S7.08;P;S64.75;S-0.48;S42.33;S1.71
k H;3.0;S-24.48;S11.82;S-72.4;S-91.74;S-80.5;S-14.81;S8.36;S-9.59;S19.21;S-4.88;S5.93;P;S64.4;S-21.85;S-17.45;S75.56;S-100.88;S74.63;S10.12;S14.37;S-3.65;S-20.0;S-5.23;S6.55;P;S63.96;S0.22;S42.24;S0.48
k H demi bas;3.0;S-17.45;S29.23;S90.33;S-69.41;S-80.5;S-15.4;S8.36;S-9.0;S20.18;S-5.14;S6.64;P;S64.4;S-22.11;S-18.86;S75.56;S-100.62;S74.63;S10.12;S14.02;S-5.49;S-19.47;S-6.11;S7.34;P;S64.04;S-0.57;S41.89;S0.84
k H bas;3.0;S-17.54;S30.2;S90.59;S-69.32;S-79.91;S-15.1;S8.36;S-8.12;S20.44;S-5.05;S7.43;P;S64.75;S-8.75;S-13.32;S-89.36;S-73.54;S75.22;S11.0;S13.76;S-4.09;S-20.18;S-5.58;S8.31;P;S64.04;S0.04;S41.45;S1.1
