Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
k assis sur genou;2;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;P;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;P;S0.0;S43.0;S-1.1
k main haut;6.0;S-61.58;S88.04;S15.69;S-105.36;S70.82;S30.06;S-25.95;S-1.09;S21.05;S3.21;S6.55;P;P;S-34.86;S-97.27;S2.77;S-6.73;S-76.1;S-64.66;S15.08;S4.09;S-19.91;S6.2;S5.49;P;P;S-0.57;S43.38;S-1.36
k glisser ext;1;S-52.44;S83.56;S8.22;S-118.81;S114.22;S-5.13;S-25.95;S-0.79;S21.05;S3.47;S7.08;P;P;S-35.47;S-97.27;S2.77;S-7.08;S-76.39;S-64.08;S15.87;S3.74;S-20.53;S6.73;S5.76;P;P;S-0.75;S43.74;S-1.89
k glisser int;3.0;S-64.31;S91.56;S26.77;S-100.53;S108.94;S29.47;S-25.95;S-0.79;S21.05;S3.47;S7.52;P;P;S-35.65;S-97.27;S2.68;S-7.25;S-76.39;S-64.08;S15.6;S3.65;S-20.62;S6.9;S6.02;P;P;S-0.92;S44.0;S-1.19
k glisser ext;1.0;S-52.44;S83.56;S8.22;S-118.81;S114.22;S-5.13;S-25.95;S-0.79;S21.05;S3.47;S7.08;P;P;S-35.47;S-97.27;S2.77;S-7.08;S-76.39;S-64.08;S15.87;S3.74;S-20.53;S6.73;S5.76;P;P;S-0.75;S43.74;S-1.89
k main haut;1;S-61.58;S88.04;S15.69;S-105.36;S70.82;S30.06;S-25.95;S-1.09;S21.05;S3.21;S6.55;P;P;S-34.86;S-97.27;S2.77;S-6.73;S-76.1;S-64.66;S15.08;S4.09;S-19.91;S6.2;S5.49;P;P;S-0.57;S43.38;S-1.36
k selfie;3;S-138.15;S50.77;S6.73;S-26.51;S-60.85;S-61.14;S-53.52;S-16.04;S21.23;S2.24;S6.55;P;P;S-22.2;S-95.25;S2.68;S-6.37;S-71.7;S-51.17;S-1.71;S3.03;S-19.82;S5.85;S6.29;P;P;S-0.57;S42.51;S-1.89
k selfie;2.0;S-138.15;S50.77;S6.73;S-26.51;S-60.85;S-61.14;S-53.52;S-16.04;S21.23;S2.24;S6.55;P;P;S-22.2;S-95.25;S2.68;S-6.37;S-71.7;S-51.17;S-1.71;S3.03;S-19.82;S5.85;S6.29;P;P;S-0.57;S42.51;S-1.89
k pistol en haut;5.0;S-160.4;S96.84;S-5.67;S-32.57;S-2.49;S-2.49;S0.73;S22.08;S21.23;S2.42;S6.73;P;P;S-34.59;S-96.48;S2.95;S-7.08;S-74.93;S-64.96;S14.2;S3.74;S-19.82;S6.55;S6.37;P;P;S-0.92;S42.51;S-1.71
k pistol en haut;2.0;S-160.4;S96.84;S-5.67;S-32.57;S-2.49;S-2.49;S0.73;S22.08;S21.23;S2.42;S6.73;P;P;S-34.59;S-96.48;S2.95;S-7.08;S-74.93;S-64.96;S14.2;S3.74;S-19.82;S6.55;S6.37;P;P;S-0.92;S42.51;S-1.71
k pistol en bas;8;S-66.95;S93.32;S-5.67;S0.04;S11.29;S-3.67;S0.15;S21.2;S21.23;S2.15;S7.34;P;P;S-35.65;S-96.75;S2.68;S-7.78;S-75.81;S-64.37;S14.46;S3.38;S-20.7;S6.73;S6.81;P;P;S-1.19;S43.03;S-1.63
k pistol en bas;2.0;S-66.95;S93.32;S-5.67;S0.04;S11.29;S-3.67;S0.15;S21.2;S21.23;S2.15;S7.34;P;P;S-35.65;S-96.75;S2.68;S-7.78;S-75.81;S-64.37;S14.46;S3.38;S-20.7;S6.73;S6.81;P;P;S-1.19;S43.03;S-1.63
k couronne bas;3;S-54.81;S90.15;S18.51;S-43.74;S-19.79;S42.67;S-0.15;S-9.88;S21.58;S1.63;S7.78;P;P;S-64.92;S-96.4;S-40.04;S-34.33;S5.72;S-16.57;S35.12;S8.66;S-20.44;S6.11;S7.16;P;P;S-2.15;S41.1;S8.13
k couronne bas;1;S-54.81;S90.15;S18.51;S-43.74;S-19.79;S42.67;S-0.15;S-9.88;S21.58;S1.63;S7.78;P;P;S-64.92;S-96.4;S-40.04;S-34.33;S5.72;S-16.57;S35.12;S8.66;S-20.44;S6.11;S7.16;P;P;S-1.98;S41.1;S8.04
k  couronne;3;S-126.02;S94.73;S18.07;S-108.44;S7.48;S21.26;S0.73;S-10.18;S21.14;S1.89;S6.81;P;P;S-124.0;S-87.78;S-15.78;S-116.7;S-16.57;S-17.16;S-5.14;S-2.59;S-20.79;S6.46;S6.64;P;P;S-0.04;S43.03;S-1.27
k  couronne;1;S-126.02;S94.73;S18.07;S-108.44;S7.48;S21.26;S0.73;S-10.18;S21.14;S1.89;S6.81;P;P;S-124.0;S-87.78;S-15.78;S-116.7;S-16.57;S-17.16;S-5.14;S-2.59;S-20.79;S6.46;S6.64;P;P;S-0.04;S43.03;S-1.27
k couronne bas;3;S-54.81;S90.15;S18.51;S-43.74;S-19.79;S42.67;S-0.15;S-9.88;S21.58;S1.63;S7.78;P;P;S-64.92;S-96.4;S-40.04;S-34.33;S5.72;S-16.57;S35.12;S8.66;S-20.44;S6.11;S7.16;P;P;S-5.76;S48.22;S41.8
k couronne bas;1;S-54.81;S90.15;S18.51;S-43.74;S-19.79;S42.67;S-0.15;S-9.88;S21.58;S1.63;S7.78;P;P;S-64.92;S-96.4;S-40.04;S-34.33;S5.72;S-16.57;S35.12;S8.66;S-20.44;S6.11;S7.16;P;P;S-5.76;S48.22;S41.8
toto;3;L-85.67;L100.42;L-5.85;L2.86;L71.99;L19.5;L-0.44;L-6.07;L21.05;L2.24;L5.23;L119.6;L64.84;L-84.7;L-99.36;L10.42;L-1.45;L-75.22;L-61.73;L47.96;L2.24;L-22.02;L5.32;L4.88;L119.78;L64.57;L-0.92;L52.0;L1.01
toto;1;L-117.23;L98.22;L6.02;L-1.36;L72.29;L22.14;L-0.44;L0.97;L25.54;L6.2;L-1.63;L119.78;L64.84;L-122.51;L-100.15;L-9.63;L1.54;L-74.34;L-61.44;L69.05;L1.1;L-27.3;L0.75;L-2.77;L119.87;L64.48;L-3.03;L51.82;L0.66
