Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;1;L-20.26;L2.86;L79.08;L-5.85;L-82.26;L6.01;L-8.65;L-11.06;L23.78;L2.77;L5.0;P;L64.0;L-7.52;L-81.01;L-93.67;L0.04;L94.57;L-2.49;L15.16;L4.88;L-18.95;L5.23;L5.0;P;L64.0;L0.0;L43.0;L-1.1
assis sur genou;1;L-11.03;L8.22;L79.08;L0.22;L-91.94;L-82.55;L-8.65;L-11.06;L23.78;L2.77;L5.0;P;L64.0;L-5.58;L-86.9;L-93.41;L0.22;L94.57;L-2.49;L15.16;L4.88;L-18.95;L5.23;L5.0;P;L64.0;L0.0;L43.0;L-1.1
assis sur genou;1;L-10.24;L10.15;L78.73;L-77.23;L-83.43;L75.51;L-8.65;L-11.06;L23.78;L2.77;L5.0;P;L64.0;L-7.87;L-81.98;L-90.42;L0.31;L94.28;L-2.49;L15.16;L4.88;L-18.95;L5.23;L5.0;P;L64.0;L0.0;L43.0;L-1.1
assis sur genou;1;L11.21;L71.08;L79.34;L0.22;L-83.43;L14.22;L-8.65;L-11.06;L23.78;L2.77;L5.0;P;L64.0;L-9.1;L-76.79;L-98.33;L0.13;L94.57;L-2.49;L20.18;L-2.86;L-18.95;L5.23;L5.0;P;L64.0;L5.14;L49.27;L21.49
assis sur genou;1;L26.24;L78.2;L79.16;L-0.66;L-83.14;L12.76;L-8.65;L-11.06;L23.78;L2.77;L5.0;P;L64.0;L21.58;L-76.09;L-93.76;L-0.4;L94.87;L-3.37;L-6.55;L-4.0;L-18.95;L5.23;L5.0;P;L64.0;L6.11;L50.77;L2.15
assis sur genou;1;L11.21;L71.08;L79.34;L0.22;L-83.43;L14.22;L-8.65;L-11.06;L23.78;L2.77;L5.0;P;L64.0;L36.09;L-84.7;L-103.52;L-3.56;L95.16;L-2.49;L5.58;L0.66;L-18.95;L5.23;L5.0;P;L64.0;L8.22;L45.58;L-34.77
assis sur genou;1;L11.21;L71.08;L79.34;L0.22;L-83.43;L14.22;L-8.65;L-11.06;L23.78;L2.77;L5.0;P;L64.0;L4.7;L-7.34;L-79.16;L-79.34;L93.7;L-62.9;L12.18;L-10.77;L-18.95;L5.23;L5.0;P;L64.0;L7.08;L42.86;L-4.0
assis sur genou;1;L11.21;L71.08;L79.34;L0.22;L-83.43;L14.22;L-8.65;L-11.06;L23.78;L2.77;L5.0;P;L64.0;L4.09;L-4.26;L-84.0;L-0.4;L91.06;L57.92;L12.18;L-10.77;L-18.95;L5.23;L5.0;P;L64.0;L7.08;L42.86;L-4.0
assis sur genou;1;L11.21;L71.08;L79.34;L0.22;L-83.43;L14.22;L-8.65;L-11.06;L23.78;L2.77;L5.0;P;L64.0;L-0.4;L-3.38;L-84.09;L-1.01;L91.06;L-3.37;L12.18;L-10.77;L-18.95;L5.23;L5.0;P;L64.0;L7.08;L42.86;L-4.0
assis sur genou;1;L11.21;L71.08;L79.34;L0.22;L-83.43;L14.22;L-8.65;L-11.06;L23.78;L2.77;L5.0;P;L64.0;L4.09;L-4.26;L-84.0;L-0.4;L91.06;L57.92;L12.18;L-10.77;L-18.95;L5.23;L5.0;P;L64.0;L7.08;L42.86;L-4.0
assis sur genou;1;L11.21;L71.08;L79.34;L0.22;L-83.43;L14.22;L-8.65;L-11.06;L23.78;L2.77;L5.0;P;L64.0;L4.7;L-7.34;L-79.16;L-79.34;L93.7;L-62.9;L12.18;L-10.77;L-18.95;L5.23;L5.0;P;L64.0;L7.08;L42.86;L-4.0
assis sur genou;1;L11.21;L71.08;L79.34;L0.22;L-83.43;L14.22;L-8.65;L-11.06;L23.78;L2.77;L5.0;P;L64.0;L36.09;L-84.7;L-103.52;L-3.56;L95.16;L-2.49;L5.58;L0.66;L-18.95;L5.23;L5.0;P;L64.0;L8.22;L45.58;L-34.77
assis sur genou;1;L26.24;L78.2;L79.16;L-0.66;L-83.14;L12.76;L-8.65;L-11.06;L23.78;L2.77;L5.0;P;L64.0;L21.58;L-76.09;L-93.76;L-0.4;L94.87;L-3.37;L-6.55;L-4.0;L-18.95;L5.23;L5.0;P;L64.0;L6.11;L50.77;L2.15
