Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;1.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;S64.0;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.0;S0.0;S43.0;S-1.1
toto;1;S-99.03;S88.04;S14.11;S-11.3;S89.0;S30.35;S-16.28;S-13.99;S21.49;S0.22;S6.29;S124.0;S65.45;S-24.75;S-93.41;S-0.04;S-25.63;S-74.93;S-11.29;S15.16;S4.26;S-20.53;S7.16;S6.55;S123.12;S65.45;S-0.48;S42.42;S-0.92
toto;1;S-93.76;S88.22;S14.11;S-11.3;S89.0;S30.35;S-16.28;S-13.99;S21.49;S-0.4;S6.64;S124.0;S65.8;S-87.16;S-94.55;S0.66;S-24.75;S-73.46;S-11.0;S12.97;S4.7;S-20.62;S7.6;S6.9;S123.21;S65.71;S-0.31;S41.89;S-0.66
toto;1;S-112.92;S90.24;S-104.4;S-4.26;S24.19;S31.23;S-15.98;S-13.99;S21.49;S-1.01;S7.08;S124.0;S66.07;S-77.76;S-87.69;S1.1;S-37.41;S-74.34;S-7.77;S10.51;S4.88;S-20.62;S8.13;S7.34;S123.21;S65.98;S-0.48;S40.92;S-0.4
toto;1;S-103.25;S88.4;S-104.75;S0.31;S56.45;S31.23;S-16.28;S-13.99;S21.49;S-1.89;S8.4;S124.0;S66.33;S-79.78;S-91.21;S41.01;S-32.92;S27.42;S-0.44;S5.58;S5.76;S-20.53;S9.36;S8.48;S123.21;S66.24;S-0.92;S38.46;S-1.19
toto;1;S-103.6;S63.96;S25.01;S-136.66;S-47.65;S19.79;S-16.86;S-14.87;S21.58;S-1.54;S8.66;S123.82;S66.33;S-79.52;S-69.32;S-68.0;S-12.35;S28.01;S1.03;S5.58;S6.02;S-20.88;S9.71;S8.22;S123.03;S66.33;S-1.1;S39.87;S-2.15
toto;1;S-103.69;S64.75;S27.65;S-136.57;S-47.65;S19.79;S-17.16;S-14.87;S21.49;S-1.71;S8.92;S123.82;S66.33;S-109.67;S-68.97;S-31.87;S-130.86;S28.59;S1.03;S4.09;S6.29;S-20.88;S10.24;S8.66;S123.03;S66.33;S-1.19;S40.84;S-1.63
toto;1;S-2.33;S7.6;S24.4;S-126.29;S-49.41;S81.09;S-16.57;S-14.87;S21.58;S-1.89;S9.27;S123.91;S66.33;S-98.15;S-65.01;S-28.18;S-133.41;S28.01;S1.03;S6.73;S5.85;S-20.7;S10.77;S8.84;S123.03;S66.33;S-1.45;S41.45;S-2.59
toto;1;S26.07;S43.03;S52.97;S-118.02;S-48.24;S81.38;S-16.57;S-14.87;S21.58;S-1.8;S9.54;S123.91;S66.33;S-90.42;S-62.73;S-27.91;S-134.37;S28.01;S1.03;S5.32;S5.32;S-20.79;S11.03;S8.84;S123.03;S66.33;S-1.45;S42.33;S-3.21
toto;1;S25.8;S45.49;S53.49;S-117.41;S-48.83;S82.84;S-16.28;S-14.87;S21.58;S-1.98;S9.89;S123.91;S66.33;S-60.18;S-49.01;S-70.37;S-88.13;S28.3;S1.03;S3.47;S4.97;S-20.7;S11.38;S9.1;S123.12;S66.33;S-1.45;S42.95;S-4.09
