Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
mou;1;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
toto;1;S8.57;S54.81;S63.43;S0.4;S13.05;S-84.9;S-8.36;S-11.64;S-1.45;S-3.03;S11.82;S-4.26;S78.15;S1.63;S-74.95;S-22.46;S0.48;S92.52;S-52.05;S-11.12;S-2.59;S-6.37;S12.0;S10.24;S-4.62;S82.26;S-2.51;S9.63;S2.59
toto;1;S-8.92;S17.01;S-32.22;S-1.1;S-50.29;S-11.58;S-6.89;S-11.06;S-1.54;S-3.03;S11.82;S-4.26;S77.57;S3.21;S-75.03;S-22.37;S0.31;S93.99;S-51.76;S-11.03;S-2.15;S-6.37;S11.91;S10.33;S-4.62;S81.96;S-2.59;S9.89;S0.4
toto;1;S-12.88;S21.23;S-32.13;S-0.75;S-50.29;S-11.58;S-6.01;S-11.64;S11.3;S-7.78;S7.52;S-4.18;S77.27;S29.14;S3.47;S-48.57;S0.22;S92.23;S-51.17;S-11.03;S0.22;S-6.11;S9.89;S9.98;S-4.62;S80.5;S0.75;S9.36;S-1.63
toto;1;S1.27;S34.24;S-32.22;S-2.68;S-50.29;S-11.58;S-5.43;S-11.06;S10.86;S-7.78;S7.52;S-4.09;S77.27;S-106.07;S0.4;S-33.19;S-104.66;S92.23;S-52.93;S-10.42;S-15.16;S-6.2;S9.98;S9.98;S-4.62;S80.5;S2.51;S9.36;S2.68
toto;1;S-4.97;S13.67;S-69.32;S-99.91;S-50.59;S-11.29;S-4.25;S-10.18;S10.51;S-7.78;S7.52;S-4.09;S77.27;S-105.63;S-6.02;S-31.08;S-81.63;S92.23;S-52.64;S-10.51;S-7.52;S-6.64;S9.98;S9.98;S-4.62;S80.5;S3.21;S9.36;S3.74
toto;1;S-18.42;S-7.87;S-75.21;S-99.12;S-50.29;S-11.29;S-2.79;S-7.54;S6.2;S-11.21;S29.32;S-4.26;S77.27;S-93.76;S-100.44;S0.57;S-98.68;S93.7;S-51.17;S49.98;S0.57;S-6.55;S10.68;S31.43;S-4.62;S80.21;S14.99;S-5.23;S21.85
toto;1;S-55.43;S94.64;S-0.22;S-125.58;S-6.6;S-12.76;S-1.03;S-1.96;S1.89;S-11.74;S36.79;S-4.26;S77.27;S-76.0;S-100.79;S-10.24;S-106.07;S108.36;S-9.82;S45.32;S-7.6;S-6.46;S13.67;S38.29;S-4.7;S80.5;S2.77;S-5.23;S6.37
toto;1;S-65.36;S94.55;S1.1;S-93.85;S-114.52;S-12.17;S-2.79;S9.18;S21.58;S-2.59;S30.46;S0.31;S76.1;S-43.65;S-89.01;S-4.09;S-120.57;S20.09;S-49.12;S11.12;S-16.48;S-12.53;S-26.77;S-89.45;S115.03;S81.67;S39.69;S8.84;S18.77
toto;1;S-66.15;S100.53;S29.58;S-112.13;S-115.69;S-12.17;S-2.49;S13.28;S-3.82;S17.19;S-75.38;S87.08;S73.75;S-75.65;S-60.44;S-11.74;S-116.62;S19.5;S-50.0;S-20.7;S-5.49;S-13.05;S2.07;S-95.43;S106.07;S81.38;S-11.3;S40.31;S-12.44
toto;1;S-68.44;S93.93;S29.32;S-109.14;S-115.1;S-12.17;S-2.79;S13.58;S-5.67;S16.48;S-90.24;S107.47;S73.46;S-64.75;S-90.15;S-11.21;S-118.55;S19.21;S-50.29;S-20.35;S3.47;S-12.53;S0.22;S-95.96;S111.69;S79.91;S-11.82;S41.19;S-11.03
toto;1;S-82.42;S77.76;S29.85;S-37.14;S-114.52;S-11.88;S-13.34;S12.11;S16.75;S-3.74;S-43.56;S124.62;S73.46;S-74.24;S-96.48;S-10.51;S-34.24;S20.09;S-48.83;S18.15;S14.9;S-12.97;S12.26;S-42.15;S122.77;S74.63;S-6.81;S50.33;S7.25
toto;1;S-65.27;S75.65;S29.85;S-29.23;S-114.52;S-11.88;S-12.76;S9.18;S9.98;S-8.57;S-12.26;S124.53;S73.46;S-53.49;S-99.47;S-10.59;S-16.66;S19.79;S-49.12;S31.08;S18.86;S-13.14;S15.43;S-10.68;S122.68;S74.63;S-6.73;S50.33;S8.57
toto;1;S-51.03;S81.36;S29.85;S-28.62;S-114.22;S-11.88;S-11.88;S-6.95;S2.33;S2.07;S-3.47;S122.07;S73.46;S-43.56;S-92.44;S-10.59;S-16.4;S19.79;S-49.12;S39.16;S7.43;S-13.05;S15.16;S-0.75;S118.81;S74.63;S-3.12;S33.63;S0.92
toto;1;S-46.46;S80.48;S29.85;S-28.62;S-114.22;S-11.88;S-11.0;S-11.94;S4.53;S1.54;S-2.42;S123.21;S73.46;S-34.42;S-91.03;S-10.51;S-16.4;S19.79;S-49.12;S30.73;S5.49;S-13.41;S14.9;S0.04;S119.87;S74.63;S-2.51;S33.63;S-3.38
