Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
garde;1.0;S-33.1;S94.02;S42.24;S-27.56;S64.96;S-101.03;S-7.18;S-7.83;S21.05;S4.0;S9.27;P;S64.75;S-22.55;S-95.52;S-40.4;S-44.97;S-25.07;S-55.57;S16.04;S5.93;S-20.79;S7.52;S8.13;P;S64.13;S-0.22;S43.21;S-0.92
garde;1.0;S-31.16;S90.51;S41.89;S-27.03;S62.32;S-86.66;S-7.48;S-7.83;S20.7;S4.0;S11.12;P;S65.19;S-20.62;S-95.16;S-40.13;S-44.7;S-24.19;S-51.47;S15.34;S6.29;S-20.88;S10.68;S9.89;P;S64.22;S0.22;S43.3;S-0.75
garde;1.0;S-30.2;S90.07;S41.89;S-27.12;S64.96;S-82.55;S-7.48;S-7.83;S20.7;S3.82;S11.74;P;S65.19;S-19.56;S-95.08;S-40.13;S-44.7;S-23.9;S-51.47;S14.55;S6.64;S-20.88;S11.21;S10.42;P;S64.22;S0.31;S43.03;S-0.57
garde;1.0;S-30.64;S89.8;S41.89;S-27.12;S71.41;S-81.67;S-7.48;S-7.83;S20.7;S3.65;S12.18;P;S65.19;S-20.09;S-95.16;S-40.22;S-44.62;S-23.61;S-51.47;S15.34;S6.81;S-20.88;S11.38;S10.95;P;S64.22;S0.31;S42.42;S-0.4
garde;1.0;S-31.34;S89.71;S41.98;S-27.12;S79.91;S-84.02;S-7.18;S-7.83;S20.7;S3.47;S12.26;P;S65.19;S-21.23;S-95.16;S-40.22;S-44.53;S-23.9;S-51.47;S16.4;S7.08;S-20.88;S11.38;S11.12;P;S64.22;S0.31;S41.8;S-0.48
garde;1.0;S-33.36;S89.8;S41.98;S-27.12;S79.62;S-94.28;S-7.48;S-7.83;S20.7;S3.38;S12.79;P;S65.19;S-23.25;S-94.99;S-40.13;S-44.44;S-23.61;S-51.47;S19.03;S7.08;S-20.88;S11.82;S11.65;P;S64.22;S0.4;S41.01;S-0.48
garde;1.0;S-34.77;S88.22;S41.89;S-27.12;S69.94;S-104.55;S-7.48;S-7.83;S20.62;S3.65;S11.91;P;S65.19;S-23.43;S-95.08;S-40.13;S-44.35;S-24.19;S-51.47;S18.95;S7.16;S-20.88;S11.3;S10.95;P;S64.22;S0.48;S41.89;S-1.01
garde;1.0;S-34.86;S85.76;S41.89;S-27.12;S54.99;S-104.25;S-7.48;S-7.83;S20.62;S3.65;S12.18;P;S65.19;S-24.04;S-95.08;S-40.22;S-44.35;S-23.9;S-51.47;S19.82;S7.43;S-20.88;S11.38;S11.03;P;S64.22;S0.48;S41.63;S-0.84
garde;1.0;S-33.01;S85.58;S41.98;S-26.95;S40.03;S-94.87;S-7.48;S-7.83;S20.7;S3.47;S12.44;P;S65.19;S-21.85;S-94.99;S-40.22;S-44.26;S-23.61;S-51.47;S17.54;S7.52;S-20.88;S11.65;S11.3;P;S64.22;S0.4;S42.24;S-0.66
garde;1.0;S-33.27;S85.49;S41.98;S-26.86;S35.63;S-79.62;S-7.48;S-7.83;S20.7;S3.38;S12.97;P;S65.19;S-21.85;S-94.99;S-40.13;S-44.18;S-23.9;S-51.47;S17.98;S7.69;S-20.88;S11.91;S11.74;P;S64.22;S0.57;S41.89;S-0.48
garde;1.0;S-30.99;S85.32;S41.98;S-26.59;S47.36;S-62.32;S-7.48;S-7.83;S20.62;S3.47;S12.44;P;S65.19;S-20.0;S-94.9;S-40.22;S-44.18;S-23.9;S-51.76;S15.69;S7.52;S-20.88;S11.65;S11.47;P;S64.22;S0.66;S41.89;S-0.22
garde;1.0;S-31.16;S85.23;S42.15;S-26.59;S64.96;S-59.38;S-7.48;S-7.83;S20.7;S3.47;S12.44;P;S65.19;S-20.35;S-94.99;S-40.13;S-44.18;S-23.61;S-51.76;S15.69;S7.43;S-20.79;S11.65;S11.21;P;S64.22;S0.84;S42.07;S-0.04
garde;1.0;S-33.36;S85.14;S42.15;S-26.59;S89.88;S-61.44;S-7.48;S-7.83;S20.7;S3.47;S12.44;P;S65.19;S-22.55;S-94.99;S-40.22;S-44.18;S-23.61;S-51.47;S18.51;S7.43;S-20.88;S11.56;S11.12;P;S64.22;S1.01;S41.27;S-0.13
garde;1.0;S-34.51;S85.67;S42.24;S-26.59;S105.72;S-61.44;S-7.48;S-7.83;S20.7;S3.74;S11.91;P;S65.19;S-23.87;S-95.08;S-40.22;S-44.18;S-24.19;S-51.47;S19.47;S7.16;S-20.88;S11.3;S10.95;P;S64.22;S1.01;S41.71;S-0.4
garde;1.0;S-33.54;S85.23;S42.15;S-26.59;S111.0;S-81.38;S-7.48;S-7.83;S20.7;S3.65;S12.18;P;S65.19;S-21.67;S-94.9;S-40.22;S-44.18;S-23.9;S-51.47;S17.19;S7.43;S-20.88;S11.38;S11.03;P;S64.22;S1.1;S42.33;S-0.75
