Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;1.0;S-28.0;S97.69;S-6.11;S-17.1;M;M;S37.1;S-8.42;S23.78;S2.77;S5.0;P;S64.0;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.0;S0.0;S43.0;S-1.1
assis sur genou;2.0;S-30.73;S97.45;S-5.67;S-18.07;M;M;S36.8;S-8.42;S20.62;S3.65;S7.34;P;S64.57;S-18.77;S-60.88;S-46.55;S-131.3;S30.35;S20.67;S16.57;S4.62;S-20.79;S9.54;S6.81;P;S64.22;S-0.4;S42.15;S-0.31
assis sur genou;1.0;S-30.11;S97.19;S-5.76;S-17.8;M;M;S36.51;S-8.42;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S25.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S35.92;S-8.42;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S5.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S35.63;S-8.42;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S25.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S35.34;S-8.42;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S5.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S38.56;S-9.3;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S25.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S38.86;S-9.3;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S5.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S38.86;S-9.3;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S25.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S40.03;S-9.3;S20.79;S2.77;S7.6;P;S64.48;S7.25;S-42.59;S-64.92;S-139.03;S-6.01;S5.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S40.62;S-9.3;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S25.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S40.91;S-9.3;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S5.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S41.2;S-9.3;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S25.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S41.5;S-9.3;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S5.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S41.5;S-9.3;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S25.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S41.5;S-9.3;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S5.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S41.79;S-9.3;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S25.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S41.5;S-9.3;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S5.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S41.79;S-9.3;S20.79;S2.77;S7.6;P;S64.48;S6.37;S-42.59;S-64.92;S-139.03;S-6.01;S25.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;0.2;S-30.11;S97.19;S-5.76;S-17.8;M;M;S42.38;S-9.3;S20.79;S2.77;S7.6;P;S64.48;S6.02;S-42.59;S-64.92;S-139.03;S-6.01;S5.0;S15.78;S5.23;S-20.35;S9.1;S6.9;P;S64.22;S-0.4;S41.89;S-0.57
assis sur genou;1.0;S-28.0;S97.69;S-6.11;S-17.1;M;M;S42.38;S-11.06;S23.78;S2.77;S5.0;P;S64.0;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S64.0;S0.0;S43.0;S-1.1
