Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis;5;S-97.1;S90.51;S56.92;S-91.47;S-21.55;S-32.99;S-8.36;S9.18;S5.76;S0.4;S-93.32;M;S-13.58;S-106.68;S-100.79;S-58.77;S-47.6;S-12.76;S0.15;S52.18;S-7.96;S-20.97;S5.23;S-95.08;M;S-23.69;S1.71;S25.19;S-4.35
assis;2.0;S-97.1;S90.51;S56.92;S-91.47;S-21.55;S-32.99;S-27.13;S11.82;S5.76;S0.4;S-93.32;M;S-13.58;S-106.68;S-100.79;S-58.77;S-47.6;S-12.76;S0.15;S52.18;S-7.96;S-20.97;S5.23;S-95.08;M;S-23.69;S1.71;S25.19;S-4.35
assis;3.0;S-97.1;S90.51;S56.92;S-91.47;S-21.55;S-32.99;S19.79;S12.11;S5.76;S0.4;S-93.32;M;S-13.58;S-106.68;S-100.79;S-58.77;S-47.6;S-12.76;S0.15;S52.18;S-7.96;S-20.97;S5.23;S-95.08;M;S-23.69;S1.71;S25.19;S-4.35
assis;0.5;S-97.1;S90.51;S56.92;S-91.47;S-21.55;S-32.99;S7.48;S11.52;S5.76;S0.4;S-93.32;M;S-13.58;S-106.68;S-100.79;S-58.77;S-47.6;S-12.76;S0.15;S52.18;S-7.96;S-20.97;S5.23;S-95.08;M;S-23.69;S1.71;S25.19;S-4.35
assis;5.0;S-97.1;S90.51;S56.92;S-91.47;S-21.55;S0.0;S-9.82;S-7.83;S5.76;S0.4;S-93.32;M;S-13.58;S-106.68;S-100.79;S-58.77;S-47.6;S-12.76;S0.15;S52.18;S-7.96;S-20.97;S5.23;S-95.08;M;S-23.69;S1.71;S25.19;S-4.35
regard main d;1.0;S-97.1;S90.51;S56.92;S-91.47;S-21.55;S0.0;S23.02;S0.97;S5.76;S0.4;S-93.32;M;S-13.58;S-106.68;S-100.79;S-58.77;S-47.6;S-12.76;S0.15;S52.18;S-7.96;S-20.97;S5.23;S-95.08;M;S-23.69;S1.71;S25.19;S-4.35
regard main d;0.2;S-97.1;S90.51;S56.92;S-91.47;S-21.55;S-30.0;S23.02;S0.97;S5.76;S0.4;S-93.32;M;S-13.58;S-106.68;S-100.79;S-58.77;S-47.6;S-12.76;S0.15;S52.18;S-7.96;S-20.97;S5.23;S-95.08;M;S-23.69;S1.71;S25.19;S-4.35
regard main d;0.2;S-97.1;S90.51;S56.92;S-91.47;S-21.55;S0.0;S23.02;S0.97;S5.76;S0.4;S-93.32;M;S-13.58;S-106.68;S-100.79;S-58.77;S-47.6;S-12.76;S0.15;S52.18;S-7.96;S-20.97;S5.23;S-95.08;M;S-23.69;S1.71;S25.19;S-4.35
regard main d;0.2;S-97.1;S90.51;S56.92;S-91.47;S-21.55;S-30.0;S23.02;S0.97;S5.76;S0.4;S-93.32;M;S-13.58;S-106.68;S-100.79;S-58.77;S-47.6;S-12.76;S0.15;S52.18;S-7.96;S-20.97;S5.23;S-95.08;M;S-23.69;S1.71;S25.19;S-4.35
regard main d;0.2;S-97.1;S90.51;S56.92;S-91.47;S-21.55;S0.0;S23.02;S0.97;S5.76;S0.4;S-93.32;M;S-13.58;S-106.68;S-100.79;S-58.77;S-47.6;S-12.76;S0.15;S52.18;S-7.96;S-20.97;S5.23;S-95.08;M;S-23.69;S1.71;S25.19;S-4.35
regard main d;0.2;S-97.1;S90.51;S56.92;S-91.47;S-21.55;S-30.0;S23.02;S0.97;S5.76;S0.4;S-93.32;M;S-13.58;S-106.68;S-100.79;S-58.77;S-47.6;S-12.76;S0.15;S52.18;S-7.96;S-20.97;S5.23;S-95.08;M;S-23.69;S1.71;S25.19;S-4.35
