Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;2.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
toto;2.0;L-44.35;L57.36;L-23.08;L-86.37;L0.0;L0.0;L11.0;L4.19;L16.04;L3.91;L7.43;L130.86;L51.74;L-38.73;L-95.16;L3.3;L-9.8;L0.0;L0.0;L20.44;L-2.95;L-21.32;L12.09;L6.46;L130.33;L46.73;L7.34;L46.81;L0.13
toto;2.0;S-131.47;S49.19;S63.16;S-75.91;S0.0;S0.0;S11.29;S4.19;S20.26;S2.68;S6.02;S131.03;S51.82;S-37.41;S-85.67;S3.38;S-13.41;S0.0;S0.0;S13.23;S-10.86;S-17.98;S10.15;S5.58;S129.98;S46.64;S-3.3;S46.9;S0.92
toto;2.0;L-136.57;L40.31;L59.82;L-48.04;L0.0;L0.0;L11.0;L4.19;L19.47;L0.84;L5.67;L126.64;L49.98;L-35.12;L-95.96;L3.3;L-6.99;L0.0;L0.0;L16.31;L4.88;L-18.77;L6.55;L5.14;L126.81;L46.55;L-0.13;L44.26;L-1.54
toto;2.0;S-84.18;S21.49;S67.82;S-72.4;S0.0;S0.0;S11.0;S4.19;S16.57;S4.7;S8.57;S131.38;S51.82;S-51.03;S-98.42;S3.3;S-16.31;S0.0;S0.0;S37.05;S10.59;S-20.7;S13.41;S7.6;S130.33;S46.73;S0.4;S49.45;S1.98
toto;2.0;S-64.31;S76.53;S63.52;S-95.43;S0.0;S0.0;S11.0;S4.19;S20.79;S11.21;S11.56;S131.74;S51.91;S-40.57;S-91.47;S3.3;S-12.0;S0.0;S0.0;S21.41;S12.26;S-16.13;S16.48;S9.8;S129.89;S46.64;S-10.95;S49.36;S2.68
toto;2.0;L-130.95;L71.16;L67.65;L-57.71;L0.0;L0.0;L11.29;L4.19;L18.07;L9.54;L9.19;L131.21;L51.74;L-35.12;L-92.09;L3.3;L-9.01;L0.0;L0.0;L9.54;L-1.27;L-20.7;L10.68;L8.75;L129.89;L46.55;L-3.12;L49.1;L-0.66
toto;3.0;S-135.08;S58.33;S66.33;S-54.11;S0.0;S0.0;S11.0;S4.19;S16.31;S11.21;S8.66;S131.3;S51.65;S-36.18;S-96.57;S3.3;S-8.04;S0.0;S0.0;S24.4;S17.27;S-22.02;S12.44;S7.6;S130.33;S46.73;S3.74;S47.69;S-3.03
toto;2.0;S-111.34;S100.35;S75.21;S-63.25;S0.0;S0.0;S10.7;S4.19;S20.79;S10.33;S9.01;S131.65;S51.91;S-38.55;S-83.47;S3.38;S-9.01;S0.0;S0.0;S21.67;S-0.31;S-15.87;S11.47;S9.54;S129.63;S46.55;S-9.27;S49.36;S3.3
toto;2.0;S-83.65;S61.85;S63.16;S-99.12;S0.0;S0.0;S11.0;S4.19;S18.68;S-1.63;S7.25;S130.33;S49.98;S-36.44;S-95.52;S3.38;S-8.31;S0.0;S0.0;S18.59;S4.79;S-18.77;S8.66;S6.99;S130.07;S46.64;S-0.48;S45.14;S-2.42
toto;2.0;S-51.82;S53.23;S64.4;S-66.24;S0.0;S0.0;S11.0;S4.19;S16.75;S12.53;S8.48;S131.56;S51.74;S-34.59;S-96.13;S3.3;S-8.4;S0.0;S0.0;S3.47;S7.96;S-21.23;S12.62;S8.31;S129.45;S46.46;S-0.31;S49.36;S3.47
toto;2.0;S-32.75;S79.6;S49.19;S-37.41;S0.0;S0.0;S11.0;S4.19;S17.98;S-1.63;S7.78;S130.51;S49.98;S-36.79;S-95.96;S3.3;S-8.75;S0.0;S0.0;S19.47;S5.49;S-19.3;S9.19;S7.52;S130.24;S46.64;S0.04;S45.32;S-3.21
