Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
debut;1;S-93.67;S83.8;S7.52;S-53.67;S82.26;S-29.18;S-8.06;S25.6;S8.22;S12.44;S-90.42;S114.24;S63.87;S-12.44;S-86.44;S-2.24;S-145.45;S-76.98;S35.63;S-19.21;S-2.59;S-1.19;S10.59;S21.85;S5.76;S65.1;S5.67;S2.51;S-43.47
toto;1;S-94.64;S85.21;S7.43;S-52.97;S82.26;S-29.18;S-8.06;S25.6;S7.78;S12.79;S-90.24;S114.07;S63.87;L-89.54;L-42.48;L-27.03;L-112.48;S-76.39;S54.11;S-19.91;S-2.77;S-1.45;S11.03;S21.67;S5.32;S65.1;S5.67;S2.42;S-43.47
coudes;1;S-95.43;S86.88;S7.43;S-52.26;S82.26;S-29.18;S-7.77;S25.6;S7.43;S13.76;S-90.42;S114.07;S63.87;S-103.16;S-91.01;S-9.1;S-45.67;S-86.36;S29.77;S-20.35;S-3.38;S-1.8;S11.47;S21.41;S4.88;S65.1;S5.58;S2.68;S-44.53
toto;1;L-74.51;L88.2;L6.99;L-67.38;S83.14;S-26.54;S-8.65;S25.6;S6.99;S13.76;S-70.29;S101.32;S63.87;L-78.55;L-88.9;L-12.79;L-67.03;S-84.6;S13.34;S-18.59;S-3.56;S-1.1;S11.21;S21.76;S5.41;S65.1;S5.23;S2.42;S-45.23
toto;1;L-52.18;L87.93;L8.4;L-87.6;S83.14;S-6.3;S-9.24;S25.31;S9.98;S15.08;S-44.97;S70.9;S63.87;L-52.79;L-88.2;L-9.54;L-91.3;S-84.9;S12.46;S-17.01;S-4.0;S-0.4;S11.03;S22.2;S5.85;S65.1;S4.88;S2.15;S-45.05
toto;1;L-41.19;L88.99;L11.91;L-99.82;S83.14;S-4.84;S-9.53;S25.31;S10.42;S15.08;S-29.41;S53.14;S63.87;L-36.18;L-86.53;L-5.58;L-109.14;S-85.48;S12.46;S-16.22;S-4.35;S-0.22;S11.21;S22.46;S5.23;S65.1;S4.53;S1.89;S-44.79
tire;1;S-30.73;S85.82;S10.24;S-117.49;S80.79;S-5.43;S-10.12;S25.31;S9.8;S15.87;S-29.76;S52.88;S62.73;S-22.46;S-81.78;S-8.92;S-129.71;S-93.11;S4.25;S-15.6;S-4.88;S-0.84;S11.65;S22.02;S4.35;S64.57;S4.7;S2.15;S-44.26
toto;1;S-31.6;S85.74;S10.33;S-119.52;S81.09;S-5.43;S-10.41;S25.89;L14.11;L23.34;L-16.22;L42.77;L62.73;S-22.73;S-82.22;S-9.01;S-132.44;S-92.82;S4.84;S-21.41;S1.19;L-1.19;L31.16;L8.13;L20.53;L64.57;L0.04;L21.05;L-23.87
toto;1;S-32.57;S86.26;S10.24;S-120.84;S80.79;S-5.43;S-10.41;S25.89;L14.11;L22.99;L-22.73;L35.12;L62.73;S-23.25;S-81.87;S-8.75;S-134.11;S-92.52;S4.84;S-26.51;S3.3;L-6.11;L23.87;L-23.34;L32.84;L64.57;L-0.57;L19.03;L-7.78
toto;1;S-33.01;S86.79;S10.33;S-122.59;S81.09;S-5.43;S-10.41;S25.6;L14.73;L22.99;L-11.03;L19.12;L62.73;S-23.52;S-81.43;S-8.48;S-135.69;S-92.52;S4.84;S-21.67;S3.91;L-2.51;L16.57;L-36.79;L37.14;L65.89;L-8.31;L6.46;L17.36
