Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
coude;3.0;S-12.35;S90.86;S3.03;S-140.97;S0.0;S0.0;S-9.53;S23.84;S-8.4;S-12.35;S21.14;S-0.75;M;S-17.89;S-90.07;S2.51;S-140.26;S-89.0;S-0.44;S0.31;S0.66;S0.84;S15.16;S21.41;S-0.57;M;S0.13;S-0.04;S-0.75
coude;1;S-13.85;S90.42;S3.38;S-141.93;S0.0;S0.0;S-7.48;S25.01;S-7.52;S-12.44;S20.53;S-0.75;M;S-19.38;S-89.89;S2.68;S-140.97;S-87.83;S-1.03;S-1.1;S0.92;S1.71;S13.41;S20.7;S-0.75;M;S5.23;S16.92;S27.38
right leg up;1;S-14.64;S90.15;S2.68;S-141.67;S0.0;S0.0;S-8.36;S23.84;S2.24;S21.14;S2.51;S-0.84;S69.58;S-19.21;S-90.07;S2.33;S-142.2;S-88.71;S-1.03;S-1.54;S-0.75;S8.31;S-25.8;S-84.62;S104.22;S85.93;S13.93;S0.04;S51.65
right leg up;1;S-13.49;S90.42;S2.86;S-141.14;S0.0;S0.0;S-9.53;S23.84;S1.63;S20.79;S2.95;S-1.1;S69.67;S-18.59;S-90.33;S2.15;S-140.79;S-89.0;S-0.73;S-0.66;S-0.22;S8.4;S-25.01;S-87.96;S108.88;S86.02;S13.67;S-0.13;S40.04
toto;1;S-91.03;S72.22;S-66.68;S-50.24;S0.0;S0.0;S-8.94;S23.84;S-4.97;S18.95;S2.68;S0.13;S69.67;S-28.88;S-91.65;S2.33;S-140.26;S-87.54;S-1.03;S11.56;S-6.81;S2.42;S-19.38;S-86.46;S109.49;S86.02;S18.42;S0.04;S26.86
toto;1;S-131.56;S88.22;S11.38;S-28.7;S0.0;S0.0;S-8.94;S23.84;S0.57;S20.0;S2.42;S-0.57;S69.67;S-20.18;S-99.03;S-15.34;S-140.88;S-87.54;S-1.32;S-1.36;S-0.13;S8.13;S-24.57;S-87.96;S109.05;S86.02;S15.34;S0.4;S38.29
toto;1;S-133.41;S89.45;S11.12;S-27.65;S0.0;S0.0;S-6.3;S25.31;S0.04;S20.0;S2.07;S-0.4;S69.76;S-76.09;S-47.6;S76.0;S-36.0;S-87.54;S-1.03;S-1.71;S1.54;S6.37;S-25.89;S-88.84;S109.05;S85.93;S17.36;S0.57;S39.78
toto;1;S-125.93;S89.89;S11.74;S-42.95;S0.0;S0.0;S-15.4;S25.01;S-5.76;S17.01;S9.8;S-0.22;S69.93;S-131.38;S-94.73;S-0.22;S-42.24;S-85.48;S-0.73;S25.36;S-8.22;S-4.97;S-23.69;S-83.03;S112.4;S85.41;S23.52;S-0.48;S31.16
coude;3.0;S-17.89;S90.07;S-2.51;S-140.26;S89.0;S0.44;S9.53;S23.84;S-0.84;S-15.16;S21.41;S-0.57;M;S-12.35;S-90.86;S-3.03;S-140.97;S-0.0;S-0.0;S0.31;S-0.66;S8.4;S12.35;S21.14;S-0.75;M;S-0.13;S-0.04;S0.75
coude;1;S-19.38;S89.89;S-2.68;S-140.97;S87.83;S1.03;S7.48;S25.01;S-1.71;S-13.41;S20.7;S-0.75;M;S-13.85;S-90.42;S-3.38;S-141.93;S-0.0;S-0.0;S-1.1;S-0.92;S7.52;S12.44;S20.53;S-0.75;M;S-5.23;S16.92;S-27.38
