Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;2.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
toto;2.0;S-73.36;S86.46;S-3.3;S-65.45;S0.0;S0.0;S5.72;S-6.66;S20.44;S15.87;S-3.03;S119.08;S65.45;S-34.68;S-74.68;S-4.53;S-51.56;S-74.63;S-66.42;S40.66;S2.33;S-16.22;S2.42;S-12.09;S121.71;S64.75;S0.66;S32.04;S3.03
toto;1;S-78.64;S89.71;S-3.3;S-0.92;S0.0;S0.0;S5.72;S-6.36;S20.26;S22.37;S-41.01;S123.47;S65.45;S-13.76;S-72.4;S19.3;S-81.36;S-74.63;S-67.01;S0.84;S-8.48;S-3.65;S-6.55;S-47.43;S122.86;S64.75;S10.59;S50.33;S9.45
toto;1;S-79.34;S91.21;S-3.3;S-1.45;S0.0;S0.0;S5.72;S-4.6;S21.76;S21.76;S-41.8;S123.65;S65.45;S-67.12;S-50.15;S-6.9;S-98.86;S-74.63;S-66.42;S0.92;S-9.19;S-3.12;S-6.02;S-47.87;S122.68;S64.75;S9.71;S50.77;S7.25
toto;1;S-79.87;S92.18;S-3.21;S-1.89;S0.0;S0.0;S5.72;S-4.6;S21.93;S21.58;S-42.51;S123.65;S65.45;S-93.49;S-61.32;S-47.43;S-49.27;S-74.63;S-66.42;S1.19;S-9.8;S-2.59;S-6.29;S-48.13;S122.51;S64.75;S9.1;S50.77;S5.76
recul mommy;2.0;S-72.75;S94.46;S-3.3;S-27.47;S0.0;S0.0;S6.01;S-13.4;S21.93;S21.67;S-43.56;S123.56;S65.45;S-95.52;S-75.03;S-30.29;S-22.9;S-74.63;S-66.42;S7.43;S-15.96;S-2.51;S-5.85;S-48.75;S122.07;S64.75;S8.66;S50.77;S3.74
toto;2.0;S-42.68;S89.98;S-3.3;S-97.36;S0.0;S0.0;S3.37;S20.03;S20.44;S20.88;S-47.16;S123.74;S65.45;S-95.08;S-75.47;S-30.37;S-23.43;S-73.75;S-65.84;S5.58;S-13.41;S-2.59;S-2.59;S-53.93;S123.03;S64.75;S1.71;S50.42;S4.7
k panthere;2.0;S-57.45;S100.79;S-0.04;S-48.84;S0.0;S0.0;S1.61;S22.67;S20.62;S23.43;S-90.24;S123.56;S65.45;S-47.34;S-64.22;S-1.63;S-62.02;S-68.18;S-57.62;S-7.08;S-24.75;S2.07;S-1.98;S-96.66;S123.03;S64.92;S21.85;S3.56;S-6.64
k panthere;2.0;S-62.64;S91.91;S-6.9;S-12.09;S0.0;S0.0;S3.08;S20.62;S20.53;S22.99;S-90.33;S123.47;S65.45;S-38.55;S-75.03;S-4.53;S-45.67;S-65.54;S-58.8;S-13.67;S-21.41;S5.85;S-5.23;S-96.66;S123.03;S64.75;S21.41;S2.59;S6.02
k panthere;2.0;S-62.64;S91.91;S-6.9;S-12.09;S0.0;S0.0;S3.08;S20.62;S20.53;S22.99;S-90.33;S123.47;S65.45;S-38.55;S-75.03;S-4.53;S-45.67;S-65.54;S-58.8;S-13.67;S-21.41;S5.85;S-5.23;S-96.66;S123.03;S64.75;S21.41;S2.59;S6.02
toto;1;S-64.22;S78.64;S-6.99;S-19.38;S0.0;S0.0;S1.91;S22.38;S20.62;S22.64;S-71.25;S97.19;S65.63;S-47.16;S-91.74;S-3.47;S-37.85;S-77.27;S-76.1;S5.14;S4.53;S9.27;S-7.6;S-59.56;S81.8;S63.52;S10.24;S-1.63;S0.48
