Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;1.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
toto;1.0;S-72.22;S86.64;S-3.91;S-64.66;S0.0;S0.0;S-6.01;S-7.83;S20.53;S15.08;S-3.56;S121.98;S65.19;S-33.36;S-71.87;S-5.14;S-83.47;S-75.81;S-65.54;S42.95;S2.07;S-16.57;S1.71;S-11.65;S123.12;S64.84;S0.57;S34.95;S3.38
toto;1;S-59.74;S77.58;S-3.47;S-34.51;S0.0;S0.0;S-4.84;S-2.26;S20.09;S22.02;S-41.71;S123.03;S65.1;S-15.78;S-72.75;S18.86;S-81.1;S-74.34;S-65.84;S0.66;S-7.69;S-4.7;S-4.79;S-48.4;S123.38;S64.84;S11.74;S51.03;S9.01
toto;1;S-79.34;S91.21;S-3.3;S-1.45;S0.0;S0.0;S5.72;S-4.6;S21.76;S21.76;S-41.8;S123.65;S65.45;S-67.12;S-50.15;S-6.9;S-98.86;S-74.63;S-66.42;S0.92;S-9.19;S-3.12;S-6.02;S-47.87;S122.68;S64.75;S9.71;S50.77;S7.25
toto;1;S-79.52;S89.8;S-3.47;S-2.15;S0.0;S0.0;S-6.01;S22.38;S21.85;S21.23;S-43.21;S123.47;S65.19;S-95.08;S-58.15;S-53.05;S-35.74;S-74.05;S-65.54;S2.15;S-10.24;S-1.98;S-4.7;S-49.19;S122.42;S64.84;S8.57;S51.21;S3.3
recul mommy;2.0;S-72.75;S92.7;S-3.47;S-28.18;S0.0;S0.0;S-6.01;S22.67;S21.49;S21.58;S-44.35;S123.3;S65.19;S-96.84;S-59.38;S-45.32;S-36.0;S-73.75;S-65.84;S8.48;S-15.52;S-1.98;S-4.88;S-49.8;S121.8;S64.84;S8.22;S51.21;S1.19
toto;2.0;S-42.68;S89.98;S-3.3;S-97.36;S0.0;S0.0;S3.37;S20.03;S20.44;S20.88;S-47.16;S123.74;S65.45;S-95.08;S-75.47;S-30.37;S-23.43;S-73.75;S-65.84;S5.58;S-13.41;S-2.59;S-2.59;S-53.93;S123.03;S64.75;S1.71;S50.42;S4.7
k panthere;2.0;S-57.45;S100.79;S-0.04;S-48.84;S0.0;S0.0;S1.61;S22.67;S20.62;S23.43;S-90.24;S123.56;S65.45;S-47.34;S-64.22;S-1.63;S-62.02;S-68.18;S-57.62;S-7.08;S-24.75;S2.07;S-1.98;S-96.66;S123.03;S64.92;S21.85;S3.56;S-6.64
k panthere;2.0;S-62.64;S91.91;S-6.9;S-12.09;S0.0;S0.0;S3.08;S20.62;S20.53;S22.99;S-90.33;S123.47;S65.45;S-38.55;S-75.03;S-4.53;S-45.67;S-65.54;S-58.8;S-13.67;S-21.41;S5.85;S-5.23;S-96.66;S123.03;S64.75;S21.41;S2.59;S6.02
k panthere;2.0;S-62.64;S91.91;S-6.9;S-12.09;S0.0;S0.0;S3.08;S20.62;S20.53;S22.99;S-90.33;S123.47;S65.45;S-38.55;S-75.03;S-4.53;S-45.67;S-65.54;S-58.8;S-13.67;S-21.41;S5.85;S-5.23;S-96.66;S123.03;S64.75;S21.41;S2.59;S6.02
toto;1;S-64.22;S78.64;S-6.99;S-19.38;S0.0;S0.0;S1.91;S22.38;S20.62;S22.64;S-71.25;S97.19;S65.63;S-47.16;S-91.74;S-3.47;S-37.85;S-77.27;S-76.1;S5.14;S4.53;S9.27;S-7.6;S-59.56;S81.8;S63.52;S10.24;S-1.63;S0.48
