Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
k sit;1.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S0.0;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
toto;1;S-36.53;S95.32;S-5.05;S-22.46;S72.87;S30.94;S-15.98;S21.2;S20.79;S2.33;S4.26;S119.78;S65.71;S-39.25;S-92.59;S2.86;S-9.71;S-77.27;S0.0;S17.36;S4.7;S-20.62;S3.03;S3.12;S120.04;S64.57;S0.31;S48.13;S-3.47
k arm front;2.0;S-27.3;S92.07;S-0.75;S-85.32;S-83.72;S1.91;S-12.17;S-4.02;S20.62;S2.86;S9.36;S120.04;S65.71;S-31.6;S-93.47;S3.03;S-5.58;S-73.75;S0.0;S5.76;S3.38;S-20.62;S6.9;S7.96;S120.04;S64.4;S-2.42;S41.89;S-3.21
toto;1.0;S-27.3;S92.07;S-0.75;S-100.0;S-83.72;S1.91;S-12.17;S-4.02;S20.62;S2.86;S9.36;S120.04;S65.71;S-31.6;S-93.47;S3.03;S-5.58;S-73.75;S0.0;S5.76;S3.38;S-20.62;S6.9;S7.96;S120.04;S64.4;S-2.42;S41.89;S-3.21
k arm front;1;S-32.57;S92.42;S0.22;S-90.68;S-86.07;S0.15;S-6.6;S-5.19;S21.41;S0.84;S5.58;S119.69;S65.1;S-34.59;S-94.18;S2.95;S-6.64;S-74.93;S0.0;S14.9;S5.49;S-20.97;S6.29;S5.05;S120.04;S64.22;S0.22;S43.38;S-1.01
toto;1;S-29.67;S91.36;S-8.57;S-86.29;S-85.48;S1.32;S-7.18;S3.9;S20.35;S2.86;S10.51;S120.04;S65.71;S-42.51;S-87.58;S5.85;S-14.99;S-74.34;S0.0;S17.1;S6.46;S-21.23;S7.87;S8.75;S120.04;S64.48;S1.45;S48.66;S12.44
k arm side;3.0;S-26.33;S91.01;S-20.0;S-85.23;S-83.43;S2.79;S-63.2;S0.67;S18.07;S3.12;S12.18;S120.04;S65.71;S10.0;S-91.89;S3.56;S-5.05;S-73.75;S0.0;S2.15;S4.53;S-21.93;S8.66;S11.03;S120.04;S64.48;S7.25;S41.8;S-86.9
pause;5.0;S-26.77;S91.19;S-20.0;S-85.58;S-84.9;S2.49;S-63.0;S9.18;S20.88;S0.48;S8.22;S119.96;S65.71;S10.0;S-92.42;S3.3;S-5.32;S-76.39;S0.0;S-1.27;S4.26;S-21.23;S4.53;S6.81;S120.04;S64.57;S6.29;S42.15;S-87.78
toto;1;S-25.01;S91.1;S-10.15;S-83.82;S-84.31;S2.49;S-19.5;S4.78;S20.35;S2.86;S11.3;S120.04;S65.71;S10.0;S-93.82;S1.63;S-10.15;S-74.34;S0.0;S1.45;S2.51;S-21.32;S8.57;S9.71;S120.04;S64.48;S8.22;S42.68;S-87.96
amorti;3.0;S-32.57;S92.42;S-12.18;S-90.68;S-86.07;S0.15;S-6.6;S-5.19;S21.41;S0.84;S5.58;S119.69;S65.1;S-34.59;S-94.18;S2.95;S-6.64;S-74.93;S0.0;S14.9;S5.49;S-20.97;S6.29;S5.05;S120.04;S64.22;S0.22;S43.38;S-1.01
k arm front;2.0;S-32.57;S92.42;S0.22;S-90.68;S-86.07;S0.15;S-6.6;S-5.19;S21.41;S0.84;S5.58;S119.69;S65.1;S-34.59;S-94.18;S2.95;S-6.64;S-74.93;S0.0;S14.9;S5.49;S-20.97;S6.29;S5.05;S120.04;S64.22;S0.22;S43.38;S-1.01
toto;1;S-31.78;S88.29;S0.66;S-92.18;S-76.39;S3.67;S-18.91;S-15.75;S19.65;S2.33;S13.41;S120.04;S65.71;S-29.93;S-94.88;S3.12;S-4.97;S-73.75;S0.0;S5.14;S9.45;S-21.23;S8.31;S11.82;S120.04;S64.48;S0.22;S44.26;S0.4
k sit;2.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S0.97;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S0.0;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
