Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis sur genou;2.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
toto;1;L-61.93;S97.6;S-6.11;S-12.7;S71.7;S31.23;S-10.41;S14.75;S23.6;S3.91;L28.53;S115.65;S64.75;L-72.4;S-93.38;S6.37;S1.45;S-74.63;S-68.48;L48.66;S3.21;S-18.24;S6.29;L20.44;S119.78;S66.42;S0.0;L44.79;S-2.07
toto;1;L-77.49;S98.13;S-3.03;S1.98;S71.7;S31.23;S-10.41;S14.75;S16.92;S-1.71;L27.03;S118.9;S64.75;L-79.69;S-90.31;S0.13;S1.36;S-75.81;S-68.48;L51.82;S1.36;S-27.47;S2.07;L25.98;S119.78;S63.87;S0.0;L51.82;S-6.46
toto;1;L-82.86;S100.95;S-3.03;S-17.54;S71.7;S31.23;S-10.41;S14.75;S16.92;S-1.19;L25.89;S118.99;S64.75;L-95.43;S-90.04;S-9.54;S-1.89;S-75.81;S-68.48;L67.3;S0.66;S-27.91;S1.1;L25.45;S119.78;S63.87;S0.0;L52.18;S-5.76
toto;1;L-107.74;S96.02;S-3.21;S2.77;S70.23;S45.01;S-11.29;S14.75;S15.52;S-0.04;L22.99;S119.16;S64.84;L-108.7;S-93.65;S-7.16;S1.36;S-75.22;S-69.65;L67.21;S0.66;S-27.91;S0.13;L22.55;S119.78;S63.78;S0.66;L52.26;S-7.87
toto;1;L-108.97;S96.55;S-3.3;S2.77;S70.23;S45.01;S-11.29;S14.75;S15.43;S1.89;L17.8;S119.08;S64.84;L-112.04;S-93.91;S-12.44;S1.36;S-75.22;S-69.65;L67.21;S0.57;S-27.91;S-2.24;L17.36;S119.87;S63.78;S0.57;L52.18;S-8.04
toto;1;L-109.14;S96.55;S-3.3;S2.77;S70.23;S45.01;S-11.58;S14.75;S14.29;S5.32;L6.81;S119.08;S64.84;L-115.21;S-94.7;S-13.14;S-3.12;S-75.81;S-69.65;L67.12;S0.57;S-27.82;S-6.64;L7.16;S119.87;S63.78;S1.54;L52.18;S-9.1
toto;1;L-108.44;S101.3;S-3.3;S2.07;S70.23;S45.01;S-11.58;S14.75;S12.62;S7.87;L-2.86;S119.08;S64.84;L-111.52;S-91.71;S-13.05;S-10.24;S-75.22;S-69.65;L67.12;S0.4;S-27.74;S-10.42;L-2.33;S119.78;S63.69;S1.54;L52.18;S-10.42
toto;1;L-95.78;S89.16;S-3.21;S-20.53;S69.94;S45.01;S-11.58;S14.16;S9.19;S10.51;L-16.92;S118.99;S64.84;L-110.37;S-87.49;S-13.14;S-11.38;S-75.81;S-69.65;L53.58;S-16.57;S-25.27;S-15.43;L-15.34;S119.78;S63.69;S2.07;L52.18;S-18.24
toto;1;L-95.78;S90.57;S-3.3;S-20.53;S70.23;S45.89;S-8.65;S7.71;S7.52;S11.56;L-25.01;S118.9;S64.84;L-112.48;S-87.23;S-13.23;S-11.12;S-75.81;S-69.65;L49.19;S-21.41;S-22.55;S-17.89;L-23.43;S119.69;S63.69;S2.95;L52.0;S-17.89
4 pattes mains;1;S-95.96;S97.96;S-3.21;S-10.42;S70.23;S44.43;S-10.12;S20.32;S7.08;S18.42;S-46.81;S118.81;S64.31;S-116.79;S-89.69;S-13.14;S-0.13;S-76.1;S-70.53;S48.75;S-22.37;S-12.35;S-19.38;S-46.9;S119.34;S64.04;S2.59;S32.57;S-17.45
4 pattes mains;1;S-95.96;S97.96;S-3.21;S-10.42;S70.23;S44.43;S-10.12;S20.32;S7.08;S18.42;S-46.81;S118.81;S64.31;S-116.79;S-89.69;S-13.14;S-0.13;S-76.1;S-70.53;S48.75;S-22.37;S-12.35;S-19.38;S-46.9;S119.34;S64.04;S2.59;S32.57;S-17.45
toto;1;S-92.79;S92.33;S-3.21;S-7.08;S72.58;S54.69;S-0.15;S1.55;S7.43;S18.77;S-47.16;S118.46;S65.1;S-99.38;S-87.67;S-14.9;S-16.31;S-71.7;S-67.89;S41.01;S-2.42;S-12.62;S-19.21;S-47.25;S119.52;S64.31;S-5.05;S30.2;S-3.21
toto;1;S-54.73;S93.21;S-3.21;S-86.37;S72.29;S55.57;S-0.15;S1.26;S7.52;S19.03;S-47.34;S118.73;S65.1;S-100.0;S-88.73;S-15.25;S-17.27;S-71.41;S-67.3;S41.54;S-2.68;S-13.41;S-19.47;S-47.69;S119.87;S64.31;S-4.62;S30.64;S-2.51
toto;1;S-51.47;S91.19;S-0.92;S-102.64;S-24.19;S6.89;S-0.15;S1.26;S7.08;S18.95;S-47.69;S118.46;S65.19;S-100.79;S-89.96;S-15.52;S-18.68;S-71.11;S-67.01;S42.15;S-2.86;S-14.11;S-19.65;S-48.22;S119.87;S64.31;S-4.09;S31.08;S-1.54
toto;1;S-111.52;S87.49;S-0.92;S-94.55;S-26.54;S7.48;S-0.15;S1.26;S6.37;S18.95;S-47.96;S118.2;S65.1;S-101.49;S-90.92;S-15.78;S-19.91;S-71.11;S-67.01;S42.86;S-3.03;S-15.16;S-19.47;S-48.75;S119.96;S64.31;S-3.47;S31.69;S-0.57
k bras en haut;1;S-161.1;S86.62;S-0.92;S-14.2;S-26.54;S7.77;S-0.15;S1.26;S5.85;S18.77;S-48.04;S117.85;S65.1;S-102.11;S-91.89;S-16.04;S-21.23;S-71.11;S-67.01;S43.56;S-3.21;S-16.13;S-19.3;S-49.45;S119.96;S64.31;S-2.95;S32.31;S0.4
tempo;3.0;S-161.1;S86.62;S-0.92;S-14.2;S-26.54;S7.77;S-0.15;S1.26;S5.85;S18.77;S-48.04;S117.85;S65.1;S-102.11;S-91.89;S-16.04;S-21.23;S-71.11;S-67.01;S43.56;S-3.21;S-16.13;S-19.3;S-49.45;S119.96;S64.31;S-2.95;S32.31;S0.4
toto;1;S-112.84;S89.08;S-0.92;S-73.89;S-57.92;S-16.28;S-0.15;S1.26;S5.23;S18.68;S-48.22;S117.58;S65.1;S-102.64;S-92.42;S-16.31;S-22.55;S-71.11;S-67.01;S44.35;S-2.77;S-17.01;S-19.21;S-49.89;S119.96;S64.31;S-2.42;S32.84;S1.36
toto;1;S-48.48;S83.01;S-0.92;S-108.26;S-78.15;S-22.73;S-0.15;S1.26;S4.7;S18.68;S-48.22;S117.14;S65.1;S-103.16;S-93.03;S-16.57;S-23.78;S-70.82;S-67.01;S45.23;S-3.03;S-17.71;S-18.95;S-50.51;S119.96;S64.31;S-1.89;S33.36;S2.24
toto;1;S-43.21;S84.15;S-0.92;S-113.01;S65.25;S18.04;S-0.15;S1.26;S3.91;S18.59;S-48.4;S116.7;S65.1;S-103.78;S-94.09;S-16.84;S-25.45;S-70.82;S-67.01;S45.93;S-3.47;S-18.51;S-18.86;S-51.21;S119.96;S64.31;S-1.45;S33.98;S3.38
toto;1;S-73.1;S91.71;S-9.36;S-64.84;S86.07;S55.28;S-0.15;S1.26;S3.91;S18.59;S-48.66;S116.62;S65.19;S-104.31;S-95.14;S-17.1;S-27.21;S-70.82;S-66.42;S46.37;S-4.09;S-19.03;S-18.51;S-51.38;S119.69;S64.22;S-1.19;S34.51;S3.74
toto;1;S-93.76;S92.95;S-20.97;S-8.13;S85.19;S68.77;S-0.15;S1.26;S4.26;S18.07;S-48.84;S117.23;S65.1;S-104.48;S-94.7;S-17.1;S-27.3;S-71.11;S-65.54;S46.73;S-3.82;S-19.03;S-18.51;S-51.03;S119.87;S64.31;S-21.49;S28.7;S1.19
toto;1;S-94.2;S96.29;S-5.58;S-13.67;S86.36;S68.77;S-0.15;S1.26;S4.35;S17.89;S-48.57;S117.41;S65.1;S-111.87;S-90.57;S-13.05;S1.36;S-70.53;S-69.65;S47.08;S-4.0;S-19.21;S-18.24;S-50.68;S119.87;S64.31;S-4.0;S26.68;S-5.58
toto;1;S-103.08;S96.64;S-5.58;S2.77;S86.36;S69.35;S-0.15;S1.26;S4.53;S17.71;S-48.48;S117.67;S65.1;S-111.78;S-89.6;S-12.53;S1.27;S-70.82;S-69.65;S47.52;S-4.18;S-19.03;S-18.07;S-50.42;S119.96;S64.31;S-4.53;S26.24;S-6.73
4 pattes mains;1;S-95.96;S97.96;S-3.21;S-10.42;S70.23;S44.43;S-10.12;S20.32;S7.08;S18.42;S-46.81;S118.81;S64.31;S-116.79;S-89.69;S-13.14;S-0.13;S-76.1;S-70.53;S48.75;S-22.37;S-12.35;S-19.38;S-46.9;S119.34;S64.04;S2.59;S32.57;S-17.45
