Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assise fier;1.0;S12.62;S69.41;S13.49;S-29.32;S0.0;S0.0;S-8.94;S9.18;S13.32;S20.35;S-80.84;M;S-14.29;S12.35;S-75.56;S25.01;S-36.18;S0.0;S0.0;S-16.57;S-3.38;S-15.16;S-15.25;S-81.54;M;S-23.6;S1.89;S14.02;S4.35
toto;1.0;S36.0;S72.48;S10.15;S-46.99;S0.0;S0.0;S-8.94;S8.89;S9.27;S20.7;S-76.97;S-0.4;S-14.29;S33.01;S-81.27;S5.58;S-41.63;S0.0;S0.0;S9.45;S2.59;S-12.0;S-15.69;S-76.62;S-0.22;S-23.6;S-0.4;S-0.04;S3.38
toto;1;S33.27;S55.96;S14.99;S-75.03;S0.0;S0.0;S23.9;S8.89;S6.81;S21.05;S-72.13;S-0.75;S-14.37;S24.22;S-93.32;S6.11;S-2.68;S0.0;S0.0;S0.04;S0.4;S-16.75;S-13.67;S-68.79;S-0.66;S-23.6;S12.09;S-5.49;S-22.2
toto;1;S-1.19;S75.74;S36.26;S-70.81;S0.0;S0.0;S35.34;S3.02;S20.88;S18.95;S-32.31;S-0.75;S-14.29;S47.08;S-90.68;S29.76;S-74.68;S0.0;S0.0;S18.33;S-45.67;S-21.05;S9.27;S-33.54;S-0.66;S-23.6;S35.91;S-5.23;S-47.34
k coude;2.0;S27.91;S93.85;S-2.42;S-89.01;S0.0;S0.0;S-2.79;S5.95;S20.35;S13.05;S-30.99;S54.37;S-15.69;S22.55;S-73.1;S0.48;S-84.18;S0.0;S0.0;S33.8;S-25.63;S-20.53;S0.75;S-2.59;S-0.57;S-20.35;S23.25;S26.86;S-11.91
k allonge;2.0;S33.36;S48.66;S66.59;S-55.87;S0.0;S0.0;S0.15;S25.6;S19.38;S12.79;S-30.37;S54.99;S-15.6;S34.07;S-27.03;S-67.03;S-76.97;S0.0;S0.0;S-0.92;S-5.76;S-19.56;S0.92;S-3.03;S-1.19;S-20.44;S17.27;S-6.02;S11.38
k sexy;1;S-23.16;S-48.57;S-63.16;S-97.36;S0.0;S0.0;S0.44;S25.6;S19.03;S12.79;S-30.2;S54.73;S-15.69;S-17.98;S38.55;S68.88;S-101.58;S0.0;S0.0;S-22.29;S0.13;S-19.21;S1.01;S-4.0;S-1.19;S-20.44;S3.74;S1.19;S7.25
k sexy jambes;1;S-24.22;S-49.01;S-63.6;S-96.92;S0.0;S0.0;S0.73;S-0.79;S20.7;S22.46;S-43.56;S70.37;S-15.69;S-18.59;S38.73;S69.49;S-101.32;S0.0;S0.0;S-19.65;S0.4;S-21.23;S-23.6;S-48.22;S75.03;S-20.35;S4.09;S0.84;S7.6
k bras 1;1;S-78.46;S65.8;S92.18;S-44.53;S0.0;S0.0;S28.3;S24.72;S19.74;S21.58;S-43.21;S68.79;S-15.69;S-84.26;S-33.71;S-104.75;S-82.95;S0.0;S0.0;S-20.7;S-14.02;S-19.47;S-23.34;S-46.73;S73.98;S-20.35;S4.44;S-3.3;S9.36
k bras 2;1;S-64.57;S77.05;S82.15;S-41.8;S0.0;S0.0;S-6.89;S26.48;S19.56;S21.49;S-43.3;S68.53;S-15.69;S-71.69;S-68.62;S-97.1;S-49.27;S0.0;S0.0;S-20.44;S-13.76;S-19.56;S-23.43;S-46.55;S73.8;S-20.35;S4.44;S-3.91;S9.27
k jambes;1;S-69.76;S82.15;S43.47;S-42.24;S0.0;S0.0;S23.9;S25.89;S20.35;S22.81;S-75.47;S101.05;S-15.6;S-78.46;S-79.96;S-80.75;S-40.13;S0.0;S0.0;S-19.21;S-14.02;S-8.31;S-27.38;S-71.6;S99.47;S-20.26;S4.09;S-2.42;S9.27
toto;1;S-74.15;S78.29;S80.66;S-63.96;S0.0;S0.0;S27.13;S26.19;S20.44;S21.85;S-72.48;S102.11;S-15.6;S-80.31;S-73.27;S-101.49;S-68.97;S0.0;S0.0;S-20.0;S-13.76;S-11.21;S-24.04;S-67.74;S100.44;S-20.26;S4.0;S-5.32;S10.42
