Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis base;5.0;S-31.16;S97.63;S-5.76;S-19.03;S73.17;S30.06;S8.36;S8.3;S14.81;S-4.97;S5.32;S123.82;S67.3;S-30.55;S-95.78;S-21.32;S-19.21;S-74.05;S-60.85;S14.73;S6.55;S-6.02;S9.36;S4.97;S123.21;S64.31;S-0.22;S44.0;S0.13
tete1;1;S-32.31;S97.71;S-5.67;S-19.47;S73.46;S30.35;S3.37;S18.56;S16.13;S-5.58;S6.02;S124.35;S66.95;S-30.73;S-95.43;S-21.05;S-19.38;S-73.75;S-60.56;S15.52;S6.37;S-6.64;S10.77;S5.76;S122.95;S64.4;S-0.75;S44.35;S0.57
toto;1;S-32.92;S97.71;S-5.67;S-19.82;S73.75;S30.35;S16.28;S15.92;S16.92;S-5.93;S6.55;S124.35;S66.95;S-31.16;S-95.25;S-21.05;S-19.65;S-73.46;S-60.56;S16.13;S6.11;S-6.9;S11.21;S6.37;S122.95;S64.4;S-1.1;S44.62;S1.01
toto;1;S-33.8;S97.8;S-5.67;S-20.26;S74.34;S30.35;S-6.89;S17.1;S17.54;S-6.02;S7.16;S124.35;S66.95;S-31.43;S-95.34;S-21.05;S-19.82;S-73.46;S-60.56;S16.75;S6.73;S-7.08;S11.56;S6.81;S122.95;S64.4;S-1.1;S44.88;S0.75
toto;1;S-34.51;S97.45;S-5.67;S-20.7;S74.93;S30.35;S4.84;S4.19;S17.71;S-5.93;S7.6;S124.26;S66.95;S-31.34;S-95.43;S-21.05;S-19.91;S-73.17;S-60.56;S17.1;S7.43;S-7.25;S11.82;S7.16;S123.03;S64.4;S-0.84;S45.32;S0.57
k tete fin;1;S-35.21;S97.36;S-5.67;S-21.05;S74.93;S30.35;S8.06;S9.18;S17.98;S-6.02;S8.04;S124.35;S66.95;S-31.87;S-95.69;S-21.05;S-20.26;S-72.87;S-60.56;S17.8;S7.78;S-6.99;S11.82;S7.52;S122.95;S64.4;S-1.1;S45.76;S0.92
k coude mommy;9.0;S-35.21;S97.36;S-5.67;S-21.05;S74.93;S30.35;S8.06;S9.18;S17.98;S-6.02;S8.04;S124.35;S66.95;S-31.87;S-95.69;S-21.05;S-20.26;S-72.87;S-60.56;S17.8;S7.78;S-6.99;S11.82;S7.52;S122.95;S64.4;S-1.1;S45.76;S0.92
toto;1;S-33.36;S81.19;S31.96;S-67.56;S80.79;S-35.92;S8.06;S13.87;S6.73;S3.12;S-3.12;S122.86;S65.54;S-37.58;S-94.81;S-23.87;S-13.41;S-64.96;S-19.21;S22.46;S9.27;S-6.81;S15.34;S-4.35;S121.71;S63.87;S0.4;S40.48;S-12.26
toto;1;S-34.42;S67.82;S28.53;S-98.51;S81.67;S-33.58;S8.06;S13.87;S7.34;S3.12;S-3.21;S122.86;S65.54;S-39.52;S-94.02;S-23.87;S-13.58;S-64.96;S-19.21;S23.87;S9.19;S-6.29;S15.25;S-4.44;S121.8;S63.87;S0.4;S41.98;S-13.85
toto;2.0;S-58.24;S74.15;S21.85;S-19.12;S84.31;S55.28;S8.06;S18.86;S-4.35;S5.14;S-32.4;S124.18;S66.07;S-7.87;S-87.08;S-14.11;S-66.07;S-73.75;S-23.61;S2.95;S-18.77;S-20.7;S10.77;S-33.45;S122.86;S63.78;S32.84;S50.59;S-3.82
